Standard Stats 2025-2026 Alanyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Nuno Lima,pt POR,DF,24-238,12,12,1.08,12.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Ertuğrul Taşkıran,tr TUR,GK,36-004,12,12,1.08,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Gaius Makouta,cg CGO,MF,28-107,12,12,997,2025-01-11 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Ümit Akdag,ro ROU,DF,22-034,11,11,990,11.0,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches
Fidan Aliti,xk KVX,DF,32-037,11,11,966,2025-07-10 00:00:00,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Yusuf Özdemir,tr TUR,MF,24-303,11,10,906,2025-01-10 00:00:00,1,1,2,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches
Maestro,ao ANG,MF,22-097,11,9,854,2025-05-09 00:00:00,1,1,2,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,Matches
Uchenna Ogundu,ng NGA,FW,19-181,11,8,701,2025-08-07 00:00:00,2,1,3,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Matches
İbrahim Kaya,,"MF,FW",24-245,12,8,645,2025-02-07 00:00:00,2,0,2,1,1,1,0,0,0.28,0.00,0.28,0.14,0.14,Matches
Hwang Ui-jo,kr KOR,"MF,FW",33-073,11,8,645,2025-02-07 00:00:00,1,1,2,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
Ianis Hagi,ro ROU,"MF,FW",27-018,8,6,526,2025-08-05 00:00:00,2,1,3,2,0,0,3,0,0.34,0.17,0.51,0.34,0.51,Matches
Ruan,br BRA,MF,20-190,7,6,453,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Florent Hadergjonaj,xk KVX,MF,31-101,9,5,429,2025-08-04 00:00:00,1,1,2,0,1,1,1,0,0.21,0.21,0.42,0.00,0.21,Matches
Enes Keskin,,MF,24-158,8,3,354,2025-09-03 00:00:00,0,1,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches
Nicolas Janvier,fr FRA,MF,27-090,9,3,276,2025-01-03 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Güven Yalçın,tr TUR,MF,26-295,6,2,201,2025-02-02 00:00:00,1,0,1,1,0,0,1,0,0.45,0.00,0.45,0.45,0.45,Matches
Bruno Viana,br BRA,DF,30-277,3,2,194,2025-02-02 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andraž Šporar,si SVN,FW,31-255,2,2,164,2025-08-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Meschak Elia,cd COD,MF,28-095,6,1,153,2025-07-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Steve Mounié,bj BEN,FW,31-041,3,1,116,2025-03-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
İzzet Çelik,tr TUR,MF,21-142,6,0,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Efecan Karaca,tr TUR,"FW,MF",35-358,4,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fatih Aksoy,tr TUR,"DF,MF",28-003,3,0,17,0.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Mert Furkan Bayram,tr TUR,GK,20-311,0,0,,,,,,,,,,,,,,,,Matches
Rony Lopes,pt POR,"FW,MF",29-316,0,0,,,,,,,,,,,,,,,,Matches
Baran Mogultay,de GER,DF,21-175,0,0,,,,,,,,,,,,,,,,Matches
Bedirhan Özyurt,,DF,22-229,0,0,,,,,,,,,,,,,,,,Matches
Arda Usluoğlu,tr TUR,FW,19-028,0,0,,,,,,,,,,,,,,,,Matches
Paulo Victor Vidotti,br BRA,GK,38-301,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.0,12,132,1.08,12.0,12,7,19,10,2,2,27,0,1.00,0.58,1958-01-01 00:00:00,0.83,1942-01-01 00:00:00,
Opponent Total,,,2025-01-28 00:00:00,12,132,1.08,12.0,12,9,21,11,1,2,26,0,1.00,0.75,1975-01-01 00:00:00,0.92,1967-01-01 00:00:00,
,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,
