Standard Stats 2025-2026 Antalyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Kenneth Paal,sr SUR,DF,28-138,12,11,995,2025-01-11 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Georgi Dzhikiya,ru RUS,DF,31-353,12,11,982,2025-09-10 00:00:00,2,0,2,2,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches
Abdülkadir Ömür,tr TUR,MF,26-137,12,11,808,9.0,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
Bünyamin Balcı,tr TUR,DF,25-162,12,10,892,2025-09-09 00:00:00,0,2,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches
Sander van de Streek,nl NED,"MF,FW",32-230,10,10,724,8.0,0,2,2,0,0,0,4,1,0.00,0.25,0.25,0.00,0.25,Matches
Lautaro Gianetti,ar ARG,DF,31-361,11,9,844,2025-04-09 00:00:00,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches
Soner Dikmen,tr TUR,MF,32-069,10,9,733,2025-01-08 00:00:00,2,0,2,2,0,0,3,0,0.25,0.00,0.25,0.25,0.25,Matches
Nikola Storm,be BEL,"MF,FW",31-040,9,9,708,2025-09-07 00:00:00,2,1,3,2,0,0,0,0,0.25,0.13,0.38,0.25,0.38,Matches
Jesper Ceesay,gm GAM,"MF,DF",24-020,11,6,729,2025-01-08 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Julián Cuesta,es ESP,GK,34-226,6,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdullah Yiğiter,,GK,25-280,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tomáš Čvančara,cz CZE,FW,25-088,10,6,520,2025-08-05 00:00:00,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
Ramzi Safouri,il ISR,MF,30-019,7,6,473,2025-03-05 00:00:00,0,1,1,0,0,0,4,0,0.00,0.19,0.19,0.00,0.19,Matches
Yohan Boli,ci CIV,FW,31-357,6,3,343,2025-08-03 00:00:00,2,1,3,2,0,0,0,0,0.52,0.26,0.79,0.52,0.79,Matches
Dario Šarić,ba BIH,MF,28-163,4,3,277,2025-01-03 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Güray Vural,tr TUR,"MF,FW",37-151,4,3,275,2025-01-03 00:00:00,2,0,2,2,0,0,1,0,0.65,0.00,0.65,0.65,0.65,Matches
Veysel Sarı,tr TUR,DF,37-107,3,3,239,2025-07-02 00:00:00,0,1,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,Matches
Hasan İlçin,,MF,16-230,4,3,169,2025-09-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jakub Kałuziński,pl POL,MF,23-009,4,2,216,2025-04-02 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Samuel Ballet,ch SUI,MF,24-242,6,1,190,2025-01-02 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Samet Karakoç,az AZE,DF,23-018,7,1,173,2025-09-01 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Doğukan Sınık,tr TUR,MF,26-292,5,1,111,2025-02-01 00:00:00,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
