Miscellaneous Stats 2025-2026 Antalyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Kenneth Paal,sr SUR,DF,28-138,2025-01-11 00:00:00,3,0,0,11,11,0,8,3,6,,,0,Matches
Georgi Dzhikiya,ru RUS,DF,31-353,2025-09-10 00:00:00,3,0,0,5,6,0,4,7,4,,,0,Matches
Abdülkadir Ömür,tr TUR,MF,26-137,9.0,2,0,0,9,6,0,23,4,14,,,0,Matches
Bünyamin Balcı,tr TUR,DF,25-162,2025-09-09 00:00:00,2,0,0,10,15,3,13,10,19,,,0,Matches
Sander van de Streek,nl NED,"MF,FW",32-230,8.0,4,1,1,21,13,2,8,11,8,,,0,Matches
Lautaro Gianetti,ar ARG,DF,31-361,2025-04-09 00:00:00,1,0,0,7,3,1,1,7,9,,,0,Matches
Soner Dikmen,tr TUR,MF,32-069,2025-01-08 00:00:00,3,0,0,10,10,1,5,9,5,,,0,Matches
Nikola Storm,be BEL,"MF,FW",31-040,2025-09-07 00:00:00,0,0,0,8,5,0,20,5,4,,,0,Matches
Jesper Ceesay,gm GAM,"MF,DF",24-020,2025-01-08 00:00:00,1,0,0,5,9,1,2,11,9,,,0,Matches
Julián Cuesta,es ESP,GK,34-226,6.0,2,0,0,0,1,0,0,0,1,,,0,Matches
Abdullah Yiğiter,,GK,25-280,6.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Tomáš Čvančara,cz CZE,FW,25-088,2025-08-05 00:00:00,1,0,0,9,11,5,4,0,2,,,0,Matches
Ramzi Safouri,il ISR,MF,30-019,2025-03-05 00:00:00,4,0,0,8,15,2,27,0,2,,,0,Matches
Yohan Boli,ci CIV,FW,31-357,2025-08-03 00:00:00,0,0,0,5,12,0,0,0,1,,,0,Matches
Dario Šarić,ba BIH,MF,28-163,2025-01-03 00:00:00,0,0,0,2,10,0,3,1,4,,,0,Matches
Güray Vural,tr TUR,"MF,FW",37-151,2025-01-03 00:00:00,1,0,0,5,2,1,13,0,2,,,0,Matches
Veysel Sarı,tr TUR,DF,37-107,2025-07-02 00:00:00,0,0,0,1,2,0,0,1,2,,,0,Matches
Hasan İlçin,,MF,16-230,2025-09-01 00:00:00,0,0,0,0,2,0,0,2,3,,,0,Matches
Jakub Kałuziński,pl POL,MF,23-009,2025-04-02 00:00:00,0,0,0,4,2,0,12,2,0,,,0,Matches
Samuel Ballet,ch SUI,MF,24-242,2025-01-02 00:00:00,1,0,0,7,12,2,3,3,5,,,0,Matches
Samet Karakoç,az AZE,DF,23-018,2025-09-01 00:00:00,1,0,0,4,4,2,4,2,0,,,0,Matches
Doğukan Sınık,tr TUR,MF,26-292,2025-02-01 00:00:00,2,1,1,4,2,0,4,0,1,,,0,Matches
Bachir Gueye,sn SEN,FW,22-246,1.0,1,0,0,4,3,0,1,0,1,,,0,Matches
Bahadır Öztürk,tr TUR,DF,30-039,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches
Engin Yıldırım,tr TUR,FW,20-298,1.0,1,0,0,2,2,0,0,0,0,,,0,Matches
Hüseyin Türkmen,tr TUR,DF,27-312,0.9,0,0,0,0,1,0,1,2,0,,,0,Matches
Mert Yilmaz,tr TUR,"DF,MF",26-246,0.2,1,0,0,1,1,0,0,0,0,,,0,Matches
Kerem Kayaarası,tr TUR,FW,19-236,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches
Ali Demirbilek,,FW,16-308,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,29.0,12.0,34,2,2,142,161,20,156,81,102,,,0,
Opponent Total,,,2025-02-28 00:00:00,12.0,31,0,0,168,135,19,244,91,102,,,0,
,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,
