Standard Stats 2025-2026 İstanbul Başakşehir: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Eldor Shomurodov,uz UZB,"FW,MF",30-133,12,12,1.047,2025-06-11 00:00:00,8,1,9,7,1,1,0,0,0.69,0.09,0.77,0.60,0.69,Matches
Jerome Opoku,gh GHA,DF,27-026,12,12,1.001,2025-01-11 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Muhammed Şengezer,tr TUR,GK,28-308,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Crespo,pt POR,"MF,FW",29-059,12,10,840,2025-03-09 00:00:00,0,4,4,0,0,0,3,0,0.00,0.43,0.43,0.00,0.43,Matches
Christopher Operi,ci CIV,"DF,MF",28-194,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Berat Özdemir,tr TUR,"MF,DF",27-170,10,9,740,2025-02-08 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Yusuf Sari,tr TUR,MF,26-354,9,8,630,7.0,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
Festy Ebosele,ie IRL,DF,23-099,10,7,573,2025-04-06 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Léo Duarte,br BRA,DF,29-115,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Olivier Kemen,cm CMR,MF,29-112,9,6,529,2025-09-05 00:00:00,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
Nuno da Costa,cv CPV,"MF,FW",34-272,10,6,522,2025-08-05 00:00:00,2,0,2,2,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches
Ousseynou Ba,sn SEN,DF,29-363,7,5,527,2025-09-05 00:00:00,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
Umut Güneş,tr TUR,MF,25-238,8,5,423,2025-07-04 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Deniz Turuc,tr TUR,MF,32-284,11,4,463,2025-01-05 00:00:00,0,1,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches
Onur Bulut,tr TUR,DF,31-207,5,4,389,2025-03-04 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ömer Ali Şahiner,tr TUR,"DF,MF",33-311,6,4,365,2025-01-04 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ivan Brnić,hr CRO,MF,24-078,9,4,363,4.0,2,0,2,2,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
Amine Harit,ma MAR,MF,28-144,6,3,288,2025-02-03 00:00:00,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches
Jakub Kałuziński,pl POL,MF,23-009,6,2,268,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Onur Ergün,tr TUR,MF,32-359,5,2,128,2025-04-01 00:00:00,0,1,1,0,0,0,0,0,0.00,0.70,0.70,0.00,0.70,Matches
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Abbosbek Fayzullayev,uz UZB,MF,22-037,5,1,156,2025-07-01 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Hamza Güreler,tr TUR,DF,19-213,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
