Playing Time 2025-2026 İstanbul Başakşehir: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Eldor Shomurodov,uz UZB,"FW,MF",30-133,12,1.047,87,96.9,2025-06-11 00:00:00,12,87,9,0,,0,2025-08-01 00:00:00,13,10,3,+0.26,+2.99,Matches
Jerome Opoku,gh GHA,DF,27-026,12,1.001,83,92.7,2025-01-11 00:00:00,12,83,10,0,,0,2025-08-01 00:00:00,12,11,1,+0.09,-1.05,Matches
Muhammed Şengezer,tr TUR,GK,28-308,11,990,90,91.7,11.0,11,90,11,0,,0,2025-09-01 00:00:00,13,11,2,+0.18,+0.18,Matches
Crespo,pt POR,"MF,FW",29-059,12,840,70,77.8,2025-03-09 00:00:00,10,77,2,2,33,0,2025-08-01 00:00:00,10,9,1,+0.11,-0.27,Matches
Christopher Operi,ci CIV,"DF,MF",28-194,9,810,90,75.0,9.0,9,90,9,0,,1,1.00,10,8,2,+0.22,+0.22,Matches
Berat Özdemir,tr TUR,"MF,DF",27-170,10,740,74,68.5,2025-02-08 00:00:00,9,80,3,1,21,2,2020-01-01 00:00:00,10,8,2,+0.24,+0.24,Matches
Yusuf Sari,tr TUR,MF,26-354,9,630,70,58.3,7.0,8,75,0,1,28,0,1933-01-01 00:00:00,9,6,3,+0.43,+0.63,Matches
Festy Ebosele,ie IRL,DF,23-099,10,573,57,53.1,2025-04-06 00:00:00,7,73,4,3,21,2,1.00,6,7,-1,-0.16,-0.69,Matches
Léo Duarte,br BRA,DF,29-115,6,540,90,50.0,6.0,6,90,6,0,,0,1933-01-01 00:00:00,8,5,3,+0.50,+0.67,Matches
Olivier Kemen,cm CMR,MF,29-112,9,529,59,49.0,2025-09-05 00:00:00,6,75,2,3,27,0,1933-01-01 00:00:00,7,4,3,+0.51,+0.67,Matches
Nuno da Costa,cv CPV,"MF,FW",34-272,10,522,52,48.3,2025-08-05 00:00:00,6,68,0,4,29,1,2025-10-01 00:00:00,7,6,1,+0.17,+0.01,Matches
Ousseynou Ba,sn SEN,DF,29-363,7,527,75,48.8,2025-09-05 00:00:00,5,90,4,2,40,4,0.86,4,5,-1,-0.17,-0.66,Matches
Umut Güneş,tr TUR,MF,25-238,8,423,53,39.2,2025-07-04 00:00:00,5,72,2,3,20,4,1950-01-01 00:00:00,5,3,2,+0.43,+0.43,Matches
Deniz Turuc,tr TUR,MF,32-284,11,463,42,42.9,2025-01-05 00:00:00,4,75,2,7,23,1,0.91,4,5,-1,-0.19,-0.63,Matches
Onur Bulut,tr TUR,DF,31-207,5,389,78,36.0,2025-03-04 00:00:00,4,90,4,1,29,4,1960-01-01 00:00:00,7,3,4,+0.93,+1.19,Matches
Ömer Ali Şahiner,tr TUR,"DF,MF",33-311,6,365,61,33.8,2025-01-04 00:00:00,4,69,1,2,45,2,0.67,3,4,-1,-0.25,-0.62,Matches
Ivan Brnić,hr CRO,MF,24-078,9,363,40,33.6,4.0,4,63,1,5,22,3,1944-01-01 00:00:00,6,4,2,+0.50,+0.50,Matches
Amine Harit,ma MAR,MF,28-144,6,288,48,2025-07-26 00:00:00,2025-02-03 00:00:00,3,65,0,3,31,0,0.67,2,4,-2,-0.62,-1.08,Matches
Jakub Kałuziński,pl POL,MF,23-009,6,268,45,2025-08-24 00:00:00,3.0,2,90,2,4,22,1,0.67,2,3,-1,-0.34,-0.67,Matches
Onur Ergün,tr TUR,MF,32-359,5,128,26,2025-09-11 00:00:00,2025-04-01 00:00:00,2,57,0,3,5,5,2020-01-01 00:00:00,1,2,-1,-0.70,-0.99,Matches
,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
