Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Playing Time,Unnamed: 6,Unnamed: 7,Performance,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Per 90 Minutes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Tammy Abraham,eng ENG,FW,28-038,12,11,889,2025-09-09 00:00:00,5,1,6,4,1,2,1,0,0.51,0.10,0.61,0.40,0.51,Matches
Wilfred Ndidi,ng NGA,MF,28-328,10,10,831,2025-02-09 00:00:00,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
Rafa Silva,pt POR,MF,32-176,10,10,816,2025-01-09 00:00:00,5,1,6,5,0,0,0,0,0.55,0.11,0.66,0.55,0.66,Matches
Orkun Kökçü,tr TUR,MF,24-315,10,10,812,9.0,0,2,2,0,0,0,1,2,0.00,0.22,0.22,0.00,0.22,Matches
Mert Günok,tr TUR,GK,36-253,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Emir Topçu,tr TUR,DF,25-029,8,8,674,2025-05-07 00:00:00,1,0,1,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches
Václav Černý,cz CZE,MF,28-023,8,8,565,2025-03-06 00:00:00,1,4,5,1,0,0,0,0,0.16,0.64,0.80,0.16,0.80,Matches
El Bilal Touré,ml MLI,"MF,FW",24-037,8,7,663,2025-04-07 00:00:00,2,2,4,2,0,0,2,0,0.27,0.27,0.54,0.27,0.54,Matches
Tiago Djaló,pt POR,DF,25-214,7,7,630,7.0,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
