Goalkeeping 2025-2026 Eyüpspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Marcos Felipe,br BRA,GK,29-210,10,10,900,10.0,10,1.00,40,33,82.5,2,2,6,3,30.0,3,3,0,0,0.0,Matches
Berke Özer,tr TUR,GK,25-168,1,1,90,1.0,4,4.00,4,1,25.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Squad Total,,,2025-06-29 00:00:00,11,11,990,11.0,14,2027-01-01 00:00:00,44,34,77.3,2,2,7,3,2025-03-27 00:00:00,4,4,0,0,0.0,
Opponent Total,,,2025-03-28 00:00:00,11,11,990,11.0,6,0.55,41,35,85.4,7,2,2,7,63.6,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shooting 2025-2026 Eyüpspor: Süper Lig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches,,,,,,,
Robin Yalçın,de GER,DF,31-288,11.0,0,1,0,0.0,0.09,0.00,0.00,,,0,0,Matches,,,,,,,
Kerem Demirbay,de GER,MF,32-129,2025-08-10 00:00:00,0,16,5,2025-03-31 00:00:00,1948-01-01 00:00:00,0.46,0.00,0.00,,0,0,Matches,,,,,,,
Marcos Felipe,br BRA,GK,29-210,10.0,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,,,
Nihad Mujakić,ba BIH,DF,27-208,10.0,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,,,
Luccas Claro,br BRA,DF,34-038,2025-03-09 00:00:00,0,6,0,0.0,0.64,0.00,0.00,,,0,0,Matches,,,,,,,
Serdar Gürler,tr TUR,"MF,FW",34-056,2025-04-08 00:00:00,0,15,5,33.3,1979-01-01 00:00:00,0.60,0.00,0.00,,0,0,Matches,,,,,,,
Lucas Calegari,br BRA,"DF,MF",23-255,2025-06-08 00:00:00,0,6,2,33.3,0.70,0.23,0.00,0.00,,0,0,Matches,,,,,,,
Yalçın Kayan,tr TUR,MF,26-283,2025-05-07 00:00:00,0,8,6,75.0,2025-06-01 00:00:00,0.80,0.00,0.00,,0,0,Matches,,,,,,,
Mame Baba Thiam,sn SEN,FW,33-031,2025-03-08 00:00:00,2,16,7,43.8,1994-01-01 00:00:00,0.85,0.13,0.29,,0,0,Matches,,,,,,,
Denis Drăguș,ro ROU,"MF,FW",26-126,2025-07-05 00:00:00,0,16,3,2025-08-18 00:00:00,1980-02-01 00:00:00,0.52,0.00,0.00,,0,0,Matches,,,,,,,
Svit Sešlar,si SVN,"MF,FW",23-304,2025-07-05 00:00:00,1,7,2,2025-06-28 00:00:00,2022-01-01 00:00:00,0.35,0.14,0.50,,0,0,Matches,,,,,,,
Halil Akbunar,tr TUR,"MF,FW",32-000,2025-05-04 00:00:00,1,8,2,25.0,1979-01-01 00:00:00,0.45,0.13,0.50,,0,0,Matches,,,,,,,
Umut Meraş,tr TUR,"DF,MF",29-324,2025-09-03 00:00:00,0,5,0,0.0,2027-01-01 00:00:00,0.00,0.00,,,0,0,Matches,,,,,,,
Mateusz Łęgowski,pl POL,MF,22-284,2025-08-03 00:00:00,0,4,1,25.0,2025-05-01 00:00:00,0.26,0.00,0.00,,0,0,Matches,,,,,,,
