Standard Stats 2025-2026 Galatasaray,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Competitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Süper Lig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champions League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Abdülkerim Bardakcı,tr TUR,DF,31-079,16,16,1.412,2025-07-15 00:00:00,0,1,1,0,0,0,3,0,0.2,0.2,0.0,0.2,0,9,0,0.00,0.06,0.06,0.00,0.06,0.06,0.00,0.06,0.06,0.06,Matches
Roland Sallai,hu HUN,"DF,FW",28-187,17,14,1.376,2025-03-15 00:00:00,0,2,2,0,0,0,2,1,0.1,0.1,0.2,0.3,11,4,7,0.00,0.13,0.13,0.00,0.13,0.04,0.06,0.10,0.04,0.10,Matches
Lucas Torreira,uy URU,MF,29-287,16,16,1.293,2025-04-14 00:00:00,1,2,3,1,0,0,3,0,0.1,0.1,0.0,0.2,0,10,6,0.07,0.14,0.21,0.07,0.21,0.03,0.01,0.04,0.03,0.04,Matches
Leroy Sané,de GER,"FW,MF",29-318,16,15,1.283,2025-03-14 00:00:00,3,3,6,3,0,0,0,0,0.4,0.4,2025-07-01 00:00:00,2025-02-02 00:00:00,9,9,15,0.21,0.21,0.42,0.21,0.42,0.16,0.62,0.79,0.16,0.79,Matches
Davinson Sánchez,co COL,DF,29-166,15,14,1.138,2025-06-12 00:00:00,1,0,1,1,0,0,4,1,0.1,0.1,0.0,0.1,4,16,0,0.08,0.00,0.08,0.08,0.08,0.02,0.00,0.02,0.02,0.02,Matches
Barış Alper Yılmaz,tr TUR,"FW,MF",25-186,15,13,1.106,2025-03-12 00:00:00,4,3,7,2,2,2,1,0,0.8,0.8,0.6,2025-04-01 00:00:00,11,5,20,0.33,0.24,0.57,0.16,0.41,0.25,0.20,0.45,0.25,0.45,Matches
Uğurcan Çakır,tr TUR,GK,29-234,12,12,1.08,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Sara,br BRA,MF,26-152,17,11,952,2025-06-10 00:00:00,1,2,3,1,0,0,1,0,0.1,0.1,0.5,0.6,1,8,1,0.09,0.19,0.28,0.09,0.28,0.06,0.39,0.45,0.06,0.45,Matches
Mario Lemina,ga GAB,MF,32-085,15,12,934,2025-04-10 00:00:00,0,1,1,0,0,0,2,0,0.0,0.0,0.3,0.3,2,9,2,0.00,0.10,0.10,0.00,0.10,0.00,0.08,0.08,0.00,0.08,Matches
Yunus Akgün,tr TUR,FW,25-141,13,12,925,2025-03-10 00:00:00,4,2,6,4,0,0,0,0,0.6,0.6,0.5,2025-01-01 00:00:00,4,9,14,0.39,0.19,0.58,0.39,0.58,0.24,0.20,0.45,0.24,0.45,Matches
Eren Elmalı,tr TUR,"DF,MF",25-141,15,9,836,2025-03-09 00:00:00,3,0,3,3,0,0,1,0,0.1,0.1,0.0,0.1,3,4,3,0.32,0.00,0.32,0.32,0.32,0.05,0.03,0.08,0.05,0.08,Matches
