Standard Stats 2025-2026 Gaziantep FK: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Kacper Kozłowski,pl POL,MF,22-024,12,12,1.038,2025-05-11 00:00:00,3,1,4,3,0,0,1,0,0.26,0.09,0.35,0.26,0.35,Matches
Alexandru Maxim,ro ROU,"MF,FW",35-124,12,12,997,2025-01-11 00:00:00,2,5,7,0,2,2,2,0,0.18,0.45,0.63,0.00,0.45,Matches
Kévin Rodrigues,pt POR,"DF,MF",31-249,11,11,978,2025-09-10 00:00:00,2,1,3,2,0,0,4,0,0.18,0.09,0.28,0.18,0.28,Matches
Myenty Abena,sr SUR,DF,30-332,10,10,850,2025-04-09 00:00:00,1,0,1,1,0,0,2,1,0.11,0.00,0.11,0.11,0.11,Matches
Mustafa Burak Bozan,,GK,25-078,9,9,783,2025-07-08 00:00:00,0,1,1,0,0,0,2,1,0.00,0.11,0.11,0.00,0.11,Matches
Melih Kabasakal,,"MF,DF",29-264,9,9,764,2025-05-08 00:00:00,1,1,2,1,0,0,4,0,0.12,0.12,0.24,0.12,0.24,Matches
Arda Kızıldağ,tr TUR,"DF,MF",27-025,9,9,696,2025-07-07 00:00:00,1,0,1,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches
Christopher Lungoyi,ch SUI,"MF,FW",25-128,11,8,673,2025-05-07 00:00:00,2,2,4,2,0,0,0,0,0.27,0.27,0.53,0.27,0.53,Matches
Luis Pérez,es ESP,"MF,DF",30-278,9,8,660,2025-03-07 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Deian Sorescu,ro ROU,"MF,DF",28-072,10,7,629,7.0,1,0,1,1,0,1,2,0,0.14,0.00,0.14,0.14,0.14,Matches
Mohamed Lamine Bayo,gn GUI,"FW,MF",27-158,7,6,529,2025-09-05 00:00:00,2,0,2,2,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches
Drissa Camara,ci CIV,MF,23-264,8,5,506,2025-06-05 00:00:00,1,2,3,1,0,0,2,0,0.18,0.36,0.53,0.18,0.53,Matches
Tayyib Talha Sanuç,tr TUR,"DF,MF",25-327,5,4,289,2025-02-03 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Semih Güler,,DF,30-344,9,3,439,2025-09-04 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Badou Ndiaye,sn SEN,MF,35-013,9,3,343,2025-08-03 00:00:00,0,1,1,0,0,0,3,0,0.00,0.26,0.26,0.00,0.26,Matches
Emmanuel Boateng,gh GHA,FW,29-170,7,3,333,2025-07-03 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ogün Özçiçek,,MF,26-289,8,3,304,2025-04-03 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Zafer Görgen,,GK,25-141,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Yusuf Kabadayı,de GER,"MF,FW",21-280,6,2,207,2025-03-02 00:00:00,1,0,1,1,0,0,3,0,0.43,0.00,0.43,0.43,0.43,Matches
Juninho Bacuna,cw CUW,MF,28-094,8,2,206,2025-03-02 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Enver Kulasin,ba BIH,MF,22-059,5,1,134,2025-05-01 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
