Playing Time 2025-2026 Gaziantep FK: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Kacper Kozłowski,pl POL,MF,22-024,12,1.038,87,96.1,2025-05-11 00:00:00,12,87,9,0,,0,1958-01-01 00:00:00,17,17,0,0.00,+6.43,Matches
Alexandru Maxim,ro ROU,"MF,FW",35-124,12,997,83,92.3,2025-01-11 00:00:00,12,83,5,0,,0,1958-01-01 00:00:00,15,18,-3,-0.27,-0.27,Matches
Kévin Rodrigues,pt POR,"DF,MF",31-249,11,978,89,90.6,2025-09-10 00:00:00,11,89,10,0,,0,1964-01-01 00:00:00,17,18,-1,-0.09,+1.67,Matches
Myenty Abena,sr SUR,DF,30-332,10,850,85,78.7,2025-04-09 00:00:00,10,85,8,0,,0,1950-01-01 00:00:00,12,17,-5,-0.53,-1.31,Matches
Mustafa Burak Bozan,,GK,25-078,9,783,87,72.5,2025-07-08 00:00:00,9,87,8,0,,2,1989-01-01 00:00:00,15,15,0,0.00,+0.91,Matches
Melih Kabasakal,,"MF,DF",29-264,9,764,85,70.7,2025-05-08 00:00:00,9,85,5,0,,0,1978-01-01 00:00:00,15,10,5,+0.59,+2.87,Matches
Arda Kızıldağ,tr TUR,"DF,MF",27-025,9,696,77,64.4,2025-07-07 00:00:00,9,77,5,0,,3,1967-01-01 00:00:00,11,14,-3,-0.39,-0.39,Matches
Christopher Lungoyi,ch SUI,"MF,FW",25-128,11,673,61,62.3,2025-05-07 00:00:00,8,72,1,3,32,1,1964-01-01 00:00:00,12,9,3,+0.40,+1.73,Matches
Luis Pérez,es ESP,"MF,DF",30-278,9,660,73,61.1,2025-03-07 00:00:00,8,81,6,1,16,1,1978-01-01 00:00:00,12,9,3,+0.41,+1.69,Matches
Deian Sorescu,ro ROU,"MF,DF",28-072,10,629,63,58.2,7.0,7,77,3,3,29,1,1950-01-01 00:00:00,9,16,-7,-1.00,-1.80,Matches
Mohamed Lamine Bayo,gn GUI,"FW,MF",27-158,7,529,76,49.0,2025-09-05 00:00:00,6,81,2,1,46,0,1943-01-01 00:00:00,9,9,0,0.00,+0.49,Matches
Drissa Camara,ci CIV,MF,23-264,8,506,63,46.9,2025-06-05 00:00:00,5,86,2,3,26,0,1963-01-01 00:00:00,9,6,3,+0.53,+1.47,Matches
Tayyib Talha Sanuç,tr TUR,"DF,MF",25-327,5,289,58,2025-08-26 00:00:00,2025-02-03 00:00:00,4,66,1,1,24,0,2020-02-01 00:00:00,5,5,0,0.00,+0.34,Matches
Semih Güler,,DF,30-344,9,439,49,40.6,2025-09-04 00:00:00,3,90,3,6,28,3,1967-01-01 00:00:00,9,7,2,+0.41,+1.11,Matches
Badou Ndiaye,sn SEN,MF,35-013,9,343,38,2025-08-31 00:00:00,2025-08-03 00:00:00,3,66,0,6,24,3,1978-01-01 00:00:00,4,7,-3,-0.79,-0.79,Matches
Emmanuel Boateng,gh GHA,FW,29-170,7,333,48,2025-08-30 00:00:00,2025-07-03 00:00:00,3,86,2,4,19,1,2014-01-01 00:00:00,3,11,-8,-2.16,-2.76,Matches
Ogün Özçiçek,,MF,26-289,8,304,38,2025-01-28 00:00:00,2025-04-03 00:00:00,3,70,1,5,19,3,1950-01-01 00:00:00,5,6,-1,-0.30,-0.06,Matches
Zafer Görgen,,GK,25-141,3,270,90,25.0,3.0,3,90,3,0,,8,0.67,2,5,-3,-1.00,-1.00,Matches
Yusuf Kabadayı,de GER,"MF,FW",21-280,6,207,35,2025-02-19 00:00:00,2025-03-02 00:00:00,2,67,1,4,18,1,1983-01-01 00:00:00,3,4,-1,-0.43,-0.23,Matches
Juninho Bacuna,cw CUW,MF,28-094,8,206,26,2025-01-19 00:00:00,2025-03-02 00:00:00,2,73,1,6,10,4,1975-01-01 00:00:00,1,7,-6,-2.62,-2.93,Matches
