Miscellaneous Stats 2025-2026 Gaziantep FK: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Kacper Kozłowski,pl POL,MF,22-024,2025-05-11 00:00:00,1,0,0,15,37,0,13,1,6,,,0,Matches
Alexandru Maxim,ro ROU,"MF,FW",35-124,2025-01-11 00:00:00,2,0,0,9,19,2,61,7,5,,,0,Matches
Kévin Rodrigues,pt POR,"DF,MF",31-249,2025-09-10 00:00:00,4,0,0,15,12,0,16,16,26,,,1,Matches
Myenty Abena,sr SUR,DF,30-332,2025-04-09 00:00:00,2,1,0,11,8,1,0,9,11,,,0,Matches
Mustafa Burak Bozan,,GK,25-078,2025-07-08 00:00:00,2,1,0,1,2,0,0,0,0,,,0,Matches
Melih Kabasakal,,"MF,DF",29-264,2025-05-08 00:00:00,4,0,0,14,5,1,2,15,25,,,0,Matches
Arda Kızıldağ,tr TUR,"DF,MF",27-025,2025-07-07 00:00:00,3,0,0,12,6,0,1,6,10,,,0,Matches
Christopher Lungoyi,ch SUI,"MF,FW",25-128,2025-05-07 00:00:00,0,0,0,20,19,2,5,1,6,,,0,Matches
Luis Pérez,es ESP,"MF,DF",30-278,2025-03-07 00:00:00,0,0,0,4,7,1,28,14,9,,,0,Matches
Deian Sorescu,ro ROU,"MF,DF",28-072,7.0,2,0,0,5,9,4,19,3,5,,,0,Matches
Mohamed Lamine Bayo,gn GUI,"FW,MF",27-158,2025-09-05 00:00:00,0,0,0,0,1,2,1,1,1,,,0,Matches
Drissa Camara,ci CIV,MF,23-264,2025-06-05 00:00:00,2,0,0,7,17,1,4,4,7,,,0,Matches
Tayyib Talha Sanuç,tr TUR,"DF,MF",25-327,2025-02-03 00:00:00,2,0,0,7,5,0,0,3,3,,,0,Matches
Semih Güler,,DF,30-344,2025-09-04 00:00:00,1,0,0,1,3,1,1,4,9,,,0,Matches
Badou Ndiaye,sn SEN,MF,35-013,2025-08-03 00:00:00,3,0,0,6,10,0,1,0,5,,,0,Matches
Emmanuel Boateng,gh GHA,FW,29-170,2025-07-03 00:00:00,1,0,0,10,7,2,0,0,2,,,0,Matches
Ogün Özçiçek,,MF,26-289,2025-04-03 00:00:00,2,0,0,8,10,0,1,2,5,,,0,Matches
Zafer Görgen,,GK,25-141,3.0,1,0,0,0,2,0,0,0,0,,,0,Matches
Yusuf Kabadayı,de GER,"MF,FW",21-280,2025-03-02 00:00:00,3,0,0,9,1,1,3,1,3,,,0,Matches
Juninho Bacuna,cw CUW,MF,28-094,2025-03-02 00:00:00,1,0,0,4,3,0,4,3,3,,,0,Matches
Enver Kulasin,ba BIH,MF,22-059,2025-05-01 00:00:00,1,0,0,2,4,0,1,0,3,,,0,Matches
Nazim Sangaré,tr TUR,DF,31-163,1.0,0,0,0,0,1,0,0,7,1,,,0,Matches
Salem M'bakata,cd COD,DF,27-204,0.4,0,0,0,0,0,0,0,1,0,,,0,Matches
Ali Kalın,,FW,17-231,0.4,0,0,0,0,1,0,0,2,1,,,0,Matches
Mirza Cihan,,FW,25-014,0.3,0,0,0,1,1,0,0,1,0,,,0,Matches
Sokratis Dioudis,gr GRE,GK,32-279,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Rob Nizet,be BEL,DF,23-209,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Squad Total,,,2025-03-28 00:00:00,12.0,37,2,0,161,191,18,161,101,146,,,1,
Opponent Total,,,28.0,12.0,44,3,2,196,151,15,187,110,120,,,0,
,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,
