Standard Stats 2025-2026 Göztepe: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Héliton,br BRA,DF,29-361,12,12,1.08,12.0,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
Mateusz Lis,pl POL,GK,28-255,12,12,1.08,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Amine Cherni,tn TUN,MF,24-125,12,12,1.051,2025-07-11 00:00:00,0,2,2,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches
Arda Kurtulan,al ALB,MF,22-355,12,12,1.035,2025-05-11 00:00:00,0,1,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches
Janderson,br BRA,FW,26-187,12,12,980,2025-09-10 00:00:00,1,3,4,1,0,0,1,0,0.09,0.28,0.37,0.09,0.37,Matches
Malcom Bokélé,cm CMR,DF,25-270,11,11,941,2025-05-10 00:00:00,1,0,1,1,0,0,5,1,0.10,0.00,0.10,0.10,0.10,Matches
Rhaldney,br BRA,MF,26-354,12,11,891,2025-09-09 00:00:00,1,1,2,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,Matches
Juan Santos,br BRA,FW,23-248,11,11,868,2025-06-09 00:00:00,5,0,5,5,0,1,2,1,0.52,0.00,0.52,0.52,0.52,Matches
Anthony Dennis,ng NGA,MF,21-141,11,10,853,2025-05-09 00:00:00,2,0,2,2,0,0,4,0,0.21,0.00,0.21,0.21,0.21,Matches
Junior Olaitan,bj BEN,MF,23-184,10,6,542,6.0,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
Novatus Dismas,tz TAN,"MF,DF",23-068,12,5,587,2025-05-06 00:00:00,0,1,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
Efkan Bekiroğlu,,MF,30-056,11,5,403,2025-05-04 00:00:00,2,1,3,2,0,0,1,0,0.45,0.22,0.67,0.45,0.67,Matches
Allan Godói,br BRA,DF,32-219,6,4,430,2025-08-04 00:00:00,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
Taha Altıkardeş,tr TUR,DF,22-079,12,4,368,2025-01-04 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Furkan Bayır,tr TUR,DF,25-273,7,4,332,2025-07-03 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Emersonn,br BRA,FW,21-116,3,1,125,2025-04-01 00:00:00,1,0,1,1,0,0,0,0,0.72,0.00,0.72,0.72,0.72,Matches
Ibrahim Sabra,jo JOR,FW,19-281,7,0,80,0.9,1,0,1,1,0,0,1,0,2013-01-01 00:00:00,0.00,2013-01-01 00:00:00,2013-01-01 00:00:00,2013-01-01 00:00:00,Matches
İsmail Köybaşı,tr TUR,DF,36-122,7,0,63,0.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Ildiz,tr TUR,MF,28-345,6,0,49,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ruan,br BRA,"DF,MF",30-164,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Salem Bouajila,fi FIN,FW,18-100,3,0,16,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Uğur Kaan Yıldız,tr TUR,DF,23-095,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ogün Bayrak,,MF,27-030,0,0,,,,,,,,,,,,,,,,Matches
Tibet Durakçay,,FW,19-281,0,0,,,,,,,,,,,,,,,,Matches
Ekrem Kılıçarslan,,GK,28-079,0,0,,,,,,,,,,,,,,,,Matches
Nevzat Üzel,,GK,18-247,0,0,,,,,,,,,,,,,,,,Matches
Ege Yıldırım,,DF,18-205,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,2025-08-25 00:00:00,12,132,1.08,12.0,15,11,26,15,0,1,29,3,2025-01-01 00:00:00,0.92,2017-02-01 00:00:00,2025-01-01 00:00:00,2017-02-01 00:00:00,
Opponent Total,,,2025-03-28 00:00:00,12,132,1.08,12.0,6,3,9,6,0,1,26,1,0.50,0.25,0.75,0.50,0.75,
