Standard Stats 2025-2026 Konyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Umut Nayir,tr TUR,FW,32-134,11,11,985,2025-09-10 00:00:00,6,1,7,6,0,0,0,0,0.55,0.09,0.64,0.55,0.64,Matches
Guilherme Sityá,pt POR,"DF,MF",35-222,11,11,977,2025-09-10 00:00:00,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
Yhoan Andzouana,cg CGO,"DF,MF",28-331,11,11,968,2025-08-10 00:00:00,1,3,4,1,0,0,1,0,0.09,0.28,0.37,0.09,0.37,Matches
Melih Ibrahimoglu,tr TUR,MF,25-115,11,11,847,2025-04-09 00:00:00,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
Adil Demirbağ,tr TUR,DF,27-334,10,10,887,2025-09-09 00:00:00,1,2,3,1,0,0,4,0,0.10,0.20,0.30,0.10,0.30,Matches
Alassane Ndao,sn SEN,"MF,FW",28-324,10,10,721,8.0,2,3,5,2,0,0,0,0,0.25,0.37,0.62,0.25,0.62,Matches
Enis Bardhi,mk MKD,MF,30-130,10,9,777,2025-06-08 00:00:00,3,0,3,2,1,1,3,1,0.35,0.00,0.35,0.23,0.23,Matches
Deniz Ertaş,tr TUR,GK,20-234,8,8,720,8.0,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches
Jackson Muleka,cd COD,"MF,FW",26-036,9,7,633,7.0,1,1,2,1,0,0,3,0,0.14,0.14,0.28,0.14,0.28,Matches
Riechedly Bazoer,cw CUW,DF,29-028,7,7,591,2025-06-06 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Jevtović,rs SRB,"DF,MF",32-108,7,6,539,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Uğurcan Yazgılı,tr TUR,DF,26-214,7,6,463,2025-01-05 00:00:00,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Pedrinho,br BRA,MF,28-325,9,3,372,2025-01-04 00:00:00,1,0,1,0,1,1,0,0,0.24,0.00,0.24,0.00,0.00,Matches
Jo Jinho,kr KOR,MF,22-122,5,3,297,2025-03-03 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Bahadır Güngördü,,GK,27-336,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Danijel Aleksić,rs SRB,MF,34-193,3,3,195,2025-02-02 00:00:00,1,0,1,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,Matches
Morten Bjørlo,no NOR,MF,30-036,9,2,201,2025-02-02 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Muhammet Tunahan Taşçı,tr TUR,MF,23-194,6,0,135,2025-05-01 00:00:00,1,1,2,1,0,0,1,0,0.67,0.67,1933-01-01 00:00:00,0.67,1933-01-01 00:00:00,Matches
Josip Čalušić,hr CRO,DF,32-029,4,0,118,2025-03-01 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Marius Ştefănescu,ro ROU,"DF,FW",27-087,7,0,100,2025-01-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Melih Bostan,,FW,21-215,4,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kaan Akyazi,,FW,20-074,3,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ufuk Akyol,de GER,MF,28-074,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
