Miscellaneous Stats 2025-2026 Konyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Umut Nayir,tr TUR,FW,32-134,2025-09-10 00:00:00,0,0,0,11,17,11,4,0,0,,,0,Matches
Guilherme Sityá,pt POR,"DF,MF",35-222,2025-09-10 00:00:00,2,0,0,11,5,0,72,12,9,,,0,Matches
Yhoan Andzouana,cg CGO,"DF,MF",28-331,2025-08-10 00:00:00,1,0,0,10,12,0,47,8,11,,,0,Matches
Melih Ibrahimoglu,tr TUR,MF,25-115,2025-04-09 00:00:00,0,0,0,11,16,1,8,8,14,,,0,Matches
Adil Demirbağ,tr TUR,DF,27-334,2025-09-09 00:00:00,4,0,0,20,6,0,6,13,10,,,0,Matches
Alassane Ndao,sn SEN,"MF,FW",28-324,8.0,0,0,0,2,8,4,29,5,7,,,0,Matches
Enis Bardhi,mk MKD,MF,30-130,2025-06-08 00:00:00,3,1,1,10,8,1,31,6,6,,,0,Matches
Deniz Ertaş,tr TUR,GK,20-234,8.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Jackson Muleka,cd COD,"MF,FW",26-036,7.0,3,0,0,12,28,2,9,4,6,,,0,Matches
Riechedly Bazoer,cw CUW,DF,29-028,2025-06-06 00:00:00,2,0,0,9,4,0,1,4,7,,,1,Matches
Marko Jevtović,rs SRB,"DF,MF",32-108,6.0,1,0,0,5,3,0,1,12,5,,,0,Matches
Uğurcan Yazgılı,tr TUR,DF,26-214,2025-01-05 00:00:00,4,0,0,5,6,0,1,2,6,,,0,Matches
Pedrinho,br BRA,MF,28-325,2025-01-04 00:00:00,0,0,0,5,7,0,21,1,7,,,0,Matches
Jo Jinho,kr KOR,MF,22-122,2025-03-03 00:00:00,1,0,0,5,5,0,13,0,6,,,0,Matches
Bahadır Güngördü,,GK,27-336,3.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Danijel Aleksić,rs SRB,MF,34-193,2025-02-02 00:00:00,0,0,0,1,1,0,1,1,2,,,0,Matches
Morten Bjørlo,no NOR,MF,30-036,2025-02-02 00:00:00,2,0,0,5,4,0,1,1,1,,,0,Matches
Muhammet Tunahan Taşçı,tr TUR,MF,23-194,2025-05-01 00:00:00,1,0,0,3,5,0,8,0,2,,,0,Matches
Josip Čalušić,hr CRO,DF,32-029,2025-03-01 00:00:00,1,0,0,3,1,0,0,1,1,,,0,Matches
Marius Ştefănescu,ro ROU,"DF,FW",27-087,2025-01-01 00:00:00,0,0,0,3,2,0,12,0,1,,,0,Matches
Melih Bostan,,FW,21-215,0.5,0,0,0,0,0,1,0,0,0,,,0,Matches
Kaan Akyazi,,FW,20-074,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
Ufuk Akyol,de GER,MF,28-074,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Mücahit Ibrahimoglu,at AUT,MF,20-245,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Karahan Yasir Subaşı,tr TUR,DF,29-312,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,2025-08-28 00:00:00,11.0,27,1,1,132,138,20,265,78,101,,,1,
Opponent Total,,,2025-09-27 00:00:00,11.0,27,1,1,147,130,10,186,85,101,,,1,
