Squad Shooting 2025-2026 Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
View Player Stats,,,,,,,,,,,,,
,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,
Squad Stats,,,,,,,,,,,,,
Opponent Stats,,,,,,,,,,,,,
,,,Standard,,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
Alanyaspor,23,12.0,12,145,44,2025-03-30 00:00:00,2025-08-12 00:00:00,1967-03-01 00:00:00,0.07,0.23,,2,2
Antalyaspor,29,12.0,13,107,49,45.8,1992-08-01 00:00:00,2025-08-04 00:00:00,0.12,0.27,,0,0
Başakşehir,26,12.0,12,153,47,2025-07-30 00:00:00,1975-12-01 00:00:00,1992-03-01 00:00:00,0.07,0.23,,1,1
Beşiktaş,30,12.0,20,166,63,38.0,13.83,2025-05-01 00:00:00,0.11,0.30,,1,2
Eyüpspor,25,11.0,6,134,43,32.1,2018-12-01 00:00:00,1991-03-01 00:00:00,0.04,0.14,,0,0
Fatih Karagümrük,26,11.0,9,131,34,26.0,1991-11-01 00:00:00,2025-09-03 00:00:00,0.06,0.24,,1,2
Fenerbahçe,29,11.0,20,192,73,38.0,17.45,1964-06-01 00:00:00,0.09,0.25,,2,4
Galatasaray,23,11.0,24,199,72,36.2,2025-09-18 00:00:00,1955-06-01 00:00:00,0.11,0.31,,2,2
Gaziantep FK,27,12.0,17,179,60,33.5,14.92,5.00,0.08,0.25,,2,3
Gençlerbirliği,29,12.0,11,126,39,31.0,1950-10-01 00:00:00,2025-03-01 00:00:00,0.07,0.23,,2,3
Göztepe,22,12.0,15,160,52,32.5,13.33,1933-04-01 00:00:00,0.09,0.29,,0,1
Kasımpaşa,21,12.0,10,142,33,2025-02-23 00:00:00,1983-11-01 00:00:00,1975-02-01 00:00:00,0.06,0.27,,1,1
Kayserispor,28,11.0,11,135,48,35.6,2027-12-01 00:00:00,1936-04-01 00:00:00,0.08,0.23,,0,0
Kocaelispor,28,11.0,10,108,39,36.1,1982-09-01 00:00:00,1955-03-01 00:00:00,0.07,0.21,,2,2
Konyaspor,25,11.0,17,161,54,33.5,14.64,1991-04-01 00:00:00,0.09,0.28,,2,2
Rizespor,23,12.0,13,147,38,2025-09-25 00:00:00,2025-12-01 00:00:00,2017-03-01 00:00:00,0.09,0.34,,0,0
Samsunspor,25,11.0,14,147,45,2025-06-30 00:00:00,13.36,2025-09-04 00:00:00,0.09,0.29,,1,1
Trabzonspor,26,12.0,18,169,57,33.7,2025-08-14 00:00:00,1975-04-01 00:00:00,0.09,0.28,,2,2
