Squad Playing Time 2025-2026 Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
View Player Stats,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,
Squad Stats,,,,,,,,,,,,,,,,,,
Opponent Stats,,,,,,,,,,,,,,,,,,
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Alanyaspor,23,27.0,12,1.08,90,100,12.0,132,83,76,56,17,63,2025-01-01 00:00:00,12,12,0,0.00
Antalyaspor,29,29.0,12,1.08,90,100,12.0,132,80,73,57,23,63,2025-08-01 00:00:00,13,23,-10,-0.83
Başakşehir,26,2025-05-28 00:00:00,12,1.08,90,100,12.0,132,80,74,57,23,60,2025-08-01 00:00:00,13,11,2,+0.17
Beşiktaş,30,2025-02-28 00:00:00,12,1.08,90,100,12.0,132,83,86,44,19,71,1967-01-01 00:00:00,21,16,5,+0.42
Eyüpspor,25,2025-06-29 00:00:00,11,990,90,100,11.0,121,81,69,53,21,57,0.73,6,14,-8,-0.73
Fatih Karagümrük,26,2025-04-27 00:00:00,11,990,90,100,11.0,121,81,70,49,21,54,0.36,10,23,-13,-1.18
Fenerbahçe,29,2025-01-28 00:00:00,11,990,90,100,11.0,121,81,67,53,21,56,2027-02-01 00:00:00,21,8,13,+1.18
Galatasaray,23,2025-08-28 00:00:00,11,990,90,100,11.0,121,81,66,54,18,55,1964-02-01 00:00:00,25,5,20,+1.82
Gaziantep FK,27,2025-03-28 00:00:00,12,1.08,90,100,12.0,132,81,77,53,22,67,1958-01-01 00:00:00,17,20,-3,-0.25
Gençlerbirliği,29,2025-03-28 00:00:00,12,1.08,90,100,12.0,132,83,78,51,18,67,0.92,12,17,-5,-0.42
Göztepe,22,2025-08-25 00:00:00,12,1.08,90,100,12.0,132,83,71,59,15,53,1983-01-01 00:00:00,15,6,9,+0.75
Kasımpaşa,21,2025-07-28 00:00:00,12,1.08,90,100,12.0,132,84,87,44,16,75,0.83,11,17,-6,-0.50
Kayserispor,28,2025-05-29 00:00:00,11,990,90,100,11.0,121,80,70,51,24,57,0.82,11,24,-13,-1.18
Kocaelispor,28,2025-08-28 00:00:00,11,990,90,100,11.0,121,81,70,49,20,60,1.00,10,15,-5,-0.45
Konyaspor,25,2025-08-28 00:00:00,11,990,90,100,11.0,121,83,72,48,17,62,2027-01-01 00:00:00,18,18,0,0.00
Rizespor,23,2025-03-27 00:00:00,12,1.08,90,100,12.0,132,82,80,53,20,67,2017-01-01 00:00:00,14,16,-2,-0.17
Samsunspor,25,2025-01-28 00:00:00,11,990,90,100,11.0,121,82,72,48,20,58,1982-01-01 00:00:00,17,11,6,+0.55
Trabzonspor,26,2025-03-27 00:00:00,12,1.08,90,100,12.0,132,82,76,55,18,64,2025-08-02 00:00:00,18,8,10,+0.83
