Shooting 2025-2026 Rizespor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Casper Højer Nielsen,dk DEN,DF,30-354,2025-07-11 00:00:00,0,9,0,0.0,0.77,0.00,0.00,,,0,0,Matches
Giannis Papanikolaou,gr GRE,MF,26-356,2025-01-11 00:00:00,1,15,2,2025-03-13 00:00:00,1935-01-01 00:00:00,0.18,0.07,0.50,,0,0,Matches
Qazim Laçi,al ALB,MF,29-294,2025-07-10 00:00:00,0,15,4,2025-07-26 00:00:00,1940-01-01 00:00:00,0.37,0.00,0.00,,0,0,Matches
Muhammet Taha Şahin,,DF,25-018,11.0,0,4,1,25.0,0.36,0.09,0.00,0.00,,0,0,Matches
Samet Akaydın,tr TUR,DF,31-241,11.0,0,5,1,20.0,0.45,0.09,0.00,0.00,,0,0,Matches
Attila Mocsi,hu HUN,DF,25-164,2025-08-08 00:00:00,1,2,1,50.0,0.23,0.11,0.50,1.00,,0,0,Matches
Ali Sowe,gm GAM,FW,31-148,2025-03-08 00:00:00,1,17,3,2025-06-17 00:00:00,2025-04-02 00:00:00,0.36,0.06,0.33,,0,0,Matches
Yahia Fofana,ci CIV,GK,25-080,7.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Muhamed Buljubasic,ba BIH,MF,21-128,2025-03-06 00:00:00,0,9,2,2025-02-22 00:00:00,1942-01-01 00:00:00,0.32,0.00,0.00,,0,0,Matches
Jesurun Rak Sakyi,eng ENG,"MF,FW",23-035,2025-08-04 00:00:00,4,12,6,50.0,1951-02-01 00:00:00,2025-01-01 00:00:00,0.33,0.67,,0,0,Matches
Erdem Canpolat,de GER,GK,24-210,5.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Mithat Pala,tr TUR,"MF,DF",25-086,2025-09-04 00:00:00,0,4,1,25.0,0.81,0.20,0.00,0.00,,0,0,Matches
Ibrahim Olawoyin,ng NGA,MF,27-343,2025-06-04 00:00:00,1,3,1,33.3,0.66,0.22,0.33,1.00,,0,0,Matches
Emrecan Bulut,,"MF,FW",23-287,2025-05-04 00:00:00,1,13,4,2025-08-30 00:00:00,1988-02-01 00:00:00,0.89,0.08,0.25,,0,0,Matches
Václav Jurečka,cz CZE,FW,31-136,2025-04-04 00:00:00,1,10,4,40.0,1930-02-01 00:00:00,0.92,0.10,0.25,,0,0,Matches
Loide Augusto,ao ANG,"MF,FW",25-256,3.0,0,8,0,0.0,1966-02-01 00:00:00,0.00,0.00,,,0,0,Matches
Halil Dervişoğlu,tr TUR,FW,25-336,2025-09-03 00:00:00,0,5,1,20.0,2027-01-01 00:00:00,0.25,0.00,0.00,,0,0,Matches
Altin Zeqiri,xk KVX,"MF,FW",25-114,2025-03-03 00:00:00,1,8,4,50.0,1942-02-01 00:00:00,2021-01-01 00:00:00,0.13,0.25,,0,0,Matches
Xusniddin Aliqulov,uz UZB,DF,26-219,2025-09-02 00:00:00,0,1,1,100.0,0.34,0.34,0.00,0.00,,0,0,Matches
Modibo Sagnan,ml MLI,DF,26-209,2025-03-01 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Valentin Mihaila,ro ROU,MF,25-280,2025-07-01 00:00:00,1,3,1,33.3,1979-01-01 00:00:00,0.60,0.33,1.00,,0,0,Matches
Taylan Antalyalı,tr TUR,MF,30-305,2025-01-01 00:00:00,0,2,0,0.0,1989-01-01 00:00:00,0.00,0.00,,,0,0,Matches
Dal Varesanovic,ba BIH,MF,24-170,0.6,1,2,1,50.0,1933-03-01 00:00:00,1967-01-01 00:00:00,0.50,1.00,,0,0,Matches
Squad Total,,,2025-03-27 00:00:00,12.0,13,147,38,2025-09-25 00:00:00,2025-12-01 00:00:00,2017-03-01 00:00:00,0.09,0.34,,0,0,
Opponent Total,,,2025-02-28 00:00:00,12.0,16,174,56,32.2,14.50,1967-04-01 00:00:00,0.09,0.27,,1,3,
,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note",,,,,,,,,,,,,,,,
