Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Playing Time,Unnamed: 6,Unnamed: 7,Performance,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Per 90 Minutes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Rick van Drongelen,nl NED,DF,26-324,11,11,990,11.0,2,0,2,2,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
Okan Kocuk,tr TUR,GK,30-105,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ľubomír Šatka,sk SVK,DF,29-342,11,11,945,2025-05-10 00:00:00,0,1,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches
Logi Tómasson,is ISL,DF,25-057,11,11,901,10.0,0,2,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches
Carlo Holse,dk DEN,MF,26-160,11,10,853,2025-05-09 00:00:00,5,1,6,5,0,0,0,0,0.53,0.11,0.63,0.53,0.63,Matches
Zeki Yavru,tr TUR,DF,34-065,10,10,791,2025-08-08 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Anthony Musaba,nl NED,MF,24-338,9,9,768,2025-05-08 00:00:00,2,2,4,2,0,0,3,0,0.23,0.23,0.47,0.23,0.47,Matches
Olivier Ntcham,cm CMR,MF,29-273,9,9,745,2025-03-08 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Marius Mouandilmadji,td CHA,FW,28-291,11,8,730,2025-01-08 00:00:00,2,0,2,1,1,1,2,0,0.25,0.00,0.25,0.12,0.12,Matches
Antoine Makoumbou,cg CGO,MF,27-114,11,6,580,2025-04-06 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Celil Yüksel,tr TUR,MF,27-312,10,5,476,2025-03-05 00:00:00,0,1,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches
Emre Kılınç,tr TUR,"MF,FW",31-078,6,5,398,2025-04-04 00:00:00,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches
Tanguy Coulibaly,fr FRA,MF,24-264,5,4,302,2025-04-03 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Cherif Ndiaye,sn SEN,FW,29-290,5,3,250,2025-08-02 00:00:00,3,0,3,3,0,0,2,1,2025-08-01 00:00:00,0.00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,Matches
Yunus Emre Çift,tr TUR,MF,22-069,6,3,245,2025-07-02 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Landry Dimata,be BEL,"MF,FW",28-069,2,2,130,2025-04-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Joe Mendes,se SWE,MF,22-313,8,1,234,2025-06-02 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Toni Borevkovic,hr CRO,DF,28-144,3,1,151,2025-07-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Afonso Sousa,pt POR,MF,25-190,3,1,120,2025-03-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Soner Gönül,tr TUR,DF,28-151,5,0,112,2025-02-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Soner Aydoğdu,tr TUR,MF,34-308,4,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Arbnor Muja,al ALB,"FW,MF",26-345,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Polat Yaldır,tr TUR,FW,22-176,3,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ebrima Ceesay,gm GAM,FW,19-161,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tahsin Bülbül,,MF,19-153,1,0,3,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Eyüp Aydın,tr TUR,MF,21-099,0,0,,,,,,,,,,,,,,,,Matches
Bedirhan Çetin,tr TUR,DF,19-133,0,0,,,,,,,,,,,,,,,,Matches
Albert Posiadala,pl POL,GK,22-257,0,0,,,,,,,,,,,,,,,,Matches
Efe Töruz,,GK,19-062,0,0,,,,,,,,,,,,,,,,Matches
Efe Üstün,,GK,17-186,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,2025-01-28 00:00:00,11,121,990,11.0,14,8,22,13,1,1,26,1,2027-01-01 00:00:00,0.73,2.00,2018-01-01 00:00:00,1991-01-01 00:00:00,
Opponent Total,,,2025-06-28 00:00:00,11,121,990,11.0,10,8,18,10,0,0,21,1,0.91,0.73,1964-01-01 00:00:00,0.91,1964-01-01 00:00:00,
