Shooting 2025-2026 Kasımpaşa: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Andreas Gianniotis,gr GRE,GK,32-332,12.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Nicholas Opoku,gh GHA,DF,28-001,12.0,0,4,1,25.0,0.33,0.08,0.00,0.00,,0,0,Matches
Andri Fannar Baldursson,is ISL,MF,23-303,2025-08-11 00:00:00,0,13,1,2025-07-07 00:00:00,2025-10-01 00:00:00,0.08,0.00,0.00,,0,0,Matches
Attila Szalai,hu HUN,DF,27-293,2025-09-10 00:00:00,0,9,4,44.4,0.83,0.37,0.00,0.00,,0,0,Matches
Cláudio Winck,br BRA,DF,31-208,2025-04-10 00:00:00,3,14,5,35.7,1935-01-01 00:00:00,0.48,0.21,0.60,,0,0,Matches
Godfried Frimpong,nl NED,"DF,MF",26-202,2025-03-09 00:00:00,0,2,1,50.0,0.21,0.11,0.00,0.00,,0,0,Matches
Pape Habib Guèye,sn SEN,FW,26-050,2025-01-09 00:00:00,3,20,6,30.0,2021-02-01 00:00:00,0.66,0.15,0.50,,0,0,Matches
Mortadha Ben Ouanes,tn TUN,"MF,DF",31-130,2025-09-08 00:00:00,1,7,1,2025-03-14 00:00:00,0.79,0.11,0.14,1.00,,0,0,Matches
Mamadou Fall,sn SEN,"MF,FW",33-313,2025-03-08 00:00:00,0,7,2,2025-06-28 00:00:00,0.84,0.24,0.00,0.00,,0,0,Matches
Haris Hajradinović,ba BIH,MF,31-264,2025-01-06 00:00:00,2,18,6,33.3,1993-02-01 00:00:00,0.98,0.06,0.17,,1,1,Matches
Cafú,pt POR,MF,32-256,6.0,0,8,1,2025-05-12 00:00:00,1934-01-01 00:00:00,0.17,0.00,0.00,,0,0,Matches
Cem Üstündag,at AUT,MF,24-293,2025-09-05 00:00:00,0,2,0,0.0,0.34,0.00,0.00,,,0,0,Matches
Ali Yavuz Kol,tr TUR,MF,24-284,2025-04-05 00:00:00,0,20,2,10.0,1973-03-01 00:00:00,0.37,0.00,0.00,,0,0,Matches
Kubilay Kanatsızkuş,tr TUR,FW,28-226,2025-03-04 00:00:00,1,9,2,2025-02-22 00:00:00,2025-11-02 00:00:00,0.47,0.11,0.50,,0,0,Matches
Fousseni Diabaté,ml MLI,"MF,FW",30-022,2025-04-03 00:00:00,0,2,0,0.0,0.59,0.00,0.00,,,0,0,Matches
Jhon Espinoza,ec ECU,DF,26-258,2025-04-03 00:00:00,0,3,0,0.0,0.89,0.00,0.00,,,0,0,Matches
Adam Arous,tn TUN,DF,21-115,2025-09-01 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Yusuf Barasi,tr TUR,MF,22-223,2025-03-01 00:00:00,0,4,1,25.0,2025-05-03 00:00:00,0.76,0.00,0.00,,0,0,Matches
Atakan Müjde,,MF,22-288,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Emre Taşdemir,tr TUR,DF,30-093,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Berk Yıldızlı,,FW,20-143,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Squad Total,,,2025-07-28 00:00:00,12.0,10,142,33,2025-02-23 00:00:00,1983-11-01 00:00:00,1975-02-01 00:00:00,0.06,0.27,,1,1,
Opponent Total,,,2025-01-28 00:00:00,12.0,17,152,52,34.2,1967-12-01 00:00:00,1933-04-01 00:00:00,0.11,0.33,,0,1,
,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,
