Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25.0,2000,13,9,791,8.8,1,1,2,1,0,0,1,0,2.0,2.0,1.3,3.3,19,22,44,0.23,0.38,1,us USA,"FW,MF",eng Premier League,25-040,2000,8.8,1,17,6,35.3,1.93,0.68,0.06,0.17,15.0,0,0,0,2.0,2.0,0.12,-1.0,-1.0,1,us USA,"FW,MF",eng Premier League,25-040,2000,8.8,178,223,79.8,2490,576,1,1.3,1.4,-0.3,11,14,9,4,22,1,us USA,"FW,MF",eng Premier League,25-040,2000,8.8,223,201,19,3,2,0,15,5,0,0,0,0,178,3,7,1,us USA,"FW,MF",eng Premier League,25-040,2000,8.8,28,3.19,15,0,4,5,3,1,4,0.46,1,us USA,"FW,MF",eng Premier League,25-040,2000,8.8,25,13,11,9,5,27,51.9,13,14,1,13,7,32,10,0,1,us USA,"FW,MF",eng Premier League,25-040,2000,8.8,368,7,64,163,147,22,368,31,10,32.3,17,54.8,192,1180,536,19,11,2,26,19,209,44,1,us USA,"FW,MF",eng Premier League,25-040,2000,13,791,61,67.6,8.8,9,79,1,4,20,0,0.85,11,13,-2,-0.23,+2.15,10.1,11.6,-1.5,-0.17,1,us USA,"FW,MF",eng Premier League,25-040,2000,8.8,1,0,0,5,22,2,15,7,13,0,0,0,41,6,8,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19.0,2006,7,0,139,1.5,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,16,0,33,0.00,0.65,2,ma MAR,"MF,FW",es La Liga,19-323,2006,1.5,0,5,1,20.0,3.24,0.65,0.00,0.00,18.7,0,0,0,0.9,0.9,0.18,-0.9,-0.9,2,ma MAR,"MF,FW",es La Liga,19-323,2006,1.5,43,61,70.5,677,68,0,0.1,0.1,-0.1,3,1,1,1,0,2,ma MAR,"MF,FW",es La Liga,19-323,2006,1.5,61,53,8,0,0,0,13,7,0,0,0,0,43,0,5,2,ma MAR,"MF,FW",es La Liga,19-323,2006,1.5,6,3.88,5,0,1,0,0,0,0,0.00,2,ma MAR,"MF,FW",es La Liga,19-323,2006,1.5,1,0,0,1,0,4,25.0,3,0,0,0,1,2,5,0,2,ma MAR,"MF,FW",es La Liga,19-323,2006,1.5,87,2,8,24,56,5,87,9,3,33.3,4,44.4,58,546,330,16,6,4,3,3,63,33,4,ma MAR,"MF,FW",es La Liga,19-323,2006,7,139,20,11.0,1.5,0,,0,7,20,7,1.43,3,3,0,0.00,+0.24,3.8,3.1,+0.7,+0.43,2,ma MAR,"MF,FW",es La Liga,19-323,2006,1.5,0,0,0,1,2,1,13,1,0,0,0,0,3,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,11,9,764,8.5,1,0,1,0,1,1,0,0,1.1,0.3,0.4,0.7,34,62,11,0.00,0.18,3,dz ALG,MF,fr Ligue 1,26-014,1999,8.5,1,6,1,16.7,0.71,0.12,0.00,0.00,23.9,0,1,1,1.1,0.3,0.06,-0.1,-0.3,3,dz ALG,MF,fr Ligue 1,26-014,1999,8.5,422,493,85.6,7087,2043,0,0.4,0.5,-0.4,6,40,9,0,62,3,dz ALG,MF,fr Ligue 1,26-014,1999,8.5,493,465,27,12,4,1,9,5,5,4,1,0,422,1,8,3,dz ALG,MF,fr Ligue 1,26-014,1999,8.5,22,2.59,16,3,2,1,0,0,2,0.24,3,dz ALG,MF,fr Ligue 1,26-014,1999,8.5,16,11,7,7,2,16,81.3,3,14,3,11,12,28,10,1,3,dz ALG,MF,fr Ligue 1,26-014,1999,8.5,594,17,157,357,90,7,593,23,11,47.8,12,52.2,333,1995,1251,34,22,0,13,9,421,11,5,dz ALG,MF,fr Ligue 1,26-014,1999,11,764,69,60.6,8.5,9,79,3,2,25,0,1.09,8,12,-4,-0.47,-0.29,7.8,17.9,-10.1,-1.19,3,dz ALG,MF,fr Ligue 1,26-014,1999,8.5,0,0,0,14,9,1,9,12,11,0,0,0,49,8,2,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31.0,1993,7,5,353,3.9,0,0,0,0,0,0,3,1,0.0,0.0,0.4,0.4,9,4,13,0.00,0.10,4,tn TUN,"DF,MF",fr Ligue 1,31-346,1993,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,4,tn TUN,"DF,MF",fr Ligue 1,31-346,1993,3.9,85,116,73.3,1175,399,0,0.4,0.2,-0.4,4,8,3,1,4,4,tn TUN,"DF,MF",fr Ligue 1,31-346,1993,3.9,116,96,20,3,0,0,9,17,0,0,0,0,85,0,6,4,tn TUN,"DF,MF",fr Ligue 1,31-346,1993,3.9,6,1.61,6,0,0,0,0,0,0,0.00,4,tn TUN,"DF,MF",fr Ligue 1,31-346,1993,3.9,8,2,5,2,1,3,33.3,2,1,0,1,3,11,9,0,4,tn TUN,"DF,MF",fr Ligue 1,31-346,1993,3.9,157,10,45,65,48,4,157,9,3,33.3,5,55.6,74,452,255,9,4,1,9,0,88,13,6,tn TUN,"DF,MF",fr Ligue 1,31-346,1993,7,353,50,28.0,3.9,5,60,1,2,27,1,0.71,5,3,+2,+0.51,+1.40,2.9,5.6,-2.7,-0.73,4,tn TUN,"DF,MF",fr Ligue 1,31-346,1993,3.9,3,1,1,7,7,0,9,3,2,0,0,0,16,5,7,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,10,7,485,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,8,5,0.00,0.00,5,gh GHA,MF,fr Ligue 1,25-250,2000,5.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,5,gh GHA,MF,fr Ligue 1,25-250,2000,5.4,242,259,93.4,3544,746,0,0.0,0.1,0.0,1,15,1,0,8,5,gh GHA,MF,fr Ligue 1,25-250,2000,5.4,259,254,5,5,1,1,1,0,0,0,0,0,242,0,3,5,gh GHA,MF,fr Ligue 1,25-250,2000,5.4,5,0.93,5,0,0,0,0,0,1,0.19,5,gh GHA,MF,fr Ligue 1,25-250,2000,5.4,7,2,5,1,1,8,62.5,3,2,0,2,7,14,3,0,5,gh GHA,MF,fr Ligue 1,25-250,2000,5.4,292,8,64,198,31,3,292,3,1,33.3,2,66.7,179,921,378,5,4,2,7,4,216,5,7,gh GHA,MF,fr Ligue 1,25-250,2000,10,485,49,38.5,5.4,7,63,0,3,14,4,1.10,9,12,-3,-0.56,-0.09,5.7,9.3,-3.6,-0.67,5,gh GHA,MF,fr Ligue 1,25-250,2000,5.4,1,0,0,9,6,0,1,7,2,0,0,0,19,4,3,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26.0,1999,10,1,217,2.4,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,3,14,24,0.41,0.21,6,sa KSA,DF,fr Ligue 1,26-136,1999,2.4,0,1,0,0.0,0.41,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.05,0.0,0.0,6,sa KSA,DF,fr Ligue 1,26-136,1999,2.4,116,145,80.0,1722,575,1,0.5,0.8,+0.5,2,4,3,0,14,6,sa KSA,DF,fr Ligue 1,26-136,1999,2.4,145,124,21,0,0,0,10,21,0,0,0,0,116,0,3,6,sa KSA,DF,fr Ligue 1,26-136,1999,2.4,4,1.67,4,0,0,0,0,0,1,0.42,6,sa KSA,DF,fr Ligue 1,26-136,1999,2.4,10,6,7,2,1,11,63.6,4,4,1,3,2,12,4,0,6,sa KSA,DF,fr Ligue 1,26-136,1999,2.4,173,6,37,65,72,8,173,6,1,16.7,4,66.7,63,262,129,3,0,2,4,1,104,24,8,sa KSA,DF,fr Ligue 1,26-136,1999,10,217,22,17.2,2.4,1,90,1,9,14,3,1.90,3,2,+1,+0.41,-0.53,4.8,4.8,0.0,+0.01,6,sa KSA,DF,fr Ligue 1,26-136,1999,2.4,0,0,0,3,2,0,10,2,6,0,1,0,10,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993,13,13,1126,12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.6,1.2,14,71,12,0.08,0.09,7,fr FRA,MF,fr Ligue 1,32-303,1993,12.5,1,12,3,25.0,0.96,0.24,0.08,0.33,23.2,0,0,0,0.6,0.6,0.05,+0.4,+0.4,7,fr FRA,MF,fr Ligue 1,32-303,1993,12.5,681,779,87.4,12796,3828,0,0.6,0.6,-0.6,9,82,7,1,71,7,fr FRA,MF,fr Ligue 1,32-303,1993,12.5,779,733,43,37,1,7,2,0,0,0,0,0,681,3,7,7,fr FRA,MF,fr Ligue 1,32-303,1993,12.5,30,2.40,26,1,0,2,1,0,1,0.08,7,fr FRA,MF,fr Ligue 1,32-303,1993,12.5,21,13,10,6,5,22,40.9,13,5,0,5,10,31,24,1,7,fr FRA,MF,fr Ligue 1,32-303,1993,12.5,869,42,242,505,128,8,869,11,4,36.4,7,63.6,560,2328,1308,14,13,2,7,8,649,12,9,fr FRA,MF,fr Ligue 1,32-303,1993,13,1126,87,89.4,12.5,13,87,11,0,,0,1.00,17,26,-9,-0.72,-0.05,17.3,18.6,-1.3,-0.10,7,fr FRA,MF,fr Ligue 1,32-303,1993,12.5,4,0,0,15,10,0,2,10,13,0,1,0,56,9,6,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003,14,11,1068,11.9,2,2,4,2,0,1,2,0,3.4,2.6,1.3,3.9,43,27,68,0.34,0.39,8,fr FRA,"FW,MF",fr Ligue 1,22-248,2003,11.9,2,38,9,23.7,3.20,0.76,0.05,0.22,19.1,3,0,1,3.4,2.6,0.07,-1.4,-0.6,8,fr FRA,"FW,MF",fr Ligue 1,22-248,2003,11.9,126,188,67.0,1887,636,2,1.3,1.5,+0.7,13,15,12,2,27,8,fr FRA,"FW,MF",fr Ligue 1,22-248,2003,11.9,188,185,3,1,0,1,14,0,0,0,0,0,126,0,10,8,fr FRA,"FW,MF",fr Ligue 1,22-248,2003,11.9,41,3.46,23,0,8,6,4,0,3,0.25,8,fr FRA,"FW,MF",fr Ligue 1,22-248,2003,11.9,12,7,5,4,3,7,71.4,2,3,0,3,2,14,6,0,8,fr FRA,"FW,MF",fr Ligue 1,22-248,2003,11.9,342,5,41,127,191,63,341,56,28,50.0,27,48.2,213,1871,1162,43,27,22,28,19,240,68,10,fr FRA,"FW,MF",fr Ligue 1,22-248,2003,14,1068,76,84.8,11.9,11,89,9,3,29,0,0.79,11,21,-10,-0.84,-0.84,10.0,21.6,-11.5,-0.97,8,fr FRA,"FW,MF",fr Ligue 1,22-248,2003,11.9,2,0,0,17,24,1,14,2,7,0,0,0,34,15,19,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25.0,2000,8,8,630,7.0,1,0,1,1,0,0,2,1,0.9,0.9,0.4,1.2,14,33,36,0.14,0.18,9,br BRA,DF,fr Ligue 1,25-188,2000,7.0,1,8,2,25.0,1.14,0.29,0.13,0.50,12.2,0,0,0,0.9,0.9,0.11,+0.1,+0.1,9,br BRA,DF,fr Ligue 1,25-188,2000,7.0,273,329,83.0,4361,1702,0,0.4,0.4,-0.4,5,31,9,2,33,9,br BRA,DF,fr Ligue 1,25-188,2000,7.0,329,282,45,4,1,1,18,37,4,2,0,0,273,2,7,9,br BRA,DF,fr Ligue 1,25-188,2000,7.0,18,2.57,11,1,3,3,0,0,1,0.14,9,br BRA,DF,fr Ligue 1,25-188,2000,7.0,9,6,6,3,0,8,75.0,2,3,1,2,3,12,17,0,9,br BRA,DF,fr Ligue 1,25-188,2000,7.0,385,19,106,162,119,20,385,7,3,42.9,4,57.1,200,886,574,14,5,3,4,5,264,36,11,br BRA,DF,fr Ligue 1,25-188,2000,8,630,79,50.0,7.0,8,79,4,0,,1,1.75,11,6,+5,+0.71,+0.57,13.3,8.5,+4.8,+0.68,9,br BRA,DF,fr Ligue 1,25-188,2000,7.0,2,1,0,10,2,0,18,3,6,0,0,0,18,4,2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25.0,2000,7,1,165,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,4,8,0.00,0.09,10,ma MAR,"FW,MF",it Serie A,25-286,2000,1.8,0,2,2,100.0,1.09,1.09,0.00,0.00,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,10,ma MAR,"FW,MF",it Serie A,25-286,2000,1.8,21,33,63.6,318,127,0,0.0,0.0,0.0,0,1,1,1,4,10,ma MAR,"FW,MF",it Serie A,25-286,2000,1.8,33,31,2,0,0,0,4,1,0,0,0,0,21,0,2,10,ma MAR,"FW,MF",it Serie A,25-286,2000,1.8,2,1.09,1,1,0,0,0,0,0,0.00,10,ma MAR,"FW,MF",it Serie A,25-286,2000,1.8,7,4,3,2,2,7,85.7,1,2,0,2,0,7,0,0,10,ma MAR,"FW,MF",it Serie A,25-286,2000,1.8,59,2,7,28,28,6,59,8,2,25.0,5,62.5,41,325,230,7,6,2,6,3,44,8,12,ma MAR,"FW,MF",it Serie A,25-286,2000,7,165,24,14.1,1.8,1,45,0,6,20,3,0.57,0,8,-8,-4.36,-4.09,1.7,3.9,-2.1,-1.16,10,ma MAR,"FW,MF",it Serie A,25-286,2000,1.8,1,0,0,4,6,3,4,0,4,0,0,0,8,1,5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
