Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender
Nuno Lima,Alanya,DF,0.0,0.0,0.0,DF,False,True
Ertuğrul Taşkıran,Alanya,GK,0.0,0.0,0.0,GK,False,False
Gaius Makouta,Alanya,MF,0.0,0.0,0.0,MF,True,True
Ümit Akdag,Alanya,DF,0.09,0.0,0.09,DF,False,True
Fidan Aliti,Alanya,DF,0.0,0.0,0.0,DF,False,True
Yusuf Özdemir,Alanya,MF,0.1,0.1,0.2,MF,True,True
Maestro,Alanya,MF,0.11,0.11,0.21,MF,True,True
Uchenna Ogundu,Alanya,FW,0.26,0.13,0.39,FW,True,False
İbrahim Kaya,Alanya,"MF,FW",0.28,0.0,0.28,MF,True,True
Hwang Ui-jo,Alanya,"MF,FW",0.14,0.14,0.28,MF,True,True
Ianis Hagi,Alanya,"MF,FW",0.34,0.17,0.51,MF,True,True
Ruan,Alanya,MF,0.0,0.0,0.0,MF,True,True
Florent Hadergjonaj,Alanya,MF,0.21,0.21,0.42,MF,True,True
Enes Keskin,Alanya,MF,0.0,0.25,0.25,MF,True,True
Nicolas Janvier,Alanya,MF,0.0,0.0,0.0,MF,True,True
Güven Yalçın,Alanya,MF,0.45,0.0,0.45,MF,True,True
Bruno Viana,Alanya,DF,0.0,0.0,0.0,DF,False,True
Andraž Šporar,Alanya,FW,0.0,0.0,0.0,FW,True,False
Meschak Elia,Alanya,MF,0.0,0.0,0.0,MF,True,True
Steve Mounié,Alanya,FW,0.0,0.0,0.0,FW,True,False
İzzet Çelik,Alanya,MF,0.0,0.0,0.0,MF,True,True
Efecan Karaca,Alanya,"FW,MF",0.0,0.0,0.0,FW,True,False
Fatih Aksoy,Alanya,"DF,MF",0.0,0.0,0.0,DF,False,True
Mert Furkan Bayram,Alanya,GK,,,,GK,False,False
Rony Lopes,Alanya,"FW,MF",,,,FW,True,False
Baran Mogultay,Alanya,DF,,,,DF,False,True
Bedirhan Özyurt,Alanya,DF,,,,DF,False,True
Arda Usluoğlu,Alanya,FW,,,,FW,True,False
Paulo Victor Vidotti,Alanya,GK,,,,GK,False,False
Opponent Total,Alanya,NAN,1.0,0.75,,NAN,False,False
Kenneth Paal,Antalya,DF,0.0,0.0,0.0,DF,False,True
Georgi Dzhikiya,Antalya,DF,0.18,0.0,0.18,DF,False,True
Abdülkadir Ömür,Antalya,MF,0.0,0.11,0.11,MF,True,True
Bünyamin Balcı,Antalya,DF,0.0,0.2,0.2,DF,False,True
Sander van de Streek,Antalya,"MF,FW",0.0,0.25,0.25,MF,True,True
Lautaro Gianetti,Antalya,DF,0.0,0.11,0.11,DF,False,True
Soner Dikmen,Antalya,MF,0.25,0.0,0.25,MF,True,True
Nikola Storm,Antalya,"MF,FW",0.25,0.13,0.38,MF,True,True
Jesper Ceesay,Antalya,"MF,DF",0.0,0.0,0.0,MF,True,True
Julián Cuesta,Antalya,GK,0.0,0.0,0.0,GK,False,False
Abdullah Yiğiter,Antalya,GK,0.0,0.0,0.0,GK,False,False
Tomáš Čvančara,Antalya,FW,0.17,0.0,0.17,FW,True,False
Ramzi Safouri,Antalya,MF,0.0,0.19,0.19,MF,True,True
Yohan Boli,Antalya,FW,0.52,0.26,0.79,FW,True,False
Dario Šarić,Antalya,MF,0.0,0.0,0.0,MF,True,True
Güray Vural,Antalya,"MF,FW",0.65,0.0,0.65,MF,True,True
Veysel Sarı,Antalya,DF,0.0,0.38,0.38,DF,False,True
Hasan İlçin,Antalya,MF,0.0,0.0,0.0,MF,True,True
Jakub Kałuziński,Antalya,MF,0.0,0.0,0.0,MF,True,True
Samuel Ballet,Antalya,MF,0.0,0.0,0.0,MF,True,True
Samet Karakoç,Antalya,DF,0.0,0.0,0.0,DF,False,True
Doğukan Sınık,Antalya,MF,0.0,0.0,0.0,MF,True,True
Bachir Gueye,Antalya,FW,2.0,0.0,2.0,FW,True,False
Bahadır Öztürk,Antalya,DF,0.0,0.0,0.0,DF,False,True
Engin Yıldırım,Antalya,FW,0.0,0.0,0.0,FW,True,False
Hüseyin Türkmen,Antalya,DF,0.0,0.0,0.0,DF,False,True
Mert Yilmaz,Antalya,"DF,MF",0.0,0.0,0.0,DF,False,True
Kerem Kayaarası,Antalya,FW,0.0,0.0,0.0,FW,True,False
Ali Demirbilek,Antalya,FW,0.0,0.0,0.0,FW,True,False
Alp Abay,Antalya,NAN,,,,NAN,False,False
Kagan Arican,Antalya,GK,,,,GK,False,False
Mehmet Dadakdeniz,Antalya,GK,,,,GK,False,False
Ege Izmirli,Antalya,DF,,,,DF,False,True
Berkay Topdemir,Antalya,FW,,,,FW,True,False
Opponent Total,Antalya,NAN,,,,NAN,False,False
Eldor Shomurodov,Basaksehir,"FW,MF",0.69,0.09,0.77,FW,True,False
Jerome Opoku,Basaksehir,DF,0.0,0.0,0.0,DF,False,True
Muhammed Şengezer,Basaksehir,GK,0.0,0.0,0.0,GK,False,False
Crespo,Basaksehir,"MF,FW",0.0,0.43,0.43,MF,True,True
Christopher Operi,Basaksehir,"DF,MF",0.0,0.0,0.0,DF,False,True
Berat Özdemir,Basaksehir,"MF,DF",0.0,0.0,0.0,MF,True,True
Yusuf Sari,Basaksehir,MF,0.0,0.14,0.14,MF,True,True
Festy Ebosele,Basaksehir,DF,0.0,0.0,0.0,DF,False,True
Léo Duarte,Basaksehir,DF,0.0,0.0,0.0,DF,False,True
Olivier Kemen,Basaksehir,MF,0.0,0.17,0.17,MF,True,True
Nuno da Costa,Basaksehir,"MF,FW",0.34,0.0,0.34,MF,True,True
Ousseynou Ba,Basaksehir,DF,0.0,0.0,0.0,DF,False,True
Umut Güneş,Basaksehir,MF,0.0,0.0,0.0,MF,True,True
Deniz Turuc,Basaksehir,MF,0.0,0.19,0.19,MF,True,True
Onur Bulut,Basaksehir,DF,0.0,0.0,0.0,DF,False,True
Ömer Ali Şahiner,Basaksehir,"DF,MF",0.0,0.0,0.0,DF,False,True
Ivan Brnić,Basaksehir,MF,0.5,0.0,0.5,MF,True,True
Amine Harit,Basaksehir,MF,0.0,0.31,0.31,MF,True,True
Jakub Kałuziński,Basaksehir,MF,0.0,0.0,0.0,MF,True,True
Onur Ergün,Basaksehir,MF,0.0,0.7,0.7,MF,True,True
Abbosbek Fayzullayev,Basaksehir,MF,0.0,0.0,0.0,MF,True,True
Hamza Güreler,Basaksehir,DF,0.0,0.0,0.0,DF,False,True
