Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender,TeamSheet,FM_Mevki,FM_Rol,FM_Rol_Base,FM_Rol_Gorev
Nuno Lima,Alanya,DF,0.0,0.0,0.0,DF,False,True,Alanya,Stoper,Pas Dağıtan Stoper (Savunma),Pas Dağıtan Stoper,Savunma
Ertuğrul Taşkıran,Alanya,GK,0.0,0.0,0.0,GK,False,False,Alanya,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Gaius Makouta,Alanya,MF,0.0,0.0,0.0,MF,True,True,Alanya,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Ümit Akdag,Alanya,DF,0.09,0.0,0.09,DF,False,True,Alanya,,,,
Fidan Aliti,Alanya,DF,0.0,0.0,0.0,DF,False,True,Alanya,Stoper,Standart Stoper (Sıkı Defans),Standart Stoper,Sıkı Defans
Yusuf Özdemir,Alanya,MF,0.1,0.1,0.2,MF,True,True,Alanya,Sol Bek,Standart Bek (Hücum),Standart Bek,Hücum
Maestro,Alanya,MF,0.11,0.11,0.21,MF,True,True,Alanya,,,,
Uchenna Ogundu,Alanya,FW,0.26,0.13,0.39,FW,True,False,Alanya,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
İbrahim Kaya,Alanya,"MF,FW",0.28,0.0,0.28,MF,True,True,Alanya,On Numara,Ofansif Orta Saha (Destek),Ofansif Orta Saha,Destek
Hwang Ui-jo,Alanya,"MF,FW",0.14,0.14,0.28,MF,True,True,Alanya,,,,
Ianis Hagi,Alanya,"MF,FW",0.34,0.17,0.51,MF,True,True,Alanya,On Numara,Oyun Kurucu (Hücum),Oyun Kurucu,Hücum
Ruan,Alanya,MF,0.0,0.0,0.0,MF,True,True,Alanya,,,,
Florent Hadergjonaj,Alanya,MF,0.21,0.21,0.42,MF,True,True,Alanya,Sağ Bek,Ofansif Bek (Destek),Ofansif Bek,Destek
Enes Keskin,Alanya,MF,0.0,0.25,0.25,MF,True,True,Alanya,,,,
Nicolas Janvier,Alanya,MF,0.0,0.0,0.0,MF,True,True,Alanya,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Güven Yalçın,Alanya,MF,0.45,0.0,0.45,MF,True,True,Alanya,Santrafor,Yardımcı Forvet (Hücum),Yardımcı Forvet,Hücum
Bruno Viana,Alanya,DF,0.0,0.0,0.0,DF,False,True,Alanya,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Andraž Šporar,Alanya,FW,0.0,0.0,0.0,FW,True,False,Alanya,,,,
Meschak Elia,Alanya,MF,0.0,0.0,0.0,MF,True,True,Alanya,,,,
Steve Mounié,Alanya,FW,0.0,0.0,0.0,FW,True,False,Alanya,Santrafor,Pivot Santrafor (Hücum),Pivot Santrafor,Hücum
İzzet Çelik,Alanya,MF,0.0,0.0,0.0,MF,True,True,Alanya,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Efecan Karaca,Alanya,"FW,MF",0.0,0.0,0.0,FW,True,False,Alanya,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Fatih Aksoy,Alanya,"DF,MF",0.0,0.0,0.0,DF,False,True,Alanya,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Mert Furkan Bayram,Alanya,GK,,,,GK,False,False,Alanya,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Rony Lopes,Alanya,"FW,MF",,,,FW,True,False,Alanya,,,,
Baran Mogultay,Alanya,DF,,,,DF,False,True,Alanya,,,,
Bedirhan Özyurt,Alanya,DF,,,,DF,False,True,Alanya,,,,
Arda Usluoğlu,Alanya,FW,,,,FW,True,False,Alanya,,,,
Paulo Victor Vidotti,Alanya,GK,,,,GK,False,False,Alanya,,,,
Opponent Total,Alanya,NAN,1.0,0.75,,NAN,False,False,Alanya,,,,
Kenneth Paal,Antalya,DF,0.0,0.0,0.0,DF,False,True,Antalya,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Georgi Dzhikiya,Antalya,DF,0.18,0.0,0.18,DF,False,True,Antalya,,,,
Abdülkadir Ömür,Antalya,MF,0.0,0.11,0.11,MF,True,True,Antalya,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Bünyamin Balcı,Antalya,DF,0.0,0.2,0.2,DF,False,True,Antalya,Sağ Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
Sander van de Streek,Antalya,"MF,FW",0.0,0.25,0.25,MF,True,True,Antalya,On Numara,Ofansif Orta Saha (Hücum),Ofansif Orta Saha,Hücum
Lautaro Gianetti,Antalya,DF,0.0,0.11,0.11,DF,False,True,Antalya,Stoper,Standart Stoper (Sıkı Defans),Standart Stoper,Sıkı Defans
Soner Dikmen,Antalya,MF,0.25,0.0,0.25,MF,True,True,Antalya,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Nikola Storm,Antalya,"MF,FW",0.25,0.13,0.38,MF,True,True,Antalya,Sol Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Jesper Ceesay,Antalya,"MF,DF",0.0,0.0,0.0,MF,True,True,Antalya,Ön Libero,Defansif Orta Saha (Destek),Defansif Orta Saha,Destek
