Shooting 2025-2026 Alanyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Nuno Lima,pt POR,DF,24-238,12.0,0,4,0,0.0,0.33,0.00,0.00,,,0,0,Matches
Ertuğrul Taşkıran,tr TUR,GK,36-004,12.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Gaius Makouta,cg CGO,MF,28-107,2025-01-11 00:00:00,0,7,1,2025-03-14 00:00:00,0.63,0.09,0.00,0.00,,0,0,Matches
Ümit Akdag,ro ROU,DF,22-034,11.0,1,6,1,2025-07-16 00:00:00,0.55,0.09,0.17,1.00,,0,0,Matches
Fidan Aliti,xk KVX,DF,32-037,2025-07-10 00:00:00,0,3,1,33.3,0.28,0.09,0.00,0.00,,0,0,Matches
Yusuf Özdemir,tr TUR,MF,24-303,2025-01-10 00:00:00,1,7,4,57.1,0.70,0.40,0.14,0.25,,0,0,Matches
Maestro,ao ANG,MF,22-097,2025-05-09 00:00:00,1,14,2,2025-03-14 00:00:00,1948-01-01 00:00:00,0.21,0.07,0.50,,0,0,Matches
Uchenna Ogundu,ng NGA,FW,19-181,2025-08-07 00:00:00,2,19,7,36.8,1944-02-01 00:00:00,0.90,0.11,0.29,,0,0,Matches
İbrahim Kaya,,"MF,FW",24-245,2025-02-07 00:00:00,2,20,6,30.0,1979-02-01 00:00:00,0.84,0.05,0.17,,1,1,Matches
Hwang Ui-jo,kr KOR,"MF,FW",33-073,2025-02-07 00:00:00,1,13,5,38.5,1981-01-01 00:00:00,0.70,0.08,0.20,,0,0,Matches
Ianis Hagi,ro ROU,"MF,FW",27-018,2025-08-05 00:00:00,2,16,5,2025-03-31 00:00:00,1974-02-01 00:00:00,0.86,0.13,0.40,,0,0,Matches
Ruan,br BRA,MF,20-190,5.0,0,5,3,60.0,0.99,0.60,0.00,0.00,,0,0,Matches
Florent Hadergjonaj,xk KVX,MF,31-101,2025-08-04 00:00:00,1,7,2,2025-06-28 00:00:00,1947-01-01 00:00:00,0.42,0.00,0.00,,1,1,Matches
Enes Keskin,,MF,24-158,2025-09-03 00:00:00,0,3,1,33.3,0.76,0.25,0.00,0.00,,0,0,Matches
Nicolas Janvier,fr FRA,MF,27-090,2025-01-03 00:00:00,0,2,0,0.0,0.65,0.00,0.00,,,0,0,Matches
Güven Yalçın,tr TUR,MF,26-295,2025-02-02 00:00:00,1,6,2,33.3,1969-02-01 00:00:00,0.90,0.17,0.50,,0,0,Matches
Bruno Viana,br BRA,DF,30-277,2025-02-02 00:00:00,0,1,0,0.0,0.46,0.00,0.00,,,0,0,Matches
Andraž Šporar,si SVN,FW,31-255,2025-08-01 00:00:00,0,5,1,20.0,1974-02-01 00:00:00,0.55,0.00,0.00,,0,0,Matches
Meschak Elia,cd COD,MF,28-095,2025-07-01 00:00:00,0,2,2,100.0,2018-01-01 00:00:00,2018-01-01 00:00:00,0.00,0.00,,0,0,Matches
Steve Mounié,bj BEN,FW,31-041,2025-03-01 00:00:00,0,3,1,33.3,1933-02-01 00:00:00,0.78,0.00,0.00,,0,0,Matches
İzzet Çelik,tr TUR,MF,21-142,0.9,0,1,0,0.0,2025-07-01 00:00:00,0.00,0.00,,,0,0,Matches
Efecan Karaca,tr TUR,"FW,MF",35-358,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Fatih Aksoy,tr TUR,"DF,MF",28-003,0.2,0,1,0,0.0,2029-05-01 00:00:00,0.00,0.00,,,0,0,Matches
Squad Total,,,27.0,12.0,12,145,44,2025-03-30 00:00:00,2025-08-12 00:00:00,1967-03-01 00:00:00,0.07,0.23,,2,2,
Opponent Total,,,2025-01-28 00:00:00,12.0,12,143,53,37.1,1992-11-01 00:00:00,1942-04-01 00:00:00,0.08,0.21,,1,2,
