Playing Time 2025-2026 Alanyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Nuno Lima,pt POR,DF,24-238,12,1.08,90,100.0,12.0,12,90,12,0,,0,2025-01-01 00:00:00,12,12,0,0.00,,Matches
Ertuğrul Taşkıran,tr TUR,GK,36-004,12,1.08,90,100.0,12.0,12,90,12,0,,0,2025-01-01 00:00:00,12,12,0,0.00,,Matches
Gaius Makouta,cg CGO,MF,28-107,12,997,83,92.3,2025-01-11 00:00:00,12,83,4,0,,0,2025-01-01 00:00:00,10,11,-1,-0.09,-1.17,Matches
Ümit Akdag,ro ROU,DF,22-034,11,990,90,91.7,11.0,11,90,11,0,,0,2027-01-01 00:00:00,11,11,0,0.00,0.00,Matches
Fidan Aliti,xk KVX,DF,32-037,11,966,88,89.4,2025-07-10 00:00:00,11,88,10,0,,0,1936-01-01 00:00:00,12,9,3,+0.28,+2.65,Matches
Yusuf Özdemir,tr TUR,MF,24-303,11,906,82,83.9,2025-01-10 00:00:00,10,89,8,1,18,0,2027-01-01 00:00:00,10,10,0,0.00,0.00,Matches
Maestro,ao ANG,MF,22-097,11,854,78,79.1,2025-05-09 00:00:00,9,90,9,2,22,0,1936-01-01 00:00:00,12,10,2,+0.21,+1.01,Matches
Uchenna Ogundu,ng NGA,FW,19-181,11,701,64,64.9,2025-08-07 00:00:00,8,82,1,3,15,0,2027-01-01 00:00:00,8,6,2,+0.26,+0.73,Matches
İbrahim Kaya,,"MF,FW",24-245,12,645,54,59.7,2025-02-07 00:00:00,8,73,2,4,16,0,2025-01-01 00:00:00,8,6,2,+0.28,+0.69,Matches
Hwang Ui-jo,kr KOR,"MF,FW",33-073,11,645,59,59.7,2025-02-07 00:00:00,8,70,0,3,28,0,2027-01-01 00:00:00,6,8,-2,-0.28,-0.69,Matches
Ianis Hagi,ro ROU,"MF,FW",27-018,8,526,66,48.7,2025-08-05 00:00:00,6,80,1,2,23,0,2025-01-01 00:00:00,6,5,1,+0.17,+0.33,Matches
Ruan,br BRA,MF,20-190,7,453,65,41.9,5.0,6,72,1,1,20,0,1.00,4,6,-2,-0.40,-0.68,Matches
Florent Hadergjonaj,xk KVX,MF,31-101,9,429,48,39.7,2025-08-04 00:00:00,5,73,2,4,16,1,0.89,3,5,-2,-0.42,-0.70,Matches
Enes Keskin,,MF,24-158,8,354,44,32.8,2025-09-03 00:00:00,3,73,0,5,27,4,1975-01-01 00:00:00,6,4,2,+0.51,+0.76,Matches
Nicolas Janvier,fr FRA,MF,27-090,9,276,31,2025-06-25 00:00:00,2025-01-03 00:00:00,3,75,1,6,8,3,0.67,1,2,-1,-0.33,-0.44,Matches
Güven Yalçın,tr TUR,MF,26-295,6,201,34,2025-06-18 00:00:00,2025-02-02 00:00:00,2,64,0,4,18,2,1950-01-01 00:00:00,4,3,1,+0.45,+0.55,Matches
Bruno Viana,br BRA,DF,30-277,3,194,65,18.0,2025-02-02 00:00:00,2,85,1,1,24,9,0.33,1,3,-2,-0.93,-1.13,Matches
Andraž Šporar,si SVN,FW,31-255,2,164,82,2025-02-15 00:00:00,2025-08-01 00:00:00,2,82,1,0,,0,0.50,1,2,-1,-0.55,-0.65,Matches
Meschak Elia,cd COD,MF,28-095,6,153,26,2025-02-14 00:00:00,2025-07-01 00:00:00,1,69,0,5,17,1,2017-01-01 00:00:00,0,3,-3,-1.76,-2.06,Matches
Steve Mounié,bj BEN,FW,31-041,3,116,39,2025-07-10 00:00:00,2025-03-01 00:00:00,1,58,0,2,29,1,0.67,1,0,1,+0.78,+0.87,Matches
İzzet Çelik,tr TUR,MF,21-142,6,84,14,2025-08-07 00:00:00,0.9,0,,0,6,14,5,1933-01-01 00:00:00,3,3,0,0.00,0.00,Matches
