Miscellaneous Stats 2025-2026 Alanyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Nuno Lima,pt POR,DF,24-238,12.0,3,0,0,10,6,0,1,7,9,,,0,Matches
Ertuğrul Taşkıran,tr TUR,GK,36-004,12.0,1,0,0,0,5,0,0,0,1,,,0,Matches
Gaius Makouta,cg CGO,MF,28-107,2025-01-11 00:00:00,2,0,0,11,17,0,5,7,6,,,0,Matches
Ümit Akdag,ro ROU,DF,22-034,11.0,3,0,0,16,12,0,6,13,10,,,0,Matches
Fidan Aliti,xk KVX,DF,32-037,2025-07-10 00:00:00,5,0,0,17,18,0,4,12,5,,,0,Matches
Yusuf Özdemir,tr TUR,MF,24-303,2025-01-10 00:00:00,1,0,0,13,8,0,23,9,8,,,0,Matches
Maestro,ao ANG,MF,22-097,2025-05-09 00:00:00,2,0,0,12,12,0,5,0,9,,,0,Matches
Uchenna Ogundu,ng NGA,FW,19-181,2025-08-07 00:00:00,2,0,0,9,14,3,0,1,1,,,0,Matches
İbrahim Kaya,,"MF,FW",24-245,2025-02-07 00:00:00,0,0,0,4,15,1,34,4,2,,,0,Matches
Hwang Ui-jo,kr KOR,"MF,FW",33-073,2025-02-07 00:00:00,0,0,0,4,9,3,8,0,0,,,0,Matches
Ianis Hagi,ro ROU,"MF,FW",27-018,2025-08-05 00:00:00,3,0,0,9,20,2,37,3,8,,,0,Matches
Ruan,br BRA,MF,20-190,5.0,0,0,0,1,13,1,6,4,9,,,0,Matches
Florent Hadergjonaj,xk KVX,MF,31-101,2025-08-04 00:00:00,1,0,0,1,2,0,31,1,3,,,0,Matches
Enes Keskin,,MF,24-158,2025-09-03 00:00:00,1,0,0,4,8,4,5,9,10,,,0,Matches
Nicolas Janvier,fr FRA,MF,27-090,2025-01-03 00:00:00,0,0,0,8,0,0,9,7,3,,,0,Matches
Güven Yalçın,tr TUR,MF,26-295,2025-02-02 00:00:00,1,0,0,6,6,0,5,2,0,,,0,Matches
Bruno Viana,br BRA,DF,30-277,2025-02-02 00:00:00,0,0,0,2,0,0,1,1,3,,,0,Matches
Andraž Šporar,si SVN,FW,31-255,2025-08-01 00:00:00,0,0,0,4,4,0,1,0,1,,,0,Matches
Meschak Elia,cd COD,MF,28-095,2025-07-01 00:00:00,0,0,0,4,1,1,10,2,0,,,0,Matches
Steve Mounié,bj BEN,FW,31-041,2025-03-01 00:00:00,0,0,0,7,0,0,1,0,0,,,0,Matches
İzzet Çelik,tr TUR,MF,21-142,0.9,0,0,0,3,5,0,0,2,2,,,0,Matches
Efecan Karaca,tr TUR,"FW,MF",35-358,0.5,0,0,0,1,2,0,0,0,1,,,0,Matches
Fatih Aksoy,tr TUR,"DF,MF",28-003,0.2,2,0,0,1,1,0,0,1,2,,,0,Matches
Squad Total,,,27.0,12.0,27,0,0,147,178,15,192,85,93,,,0,
Opponent Total,,,2025-01-28 00:00:00,12.0,26,0,0,185,144,27,208,117,104,,,0,
,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,
