Shooting 2025-2026 Antalyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Kenneth Paal,sr SUR,DF,28-138,2025-01-11 00:00:00,0,2,1,50.0,0.18,0.09,0.00,0.00,,0,0,Matches
Georgi Dzhikiya,ru RUS,DF,31-353,2025-09-10 00:00:00,2,5,3,60.0,0.46,0.27,0.40,0.67,,0,0,Matches
Abdülkadir Ömür,tr TUR,MF,26-137,9.0,0,12,8,66.7,1934-01-01 00:00:00,0.89,0.00,0.00,,0,0,Matches
Bünyamin Balcı,tr TUR,DF,25-162,2025-09-09 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Sander van de Streek,nl NED,"MF,FW",32-230,8.0,0,6,1,2025-07-16 00:00:00,0.75,0.12,0.00,0.00,,0,0,Matches
Lautaro Gianetti,ar ARG,DF,31-361,2025-04-09 00:00:00,0,5,2,40.0,0.53,0.21,0.00,0.00,,0,0,Matches
Soner Dikmen,tr TUR,MF,32-069,2025-01-08 00:00:00,2,7,3,42.9,0.86,0.37,0.29,0.67,,0,0,Matches
Nikola Storm,be BEL,"MF,FW",31-040,2025-09-07 00:00:00,2,17,9,52.9,2016-02-01 00:00:00,2014-01-01 00:00:00,0.12,0.22,,0,0,Matches
Jesper Ceesay,gm GAM,"MF,DF",24-020,2025-01-08 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Julián Cuesta,es ESP,GK,34-226,6.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Abdullah Yiğiter,,GK,25-280,6.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Tomáš Čvančara,cz CZE,FW,25-088,2025-08-05 00:00:00,1,12,6,50.0,2025-08-02 00:00:00,2025-04-01 00:00:00,0.08,0.17,,0,0,Matches
Ramzi Safouri,il ISR,MF,30-019,2025-03-05 00:00:00,0,5,2,40.0,0.95,0.38,0.00,0.00,,0,0,Matches
Yohan Boli,ci CIV,FW,31-357,2025-08-03 00:00:00,2,7,3,42.9,1984-01-01 00:00:00,0.79,0.29,0.67,,0,0,Matches
Dario Šarić,ba BIH,MF,28-163,2025-01-03 00:00:00,0,1,0,0.0,0.32,0.00,0.00,,,0,0,Matches
Güray Vural,tr TUR,"MF,FW",37-151,2025-01-03 00:00:00,2,10,5,50.0,2027-03-01 00:00:00,1964-01-01 00:00:00,0.20,0.40,,0,0,Matches
Veysel Sarı,tr TUR,DF,37-107,2025-07-02 00:00:00,0,1,0,0.0,0.38,0.00,0.00,,,0,0,Matches
Hasan İlçin,,MF,16-230,2025-09-01 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Jakub Kałuziński,pl POL,MF,23-009,2025-04-02 00:00:00,0,2,1,50.0,0.83,0.42,0.00,0.00,,0,0,Matches
Samuel Ballet,ch SUI,MF,24-242,2025-01-02 00:00:00,0,4,1,25.0,1989-01-01 00:00:00,0.47,0.00,0.00,,0,0,Matches
Samet Karakoç,az AZE,DF,23-018,2025-09-01 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Doğukan Sınık,tr TUR,MF,26-292,2025-02-01 00:00:00,0,5,1,20.0,2025-05-04 00:00:00,0.81,0.00,0.00,,0,0,Matches
Bachir Gueye,sn SEN,FW,22-246,1.0,2,3,3,100.0,3.00,3.00,0.67,0.67,,0,0,Matches
Bahadır Öztürk,tr TUR,DF,30-039,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Engin Yıldırım,tr TUR,FW,20-298,1.0,0,2,0,0.0,2025-09-02 00:00:00,0.00,0.00,,,0,0,Matches
Hüseyin Türkmen,tr TUR,DF,27-312,0.9,0,0,0,,0.00,0.00,,,,0,0,Matches
Mert Yilmaz,tr TUR,"DF,MF",26-246,0.2,0,1,0,0.0,2029-04-01 00:00:00,0.00,0.00,,,0,0,Matches
Kerem Kayaarası,tr TUR,FW,19-236,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Ali Demirbilek,,FW,16-308,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Squad Total,,,29.0,12.0,13,107,49,45.8,1992-08-01 00:00:00,2025-08-04 00:00:00,0.12,0.27,,0,0,
Opponent Total,,,2025-02-28 00:00:00,12.0,23,190,68,35.8,15.83,1967-05-01 00:00:00,0.12,0.32,,1,1,
