Playing Time 2025-2026 Antalyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Kenneth Paal,sr SUR,DF,28-138,12,995,83,92.1,2025-01-11 00:00:00,11,89,10,1,21,0,2025-08-01 00:00:00,13,22,-9,-0.81,+0.24,Matches
Georgi Dzhikiya,ru RUS,DF,31-353,12,982,82,90.9,2025-09-10 00:00:00,11,84,9,1,53,0,2025-08-01 00:00:00,11,20,-9,-0.82,+0.09,Matches
Abdülkadir Ömür,tr TUR,MF,26-137,12,808,67,74.8,9.0,11,71,3,1,23,0,2025-08-01 00:00:00,12,15,-3,-0.33,+1.98,Matches
Bünyamin Balcı,tr TUR,DF,25-162,12,892,74,82.6,2025-09-09 00:00:00,10,83,6,2,31,0,2025-08-01 00:00:00,10,18,-8,-0.81,+0.15,Matches
Sander van de Streek,nl NED,"MF,FW",32-230,10,724,72,67.0,8.0,10,72,3,0,,1,1930-01-01 00:00:00,8,13,-5,-0.62,+0.64,Matches
Lautaro Gianetti,ar ARG,DF,31-361,11,844,77,78.1,2025-04-09 00:00:00,9,90,9,2,17,0,0.91,10,21,-11,-1.17,-1.55,Matches
Soner Dikmen,tr TUR,MF,32-069,10,733,73,67.9,2025-01-08 00:00:00,9,76,3,1,45,2,1930-01-01 00:00:00,9,14,-5,-0.61,+0.68,Matches
Nikola Storm,be BEL,"MF,FW",31-040,9,708,79,65.6,2025-09-07 00:00:00,9,79,3,0,,3,2025-11-01 00:00:00,8,12,-4,-0.51,+0.94,Matches
Jesper Ceesay,gm GAM,"MF,DF",24-020,11,729,66,67.5,2025-01-08 00:00:00,6,90,6,5,38,0,0.91,9,16,-7,-0.86,-0.09,Matches
Julián Cuesta,es ESP,GK,34-226,6,540,90,50.0,6.0,6,90,6,0,,0,0.67,8,14,-6,-1.00,-0.33,Matches
Abdullah Yiğiter,,GK,25-280,6,540,90,50.0,6.0,6,90,6,0,,5,1950-01-01 00:00:00,5,9,-4,-0.67,+0.33,Matches
Tomáš Čvančara,cz CZE,FW,25-088,10,520,52,48.1,2025-08-05 00:00:00,6,76,0,4,16,1,1930-01-01 00:00:00,5,11,-6,-1.04,-0.40,Matches
Ramzi Safouri,il ISR,MF,30-019,7,473,68,43.8,2025-03-05 00:00:00,6,76,1,1,16,0,1.00,5,10,-5,-0.95,-0.21,Matches
Yohan Boli,ci CIV,FW,31-357,6,343,57,2025-08-31 00:00:00,2025-08-03 00:00:00,3,90,3,3,24,2,2017-01-01 00:00:00,4,10,-6,-1.57,-1.09,Matches
Dario Šarić,ba BIH,MF,28-163,4,277,69,2025-06-25 00:00:00,2025-01-03 00:00:00,3,83,1,1,27,0,0.75,2,7,-5,-1.62,-1.06,Matches
Güray Vural,tr TUR,"MF,FW",37-151,4,275,69,2025-05-25 00:00:00,2025-01-03 00:00:00,3,77,1,1,45,0,1950-01-01 00:00:00,3,2,1,+0.33,+1.56,Matches
Veysel Sarı,tr TUR,DF,37-107,3,239,80,2025-01-22 00:00:00,2025-07-02 00:00:00,3,80,2,0,,2,2.00,3,2,1,+0.38,+1.55,Matches
Hasan İlçin,,MF,16-230,4,169,42,2025-06-15 00:00:00,2025-09-01 00:00:00,3,54,0,1,7,5,1.00,2,3,-1,-0.53,+0.36,Matches
Jakub Kałuziński,pl POL,MF,23-009,4,216,54,20.0,2025-04-02 00:00:00,2,72,1,2,36,0,1950-01-01 00:00:00,2,2,0,0.00,+1.04,Matches
Samuel Ballet,ch SUI,MF,24-242,6,190,32,2025-06-17 00:00:00,2025-01-02 00:00:00,1,45,0,5,29,1,0.67,1,8,-7,-3.32,-3.01,Matches
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
