Shooting 2025-2026 İstanbul Başakşehir: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Eldor Shomurodov,uz UZB,"FW,MF",30-133,2025-06-11 00:00:00,8,39,18,46.2,1935-03-01 00:00:00,1955-01-01 00:00:00,0.18,0.39,,1,1,Matches
Jerome Opoku,gh GHA,DF,27-026,2025-01-11 00:00:00,0,10,2,20.0,0.90,0.18,0.00,0.00,,0,0,Matches
Muhammed Şengezer,tr TUR,GK,28-308,11.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Crespo,pt POR,"MF,FW",29-059,2025-03-09 00:00:00,0,9,2,2025-02-22 00:00:00,0.96,0.21,0.00,0.00,,0,0,Matches
Christopher Operi,ci CIV,"DF,MF",28-194,9.0,0,3,1,33.3,0.33,0.11,0.00,0.00,,0,0,Matches
Berat Özdemir,tr TUR,"MF,DF",27-170,2025-02-08 00:00:00,0,5,1,20.0,0.61,0.12,0.00,0.00,,0,0,Matches
Yusuf Sari,tr TUR,MF,26-354,7.0,0,18,7,38.9,1957-02-01 00:00:00,1.00,0.00,0.00,,0,0,Matches
Festy Ebosele,ie IRL,DF,23-099,2025-04-06 00:00:00,0,1,0,0.0,0.16,0.00,0.00,,,0,0,Matches
Léo Duarte,br BRA,DF,29-115,6.0,0,2,0,0.0,0.33,0.00,0.00,,,0,0,Matches
Olivier Kemen,cm CMR,MF,29-112,2025-09-05 00:00:00,0,11,1,2025-01-09 00:00:00,1987-01-01 00:00:00,0.17,0.00,0.00,,0,0,Matches
Nuno da Costa,cv CPV,"MF,FW",34-272,2025-08-05 00:00:00,2,14,4,2025-06-28 00:00:00,1941-02-01 00:00:00,0.69,0.14,0.50,,0,0,Matches
Ousseynou Ba,sn SEN,DF,29-363,2025-09-05 00:00:00,0,4,0,0.0,0.68,0.00,0.00,,,0,0,Matches
Umut Güneş,tr TUR,MF,25-238,2025-07-04 00:00:00,0,2,1,50.0,0.43,0.21,0.00,0.00,,0,0,Matches
Deniz Turuc,tr TUR,MF,32-284,2025-01-05 00:00:00,0,7,2,2025-06-28 00:00:00,1936-01-01 00:00:00,0.39,0.00,0.00,,0,0,Matches
Onur Bulut,tr TUR,DF,31-207,2025-03-04 00:00:00,0,2,0,0.0,0.46,0.00,0.00,,,0,0,Matches
Ömer Ali Şahiner,tr TUR,"DF,MF",33-311,2025-01-04 00:00:00,0,1,0,0.0,0.25,0.00,0.00,,,0,0,Matches
Ivan Brnić,hr CRO,MF,24-078,4.0,2,9,5,55.6,2023-02-01 00:00:00,2024-01-01 00:00:00,0.22,0.40,,0,0,Matches
Amine Harit,ma MAR,MF,28-144,2025-02-03 00:00:00,0,5,1,20.0,1956-01-01 00:00:00,0.31,0.00,0.00,,0,0,Matches
Jakub Kałuziński,pl POL,MF,23-009,3.0,0,4,2,50.0,1934-01-01 00:00:00,0.67,0.00,0.00,,0,0,Matches
Onur Ergün,tr TUR,MF,32-359,2025-04-01 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Abbosbek Fayzullayev,uz UZB,MF,22-037,2025-07-01 00:00:00,0,5,0,0.0,1988-02-01 00:00:00,0.00,0.00,,,0,0,Matches
Hamza Güreler,tr TUR,DF,19-213,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Deniz Dilmen,,GK,20-157,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Davie Selke,de GER,FW,30-293,0.6,0,0,0,,0.00,0.00,,,,0,0,Matches
Ömer Faruk Beyaz,tr TUR,MF,22-072,0.3,0,1,0,0.0,2021-03-01 00:00:00,0.00,0.00,,,0,0,Matches
Bertuğ Yıldırım,tr TUR,FW,23-120,0.3,0,1,0,0.0,1933-03-01 00:00:00,0.00,0.00,,,0,0,Matches
Squad Total,,,2025-05-28 00:00:00,12.0,12,153,47,2025-07-30 00:00:00,1975-12-01 00:00:00,1992-03-01 00:00:00,0.07,0.23,,1,1,
Opponent Total,,,28.0,12.0,10,149,51,34.2,1942-12-01 00:00:00,2025-04-01 00:00:00,0.06,0.18,,1,2,
