Miscellaneous Stats 2025-2026 İstanbul Başakşehir: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Eldor Shomurodov,uz UZB,"FW,MF",30-133,2025-06-11 00:00:00,0,0,0,10,5,6,5,1,6,,,0,Matches
Jerome Opoku,gh GHA,DF,27-026,2025-01-11 00:00:00,3,0,0,20,19,0,4,14,9,,,1,Matches
Muhammed Şengezer,tr TUR,GK,28-308,11.0,0,0,0,0,2,0,0,0,0,,,0,Matches
Crespo,pt POR,"MF,FW",29-059,2025-03-09 00:00:00,3,0,0,16,18,2,11,6,6,,,0,Matches
Christopher Operi,ci CIV,"DF,MF",28-194,9.0,1,0,0,7,9,0,36,5,10,,,0,Matches
Berat Özdemir,tr TUR,"MF,DF",27-170,2025-02-08 00:00:00,2,0,0,5,9,0,3,10,10,,,0,Matches
Yusuf Sari,tr TUR,MF,26-354,7.0,1,0,0,5,10,1,55,1,3,,,0,Matches
Festy Ebosele,ie IRL,DF,23-099,2025-04-06 00:00:00,2,0,0,16,14,0,7,10,22,,,0,Matches
Léo Duarte,br BRA,DF,29-115,6.0,1,0,0,3,9,0,2,4,8,,,0,Matches
Olivier Kemen,cm CMR,MF,29-112,2025-09-05 00:00:00,1,0,0,13,11,2,5,1,6,,,0,Matches
Nuno da Costa,cv CPV,"MF,FW",34-272,2025-08-05 00:00:00,2,0,0,12,8,2,8,2,6,,,0,Matches
Ousseynou Ba,sn SEN,DF,29-363,2025-09-05 00:00:00,5,1,1,13,6,2,0,11,3,,,0,Matches
Umut Güneş,tr TUR,MF,25-238,2025-07-04 00:00:00,1,0,0,9,9,0,2,3,9,,,0,Matches
Deniz Turuc,tr TUR,MF,32-284,2025-01-05 00:00:00,2,0,0,7,6,1,35,3,4,,,0,Matches
Onur Bulut,tr TUR,DF,31-207,2025-03-04 00:00:00,0,0,0,4,5,1,7,4,2,,,0,Matches
Ömer Ali Şahiner,tr TUR,"DF,MF",33-311,2025-01-04 00:00:00,1,0,0,2,5,1,9,2,4,,,0,Matches
Ivan Brnić,hr CRO,MF,24-078,4.0,0,0,0,0,0,0,22,3,0,,,0,Matches
Amine Harit,ma MAR,MF,28-144,2025-02-03 00:00:00,1,0,0,7,6,1,10,3,2,,,0,Matches
Jakub Kałuziński,pl POL,MF,23-009,3.0,1,0,0,3,6,0,8,3,4,,,0,Matches
Onur Ergün,tr TUR,MF,32-359,2025-04-01 00:00:00,0,0,0,0,2,0,1,2,1,,,0,Matches
Abbosbek Fayzullayev,uz UZB,MF,22-037,2025-07-01 00:00:00,1,0,0,2,3,0,14,1,3,,,0,Matches
Hamza Güreler,tr TUR,DF,19-213,1.0,0,0,0,0,2,0,0,3,1,,,0,Matches
Deniz Dilmen,,GK,20-157,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Davie Selke,de GER,FW,30-293,0.6,0,0,0,1,2,0,0,1,0,,,0,Matches
Ömer Faruk Beyaz,tr TUR,MF,22-072,0.3,0,0,0,0,1,0,0,0,0,,,0,Matches
Bertuğ Yıldırım,tr TUR,FW,23-120,0.3,0,0,0,2,0,1,0,0,0,,,0,Matches
Squad Total,,,2025-05-28 00:00:00,12.0,28,1,1,157,167,20,244,93,119,,,1,
Opponent Total,,,28.0,12.0,36,3,2,175,151,16,177,94,105,,,1,
