Standard Stats 2025-2026 Eyüpspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Robin Yalçın,de GER,DF,31-288,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kerem Demirbay,de GER,MF,32-129,11,11,973,2025-08-10 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcos Felipe,br BRA,GK,29-210,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nihad Mujakić,ba BIH,DF,27-208,11,10,899,10.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Luccas Claro,br BRA,DF,34-038,10,10,841,2025-03-09 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Serdar Gürler,tr TUR,"MF,FW",34-056,11,10,756,2025-04-08 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Calegari,br BRA,"DF,MF",23-255,9,9,773,2025-06-08 00:00:00,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches
Yalçın Kayan,tr TUR,MF,26-283,11,9,678,2025-05-07 00:00:00,0,2,2,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,Matches
Mame Baba Thiam,sn SEN,FW,33-031,9,8,743,2025-03-08 00:00:00,2,0,2,2,0,0,3,0,0.24,0.00,0.24,0.24,0.24,Matches
Denis Drăguș,ro ROU,"MF,FW",26-126,7,6,515,2025-07-05 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Svit Sešlar,si SVN,"MF,FW",23-304,8,6,515,2025-07-05 00:00:00,1,1,2,1,0,0,0,0,0.17,0.17,0.35,0.17,0.35,Matches
Halil Akbunar,tr TUR,"MF,FW",32-000,8,5,402,2025-05-04 00:00:00,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches
Umut Meraş,tr TUR,"DF,MF",29-324,6,4,353,2025-09-03 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mateusz Łęgowski,pl POL,MF,22-284,6,4,344,2025-08-03 00:00:00,0,1,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches
Prince Obeng Ampem,gh GHA,MF,27-210,11,2,387,2025-03-04 00:00:00,1,0,1,1,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches
Umut Bozok,tr TUR,FW,29-051,10,2,262,2025-09-02 00:00:00,1,0,1,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches
Emre Akbaba,tr TUR,MF,33-036,9,1,200,2025-02-02 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Melih Kabasakal,,MF,29-264,3,1,105,2025-02-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Berke Özer,tr TUR,GK,25-168,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Talha Ulvan,be BEL,DF,24-203,2,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Taras Stepanenko,ua UKR,MF,36-093,2,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ilter Tashkin,az AZE,MF,31-127,4,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
