Goalkeeping 2025-2026 Fatih Karagümrük: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Ivo Grbić,hr CRO,GK,29-295,11,11,990,11.0,23,2025-09-02 00:00:00,64,44,68.8,1,1,9,0,0.0,3,3,0,0,0.0,Matches
Squad Total,,,2025-04-27 00:00:00,11,11,990,11.0,23,2025-09-02 00:00:00,64,44,68.8,1,1,9,0,0.0,3,3,0,0,0.0,
Opponent Total,,,2025-08-27 00:00:00,11,11,990,11.0,10,0.91,33,24,72.7,9,1,1,6,54.5,2,1,0,1,0.0,
,,,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shooting 2025-2026 Fatih Karagümrük: Süper Lig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches,,,,,,,
Atakan Çankaya,tr TUR,DF,27-137,11.0,1,13,3,2025-01-23 00:00:00,2018-01-01 00:00:00,0.27,0.08,0.33,,0,0,Matches,,,,,,,
Ivo Grbić,hr CRO,GK,29-295,11.0,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,,,
Jure Balkovec,si SVN,DF,31-061,2025-08-09 00:00:00,0,7,2,2025-06-28 00:00:00,0.72,0.20,0.00,0.00,,0,0,Matches,,,,,,,
Daniel Johnson,jm JAM,MF,33-032,2025-08-08 00:00:00,1,5,2,40.0,0.57,0.23,0.20,0.50,,0,0,Matches,,,,,,,
Tiago Çukur,tr TUR,"MF,FW",22-344,2025-04-08 00:00:00,1,16,5,2025-03-31 00:00:00,1990-01-01 00:00:00,0.60,0.06,0.20,,0,0,Matches,,,,,,,
Anıl Çınar,,DF,22-122,7.0,1,5,1,20.0,0.72,0.14,0.20,1.00,,0,0,Matches,,,,,,,
Sergio Antonio De Luiz Junior,br BRA,"MF,FW",30-217,2025-09-06 00:00:00,1,11,2,2025-02-18 00:00:00,1959-01-01 00:00:00,0.29,0.09,0.50,,0,0,Matches,,,,,,,
Berkay Özcan,tr TUR,MF,27-267,2025-05-06 00:00:00,0,5,0,0.0,0.77,0.00,0.00,,,0,0,Matches,,,,,,,
Andre Gray,jm JAM,FW,34-136,2025-01-05 00:00:00,0,4,2,50.0,0.79,0.39,0.00,0.00,,0,0,Matches,,,,,,,
Sam Larsson,se SWE,MF,32-213,2025-09-04 00:00:00,1,10,3,30.0,2025-05-02 00:00:00,0.61,0.00,0.00,,1,1,Matches,,,,,,,
Marius Doh,ci CIV,MF,21-327,2025-06-04 00:00:00,0,9,1,2025-01-11 00:00:00,1994-01-01 00:00:00,0.22,0.00,0.00,,0,0,Matches,,,,,,,
Muhammed Kadıoğlu,,DF,18-312,2025-05-04 00:00:00,0,1,0,0.0,0.22,0.00,0.00,,,0,0,Matches,,,,,,,
Barış Kalayci,tr TUR,MF,20-071,2025-07-03 00:00:00,0,8,3,37.5,2015-02-01 00:00:00,0.81,0.00,0.00,,0,0,Matches,,,,,,,
David Datro Fofana,ci CIV,FW,22-322,4.0,3,12,4,33.3,1998-02-01 00:00:00,0.99,0.25,0.75,,0,1,Matches,,,,,,,
Çağtay Kurukalıp,tr TUR,DF,23-258,2025-09-02 00:00:00,0,1,1,100.0,0.34,0.34,0.00,0.00,,0,0,Matches,,,,,,,
