Shooting 2025-2026 Gaziantep FK: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Kacper Kozłowski,pl POL,MF,22-024,2025-05-11 00:00:00,3,19,9,47.4,1965-01-01 00:00:00,0.78,0.16,0.33,,0,0,Matches
Alexandru Maxim,ro ROU,"MF,FW",35-124,2025-01-11 00:00:00,2,20,3,15.0,1981-01-01 00:00:00,0.27,0.00,0.00,,2,2,Matches
Kévin Rodrigues,pt POR,"DF,MF",31-249,2025-09-10 00:00:00,2,15,5,33.3,1938-01-01 00:00:00,0.46,0.13,0.40,,0,0,Matches
Myenty Abena,sr SUR,DF,30-332,2025-04-09 00:00:00,1,4,1,25.0,0.42,0.11,0.25,1.00,,0,0,Matches
Mustafa Burak Bozan,,GK,25-078,2025-07-08 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Melih Kabasakal,,"MF,DF",29-264,2025-05-08 00:00:00,1,3,2,66.7,0.35,0.24,0.33,0.50,,0,0,Matches
Arda Kızıldağ,tr TUR,"DF,MF",27-025,2025-07-07 00:00:00,1,3,1,33.3,0.39,0.13,0.33,1.00,,0,0,Matches
Christopher Lungoyi,ch SUI,"MF,FW",25-128,2025-05-07 00:00:00,2,21,7,33.3,1981-02-01 00:00:00,0.94,0.10,0.29,,0,0,Matches
Luis Pérez,es ESP,"MF,DF",30-278,2025-03-07 00:00:00,0,2,1,50.0,0.27,0.14,0.00,0.00,,0,0,Matches
Deian Sorescu,ro ROU,"MF,DF",28-072,7.0,1,18,5,2025-08-27 00:00:00,1958-02-01 00:00:00,0.72,0.06,0.20,,0,1,Matches
Mohamed Lamine Bayo,gn GUI,"FW,MF",27-158,2025-09-05 00:00:00,2,16,7,43.8,1972-02-01 00:00:00,2019-01-01 00:00:00,0.13,0.29,,0,0,Matches
Drissa Camara,ci CIV,MF,23-264,2025-06-05 00:00:00,1,24,9,37.5,2027-04-01 00:00:00,1960-01-01 00:00:00,0.04,0.11,,0,0,Matches
Tayyib Talha Sanuç,tr TUR,"DF,MF",25-327,2025-02-03 00:00:00,0,2,0,0.0,0.62,0.00,0.00,,,0,0,Matches
Semih Güler,,DF,30-344,2025-09-04 00:00:00,0,1,0,0.0,0.21,0.00,0.00,,,0,0,Matches
Badou Ndiaye,sn SEN,MF,35-013,2025-08-03 00:00:00,0,5,1,20.0,1931-01-01 00:00:00,0.26,0.00,0.00,,0,0,Matches
Emmanuel Boateng,gh GHA,FW,29-170,2025-07-03 00:00:00,0,11,2,2025-02-18 00:00:00,1997-02-01 00:00:00,0.54,0.00,0.00,,0,0,Matches
Ogün Özçiçek,,MF,26-289,2025-04-03 00:00:00,0,1,0,0.0,0.30,0.00,0.00,,,0,0,Matches
Zafer Görgen,,GK,25-141,3.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Yusuf Kabadayı,de GER,"MF,FW",21-280,2025-03-02 00:00:00,1,5,4,80.0,2017-02-01 00:00:00,1974-01-01 00:00:00,0.20,0.25,,0,0,Matches
Juninho Bacuna,cw CUW,MF,28-094,2025-03-02 00:00:00,0,6,2,33.3,1962-02-01 00:00:00,0.87,0.00,0.00,,0,0,Matches
Enver Kulasin,ba BIH,MF,22-059,2025-05-01 00:00:00,0,2,1,50.0,1934-01-01 00:00:00,0.67,0.00,0.00,,0,0,Matches
Nazim Sangaré,tr TUR,DF,31-163,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Salem M'bakata,cd COD,DF,27-204,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Ali Kalın,,FW,17-231,0.4,0,1,0,0.0,1957-02-01 00:00:00,0.00,0.00,,,0,0,Matches
Mirza Cihan,,FW,25-014,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Sokratis Dioudis,gr GRE,GK,32-279,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Rob Nizet,be BEL,DF,23-209,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Squad Total,,,2025-03-28 00:00:00,12.0,17,179,60,33.5,14.92,5.00,0.08,0.25,,2,3,
Opponent Total,,,28.0,12.0,19,155,59,38.1,1992-12-01 00:00:00,1992-04-01 00:00:00,0.10,0.27,,3,4,
,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,
