Shooting 2025-2026 Konyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Umut Nayir,tr TUR,FW,32-134,2025-09-10 00:00:00,6,28,11,39.3,1956-02-01 00:00:00,2025-01-01 00:00:00,0.21,0.55,,0,0,Matches
Guilherme Sityá,pt POR,"DF,MF",35-222,2025-09-10 00:00:00,0,7,0,0.0,0.64,0.00,0.00,,,0,0,Matches
Yhoan Andzouana,cg CGO,"DF,MF",28-331,2025-08-10 00:00:00,1,11,4,36.4,2025-02-01 00:00:00,0.37,0.09,0.25,,0,0,Matches
Melih Ibrahimoglu,tr TUR,MF,25-115,2025-04-09 00:00:00,0,7,1,2025-03-14 00:00:00,0.74,0.11,0.00,0.00,,0,0,Matches
Adil Demirbağ,tr TUR,DF,27-334,2025-09-09 00:00:00,1,7,1,2025-03-14 00:00:00,0.71,0.10,0.14,1.00,,0,0,Matches
Alassane Ndao,sn SEN,"MF,FW",28-324,8.0,2,15,4,2025-07-26 00:00:00,1987-01-01 00:00:00,0.50,0.13,0.50,,0,0,Matches
Enis Bardhi,mk MKD,MF,30-130,2025-06-08 00:00:00,3,21,8,38.1,1943-02-01 00:00:00,0.93,0.10,0.25,,1,1,Matches
Deniz Ertaş,tr TUR,GK,20-234,8.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Jackson Muleka,cd COD,"MF,FW",26-036,7.0,1,26,10,38.5,1970-03-01 00:00:00,1942-01-01 00:00:00,0.04,0.10,,0,0,Matches
Riechedly Bazoer,cw CUW,DF,29-028,2025-06-06 00:00:00,0,2,0,0.0,0.30,0.00,0.00,,,0,0,Matches
Marko Jevtović,rs SRB,"DF,MF",32-108,6.0,0,4,1,25.0,0.67,0.17,0.00,0.00,,0,0,Matches
Uğurcan Yazgılı,tr TUR,DF,26-214,2025-01-05 00:00:00,0,3,2,66.7,0.58,0.39,0.00,0.00,,0,0,Matches
Pedrinho,br BRA,MF,28-325,2025-01-04 00:00:00,1,10,4,40.0,1942-02-01 00:00:00,0.97,0.00,0.00,,1,1,Matches
Jo Jinho,kr KOR,MF,22-122,2025-03-03 00:00:00,0,4,1,25.0,2021-01-01 00:00:00,0.30,0.00,0.00,,0,0,Matches
Bahadır Güngördü,,GK,27-336,3.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Danijel Aleksić,rs SRB,MF,34-193,2025-02-02 00:00:00,1,5,2,40.0,1931-02-01 00:00:00,0.92,0.20,0.50,,0,0,Matches
Morten Bjørlo,no NOR,MF,30-036,2025-02-02 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Muhammet Tunahan Taşçı,tr TUR,MF,23-194,2025-05-01 00:00:00,1,4,3,75.0,1967-02-01 00:00:00,2.00,0.25,0.33,,0,0,Matches
Josip Čalušić,hr CRO,DF,32-029,2025-03-01 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Marius Ştefănescu,ro ROU,"DF,FW",27-087,2025-01-01 00:00:00,0,5,2,40.0,1950-04-01 00:00:00,1980-01-01 00:00:00,0.00,0.00,,0,0,Matches
Melih Bostan,,FW,21-215,0.5,0,2,0,0.0,2019-04-01 00:00:00,0.00,0.00,,,0,0,Matches
Kaan Akyazi,,FW,20-074,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Ufuk Akyol,de GER,MF,28-074,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Mücahit Ibrahimoglu,at AUT,MF,20-245,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Karahan Yasir Subaşı,tr TUR,DF,29-312,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Squad Total,,,2025-08-28 00:00:00,11.0,17,161,54,33.5,14.64,1991-04-01 00:00:00,0.09,0.28,,2,2,
Opponent Total,,,2025-09-27 00:00:00,11.0,17,141,41,2025-01-29 00:00:00,1982-12-01 00:00:00,1973-03-01 00:00:00,0.12,0.41,,0,0,
