Playing Time 2025-2026 Konyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Umut Nayir,tr TUR,FW,32-134,11,985,90,99.5,2025-09-10 00:00:00,11,90,10,0,,0,2027-01-01 00:00:00,18,18,0,0.00,0.00,Matches
Guilherme Sityá,pt POR,"DF,MF",35-222,11,977,89,98.7,2025-09-10 00:00:00,11,89,10,0,,0,2027-01-01 00:00:00,17,18,-1,-0.09,-7.02,Matches
Yhoan Andzouana,cg CGO,"DF,MF",28-331,11,968,88,97.8,2025-08-10 00:00:00,11,88,10,0,,0,2027-01-01 00:00:00,17,18,-1,-0.09,-4.18,Matches
Melih Ibrahimoglu,tr TUR,MF,25-115,11,847,77,85.6,2025-04-09 00:00:00,11,77,3,0,,0,2027-01-01 00:00:00,15,17,-2,-0.21,-1.47,Matches
Adil Demirbağ,tr TUR,DF,27-334,10,887,89,89.6,2025-09-09 00:00:00,10,89,9,0,,0,1930-01-01 00:00:00,17,16,1,+0.10,+0.98,Matches
Alassane Ndao,sn SEN,"MF,FW",28-324,10,721,72,72.8,8.0,10,72,1,0,,1,1940-01-01 00:00:00,14,13,1,+0.12,+0.46,Matches
Enis Bardhi,mk MKD,MF,30-130,10,777,78,78.5,2025-06-08 00:00:00,9,81,3,1,45,0,1930-01-01 00:00:00,15,16,-1,-0.12,-0.54,Matches
Deniz Ertaş,tr TUR,GK,20-234,8,720,90,72.7,8.0,8,90,8,0,,3,1.00,11,13,-2,-0.25,-0.92,Matches
Jackson Muleka,cd COD,"MF,FW",26-036,9,633,70,63.9,7.0,7,82,2,2,29,0,0.89,10,15,-5,-0.71,-1.97,Matches
Riechedly Bazoer,cw CUW,DF,29-028,7,591,84,59.7,2025-06-06 00:00:00,7,84,3,0,,2,1943-01-01 00:00:00,11,10,1,+0.15,+0.38,Matches
Marko Jevtović,rs SRB,"DF,MF",32-108,7,539,77,54.4,6.0,6,88,4,1,13,0,1957-01-01 00:00:00,12,8,4,+0.67,+1.47,Matches
Uğurcan Yazgılı,tr TUR,DF,26-214,7,463,66,46.8,2025-01-05 00:00:00,6,74,4,1,21,1,2014-01-01 00:00:00,7,7,0,0.00,0.00,Matches
Pedrinho,br BRA,MF,28-325,9,372,41,37.6,2025-01-04 00:00:00,3,83,1,6,20,1,2022-01-01 00:00:00,5,6,-1,-0.24,-0.39,Matches
Jo Jinho,kr KOR,MF,22-122,5,297,59,30.0,2025-03-03 00:00:00,3,86,1,2,20,3,0.60,5,6,-1,-0.30,-0.43,Matches
Bahadır Güngördü,,GK,27-336,3,270,90,2025-03-27 00:00:00,3.0,3,90,3,0,,7,2.00,7,5,2,+0.67,+0.92,Matches
Danijel Aleksić,rs SRB,MF,34-193,3,195,65,2025-07-19 00:00:00,2025-02-02 00:00:00,3,65,0,0,,0,1933-02-01 00:00:00,5,2,3,+1.38,+1.72,Matches
Morten Bjørlo,no NOR,MF,30-036,9,201,22,2025-03-20 00:00:00,2025-02-02 00:00:00,2,45,0,7,16,2,1956-01-01 00:00:00,3,2,1,+0.45,+0.56,Matches
Muhammet Tunahan Taşçı,tr TUR,MF,23-194,6,135,23,2025-06-13 00:00:00,2025-05-01 00:00:00,0,,0,6,23,3,2017-01-01 00:00:00,4,3,1,+0.67,+0.77,Matches
Josip Čalušić,hr CRO,DF,32-029,4,118,30,2025-09-11 00:00:00,2025-03-01 00:00:00,0,,0,4,30,7,1975-01-01 00:00:00,2,4,-2,-1.53,-1.73,Matches
Marius Ştefănescu,ro ROU,"DF,FW",27-087,7,100,14,2025-01-10 00:00:00,2025-01-01 00:00:00,0,,0,7,14,4,0.71,1,1,0,0.00,0.00,Matches
Melih Bostan,,FW,21-215,4,43,11,2025-03-04 00:00:00,0.5,0,,0,4,11,7,0.75,1,0,1,+2.09,+2.19,Matches
