Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,
Overall,,,,,,,,,,,,,,,
Home/Away,,,,,,,,,,,,,,,
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1, Galatasaray,11,9,2,0,25,5,20,29,1964-02-01 00:00:00,W,,Mauro Icardi - 6,Uğurcan Çakır,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
2, Fenerbahçe,11,7,4,0,21,8,13,25,2027-02-01 00:00:00,W,,Youssef En-Nesyri - 6,Ederson,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
3, Trabzonspor,12,7,4,1,18,8,10,25,2025-08-02 00:00:00,W,,Paul Onuachu - 8,André Onana,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
4, Göztepe,12,6,4,2,15,6,9,22,1983-01-01 00:00:00,W,,Juan Santos - 5,Mateusz Lis,
,,,,,,,,,,,,,,,
,,,,,,,,,,,L,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,L,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
5, Samsunspor,11,5,5,1,17,11,6,20,1982-01-01 00:00:00,D,,Carlo Holse - 5,Okan Kocuk,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
6, Beşiktaş,12,6,2,4,21,16,5,20,1967-01-01 00:00:00,L,,"Rafa Silva, Tammy Abraham - 5",Mert Günok,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,L,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
7, Gaziantep FK,12,5,4,3,17,20,-3,19,1958-01-01 00:00:00,W,,Kacper Kozłowski - 3,Mustafa Burak Bozan,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,L,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
8, Alanyaspor,12,3,6,3,12,12,0,15,2025-01-01 00:00:00,D,,"Ianis Hagi, İbrahim Kaya... - 2",Ertuğrul Taşkıran,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,L,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
9, Konyaspor,11,4,2,5,18,18,0,14,2027-01-01 00:00:00,D,,Umut Nayir - 6,Deniz Ertaş,
,,,,,,,,,,,,,,,
,,,,,,,,,,,L,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,L,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,L,,,,
10, Rizespor,12,3,5,4,14,16,-2,14,2017-01-01 00:00:00,L,,Jesurun Rak Sakyi - 4,Yahia Fofana,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,W,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,D,,,,
