Squad Standard Stats 2025-2026 Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
View Player Stats,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,
Squad Stats,,,,,,,,,,,,,,,,,,,,
Opponent Stats,,,,,,,,,,,,,,,,,,,,
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alanyaspor,23,27.0,45.9,12,132,1.08,12.0,12,7,19,10,2,2,27,0,1.00,0.58,1958-01-01 00:00:00,0.83,1942-01-01 00:00:00
Antalyaspor,29,29.0,42.8,12,132,1.08,12.0,13,10,23,13,0,0,34,2,2025-08-01 00:00:00,0.83,1992-01-01 00:00:00,2025-08-01 00:00:00,1992-01-01 00:00:00
Başakşehir,26,2025-05-28 00:00:00,58.1,12,132,1.08,12.0,12,10,22,11,1,1,28,1,1.00,0.83,1983-01-01 00:00:00,0.92,1975-01-01 00:00:00
Beşiktaş,30,2025-02-28 00:00:00,52.0,12,132,1.08,12.0,20,14,34,19,1,2,26,2,1967-01-01 00:00:00,2017-01-01 00:00:00,1983-02-01 00:00:00,1958-01-01 00:00:00,1975-02-01 00:00:00
Eyüpspor,25,2025-06-29 00:00:00,52.3,11,121,990,11.0,6,5,11,6,0,0,25,0,0.55,0.45,1.00,0.55,1.00
Fatih Karagümrük,26,2025-04-27 00:00:00,48.3,11,121,990,11.0,9,7,16,8,1,2,24,2,0.82,0.64,1945-01-01 00:00:00,0.73,1936-01-01 00:00:00
Fenerbahçe,29,2025-01-28 00:00:00,60.7,11,121,990,11.0,20,11,31,18,2,4,30,1,1982-01-01 00:00:00,1.00,1982-02-01 00:00:00,1964-01-01 00:00:00,1964-02-01 00:00:00
Galatasaray,23,2025-08-28 00:00:00,61.9,11,121,990,11.0,24,17,41,22,2,2,18,1,2018-02-01 00:00:00,1955-01-01 00:00:00,1973-03-01 00:00:00,2.00,1955-03-01 00:00:00
Gaziantep FK,27,2025-03-28 00:00:00,55.0,12,132,1.08,12.0,17,14,31,15,2,3,37,2,1942-01-01 00:00:00,2017-01-01 00:00:00,1958-02-01 00:00:00,2025-01-01 00:00:00,1942-02-01 00:00:00
Gençlerbirliği,29,2025-03-28 00:00:00,40.6,12,132,1.08,12.0,11,5,16,9,2,3,28,4,0.92,0.42,1933-01-01 00:00:00,0.75,2017-01-01 00:00:00
Göztepe,22,2025-08-25 00:00:00,37.2,12,132,1.08,12.0,15,11,26,15,0,1,29,3,2025-01-01 00:00:00,0.92,2017-02-01 00:00:00,2025-01-01 00:00:00,2017-02-01 00:00:00
Kasımpaşa,21,2025-07-28 00:00:00,46.8,12,132,1.08,12.0,10,8,18,9,1,1,27,2,0.83,0.67,1950-01-01 00:00:00,0.75,1942-01-01 00:00:00
Kayserispor,28,2025-05-29 00:00:00,50.5,11,121,990,11.0,11,10,21,11,0,0,31,1,1.00,0.91,1991-01-01 00:00:00,1.00,1991-01-01 00:00:00
Kocaelispor,28,2025-08-28 00:00:00,47.6,11,121,990,11.0,10,5,15,8,2,2,29,2,0.91,0.45,1936-01-01 00:00:00,0.73,2018-01-01 00:00:00
Konyaspor,25,2025-08-28 00:00:00,52.9,11,121,990,11.0,17,14,31,15,2,2,27,1,1955-01-01 00:00:00,2027-01-01 00:00:00,1982-02-01 00:00:00,1936-01-01 00:00:00,1964-02-01 00:00:00
Rizespor,23,2025-03-27 00:00:00,49.9,12,132,1.08,12.0,13,9,22,13,0,0,34,0,2025-08-01 00:00:00,0.75,1983-01-01 00:00:00,2025-08-01 00:00:00,1983-01-01 00:00:00
Samsunspor,25,2025-01-28 00:00:00,50.7,11,121,990,11.0,14,8,22,13,1,1,26,1,2027-01-01 00:00:00,0.73,2.00,2018-01-01 00:00:00,1991-01-01 00:00:00
Trabzonspor,26,2025-03-27 00:00:00,50.3,12,132,1.08,12.0,18,12,30,16,2,2,18,2,1950-01-01 00:00:00,1.00,1950-02-01 00:00:00,1933-01-01 00:00:00,1933-02-01 00:00:00
