Squad Goalkeeping 2025-2026 Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
View Player Stats,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,
Squad Stats,,,,,,,,,,,,,,,,,,,,
Opponent Stats,,,,,,,,,,,,,,,,,,,,
,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alanyaspor,1,12,12,1.08,12.0,12,1.00,48,38,77.1,3,6,3,4,33.3,2,1,1,0,50.0
Antalyaspor,2,12,12,1.08,12.0,23,1992-01-01 00:00:00,66,44,66.7,4,1,7,2,2025-07-16 00:00:00,1,1,0,0,0.0
Başakşehir,2,12,12,1.08,12.0,11,0.92,51,41,80.4,3,4,5,5,41.7,2,1,0,1,0.0
Beşiktaş,2,12,12,1.08,12.0,16,1933-01-01 00:00:00,42,27,64.3,6,2,4,2,2025-07-16 00:00:00,1,1,0,0,0.0
Eyüpspor,2,11,11,990,11.0,14,2027-01-01 00:00:00,44,34,77.3,2,2,7,3,2025-03-27 00:00:00,4,4,0,0,0.0
Fatih Karagümrük,1,11,11,990,11.0,23,2025-09-02 00:00:00,64,44,68.8,1,1,9,0,0.0,3,3,0,0,0.0
Fenerbahçe,4,11,11,990,11.0,8,0.73,32,23,75.0,7,4,0,5,45.5,0,0,0,0,
Galatasaray,2,11,11,990,11.0,5,0.45,36,31,86.1,9,2,0,6,54.5,0,0,0,0,
Gaziantep FK,3,12,12,1.077,12.0,20,1967-01-01 00:00:00,55,38,69.1,5,4,3,3,25.0,4,3,0,1,0.0
Gençlerbirliği,3,12,12,1.08,12.0,17,1942-01-01 00:00:00,48,33,68.8,3,2,7,1,2025-03-08 00:00:00,2,2,0,0,0.0
Göztepe,1,12,12,1.08,12.0,6,0.50,42,36,85.7,6,4,2,8,66.7,1,0,1,0,100.0
Kasımpaşa,1,12,12,1.08,12.0,17,1942-01-01 00:00:00,49,33,65.3,2,4,6,2,2025-07-16 00:00:00,1,0,1,0,100.0
Kayserispor,2,11,11,990,11.0,24,2018-02-01 00:00:00,62,40,64.5,1,6,4,0,0.0,2,2,0,0,0.0
Kocaelispor,1,11,11,990,11.0,15,1936-01-01 00:00:00,40,27,67.5,3,2,6,2,2025-02-18 00:00:00,2,2,0,0,0.0
Konyaspor,2,11,11,990,11.0,18,1964-01-01 00:00:00,43,24,58.1,4,2,5,1,2025-01-09 00:00:00,0,0,0,0,
Rizespor,2,12,12,1.08,12.0,16,1933-01-01 00:00:00,53,39,71.7,3,5,4,4,33.3,3,1,1,1,50.0
Samsunspor,1,11,11,990,11.0,11,1.00,41,29,73.2,5,5,1,3,2025-03-27 00:00:00,0,0,0,0,
Trabzonspor,2,12,12,1.08,12.0,8,0.67,45,37,82.2,7,4,1,6,50.0,0,0,0,0,
