Squad Miscellaneous Stats 2025-2026 Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
View Player Stats,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,
Squad Stats,,,,,,,,,,,,,,
Opponent Stats,,,,,,,,,,,,,,
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Alanyaspor,23,12.0,27,0,0,147,178,15,192,85,93,,,0
Antalyaspor,29,12.0,34,2,2,142,161,20,156,81,102,,,0
Başakşehir,26,12.0,28,1,1,157,167,20,244,93,119,,,1
Beşiktaş,30,12.0,26,2,0,177,136,27,201,114,105,,,1
Eyüpspor,25,11.0,25,0,0,121,163,34,213,93,95,,,0
Fatih Karagümrük,26,11.0,24,2,1,158,159,24,152,96,85,,,4
Fenerbahçe,29,11.0,30,1,1,153,149,22,235,92,136,,,0
Galatasaray,23,11.0,18,1,0,129,118,19,231,75,112,,,0
Gaziantep FK,27,12.0,37,2,0,161,191,18,161,101,146,,,1
Gençlerbirliği,29,12.0,28,4,2,160,171,21,164,106,108,,,1
Göztepe,22,12.0,29,3,3,210,104,23,198,147,118,,,0
Kasımpaşa,21,12.0,27,2,1,179,143,16,278,100,122,,,0
Kayserispor,28,11.0,31,1,0,154,135,19,278,90,92,,,0
Kocaelispor,28,11.0,29,2,0,170,149,20,171,94,94,,,2
Konyaspor,25,11.0,27,1,1,132,138,20,265,78,101,,,1
Rizespor,23,12.0,34,0,0,174,145,23,171,94,114,,,0
Samsunspor,25,11.0,26,1,1,152,113,19,180,84,111,,,1
Trabzonspor,26,12.0,18,2,0,147,174,22,161,96,107,,,0
,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,
