Goals,Unnamed: 1,Unnamed: 2,Unnamed: 3,Goals/90,Unnamed: 5,Unnamed: 6,Unnamed: 7,Assists,Unnamed: 9,Unnamed: 10,Unnamed: 11,Assists/90,Unnamed: 13,Unnamed: 14,Unnamed: 15,Goals + Assists,Unnamed: 17,Unnamed: 18,Unnamed: 19,Goals + Assists/90,Unnamed: 21,Unnamed: 22,Unnamed: 23,Penalty Kicks Made,Unnamed: 25,Unnamed: 26,Unnamed: 27,Non-Penalty Goals,Unnamed: 29,Unnamed: 30,Unnamed: 31,Non-Penalty Goals/90,Unnamed: 33,Unnamed: 34,Unnamed: 35,Non-Penalty Goals + Assists/90,Unnamed: 37,Unnamed: 38,Unnamed: 39,Shots Total,Unnamed: 41,Unnamed: 42,Unnamed: 43,Shots Total/90,Unnamed: 45,Unnamed: 46,Unnamed: 47,Shots on Target,Unnamed: 49,Unnamed: 50,Unnamed: 51,Shots on target/90,Unnamed: 53,Unnamed: 54,Unnamed: 55,Shots on Target %,Unnamed: 57,Unnamed: 58,Unnamed: 59,Goals/Shot,Unnamed: 61,Unnamed: 62,Unnamed: 63,Goals/Shot on Target,Unnamed: 65,Unnamed: 66,Unnamed: 67,Crosses,Unnamed: 69,Unnamed: 70,Unnamed: 71,Tackles Won,Unnamed: 73,Unnamed: 74,Unnamed: 75,Interceptions,Unnamed: 77,Unnamed: 78,Unnamed: 79,Minutes,Unnamed: 81,Unnamed: 82,Unnamed: 83,Substitute Appearances,Unnamed: 85,Unnamed: 86,Unnamed: 87,Points per Match,Unnamed: 89,Unnamed: 90,Unnamed: 91,Plus/Minus,Unnamed: 93,Unnamed: 94,Plus/Minus/90,Unnamed: 96,ouls Committed,Unnamed: 98,Unnamed: 99,Unnamed: 100,Fouls Drawn,Unnamed: 102,Unnamed: 103,Unnamed: 104,Own Goals,Unnamed: 106,Unnamed: 107,Unnamed: 108,Clean Sheets,Unnamed: 110,Unnamed: 111,Unnamed: 112,Clean Sheet Percentage,Unnamed: 114,Unnamed: 115,Unnamed: 116,Saves,Unnamed: 118,Unnamed: 119,Unnamed: 120,Save Percentage,Unnamed: 122,Unnamed: 123,Unnamed: 124,Goals Against/90,Unnamed: 126,Unnamed: 127
1.0,Eldor Shomurodov • Başakşehir,8.0,,1.0,Mauro Icardi • Galatasaray,2018-01-01 00:00:00,,1.0,Alexandru Maxim • Gaziantep FK,5.0,,1.0,Václav Černý • Beşiktaş,0.64,,1.0,Eldor Shomurodov • Başakşehir,9.0,,1.0,Mauro Icardi • Galatasaray,2018-01-01 00:00:00,,1.0,M'Baye Niang • Gençlerbirliği,2.0,,1.0,Eldor Shomurodov • Başakşehir,7.0,,1.0,Mauro Icardi • Galatasaray,2018-01-01 00:00:00,,1.0,Mauro Icardi • Galatasaray,2018-01-01 00:00:00,,1.0,Eldor Shomurodov • Başakşehir,39.0,,1.0,Talisca • Fenerbahçe,1940-05-01,,1.0,Paul Onuachu • Trabzonspor,19.0,,1.0,Talisca • Fenerbahçe,1942-02-01,,1.0,Yusuf Kabadayı • Gaziantep FK,80.0,,1.0,Cherif Ndiaye • Samsunspor,0.5,,1.0,Cherif Ndiaye • Samsunspor,1.0,,1.0,Miguel Filipe Nunes Cardoso • Kayserispor,98.0,,1.0,Melih Kabasakal • 2 squads,29.0,,1.0,Arda Kurtulan • Göztepe,28.0,,1.0,Dimitris Goutas • Gençlerbirliği,1080.0,,1.0,Danylo Sikan • Trabzonspor,9,,1.0,Günay Güvenç • Galatasaray,3.00,,1.0,Abdülkerim Bardakcı • Galatasaray,20.0,1.0,Günay Güvenç • Galatasaray,1.0,Pape Habib Guèye • Kasımpaşa,37.0,,1.0,Kacper Kozłowski • Gaziantep FK,37.0,,1.0,Anıl Çınar • Fatih Karagümrük,2.0,,1.0,Mateusz Lis • Göztepe,8.0,,1.0,Günay Güvenç • Galatasaray,75.0,,1.0,Ivo Grbić • Fatih Karagümrük,44.0,,1.0,Günay Güvenç • Galatasaray,90.0,,1.0,Günay Güvenç • Galatasaray,0.25
,Paul Onuachu • Trabzonspor,8.0,,2.0,Jesurun Rak Sakyi • Rizespor,0.84,,2.0,Mortadha Ben Ouanes • Kasımpaşa,4.0,,2.0,João Mendes • Kayserispor,0.48,,,Paul Onuachu • Trabzonspor,9.0,,2.0,Jesurun Rak Sakyi • Rizespor,0.84,,,Bruno Petković • Kocaelispor,2.0,,2.0,Youssef En-Nesyri • Fenerbahçe,6.0,,2.0,Jesurun Rak Sakyi • Rizespor,0.84,,2.0,Jesurun Rak Sakyi • Rizespor,0.84,,2.0,Talisca • Fenerbahçe,38.0,,2.0,Victor Osimhen • Galatasaray,1976-04-01,,2.0,Eldor Shomurodov • Başakşehir,18.0,,2.0,Victor Osimhen • Galatasaray,1938-02-01,,2.0,Yalçın Kayan • Eyüpspor,75.0,,,Eren Elmalı • Galatasaray,0.5,,,Eren Elmalı • Galatasaray,1.0,,2.0,Amine Cherni • Göztepe,76.0,,2.0,Kévin Rodrigues • Gaziantep FK,26.0,,2.0,Samet Akaydın • Rizespor,27.0,,,Andreas Gianniotis • Kasımpaşa,1080.0,,,Prince Obeng Ampem • Eyüpspor,9,,2.0,Davinson Sánchez • Galatasaray,1978-02-01 00:00:00,,2.0,Roland Sallai • Galatasaray,19.0,2.0,Eren Elmalı • Galatasaray,2.0,Paul Onuachu • Trabzonspor,28.0,,2.0,M'Baye Niang • Gençlerbirliği,32.0,,2.0,Jerome Opoku • Başakşehir,1.0,,2.0,Uğurcan Çakır • 2 squads,6.0,,2.0,Mateusz Lis • Göztepe,66.7,,2.0,Muhammed Şengezer • Başakşehir,40.0,,2.0,Uğurcan Çakır • 2 squads,86.1,,2.0,Uğurcan Çakır • 2 squads,0.45
3.0,Youssef En-Nesyri • Fenerbahçe,6.0,,3.0,David Datro Fofana • Fatih Karagümrük,0.74,,,Crespo • Başakşehir,4.0,,3.0,Mortadha Ben Ouanes • Kasımpaşa,0.45,,3.0,Alexandru Maxim • Gaziantep FK,7.0,,3.0,Václav Černý • Beşiktaş,0.80,,,Barış Alper Yılmaz • Galatasaray,2.0,,,Mauro Icardi • Galatasaray,6.0,,3.0,David Datro Fofana • Fatih Karagümrük,0.74,,3.0,Václav Černý • Beşiktaş,0.80,,3.0,Paul Onuachu • Trabzonspor,36.0,,3.0,Drissa Camara • Gaziantep FK,2027-04-01,,3.0,Talisca • Fenerbahçe,17.0,,3.0,Mauro Icardi • Galatasaray,1997-01-01,,3.0,Karol Linetty • Kocaelispor,71.4,,3.0,Georgi Dzhikiya • Antalyaspor,0.4,,3.0,David Datro Fofana • Fatih Karagümrük,0.75,,3.0,Guilherme Sityá • Konyaspor,72.0,,3.0,Andri Fannar Baldursson • Kasımpaşa,22.0,,3.0,Anthony Dennis • Göztepe,20.0,,,Héliton • Göztepe,1080.0,,3.0,Samed Onur • Gençlerbirliği,8,,3.0,Nene Dorgeles • Fenerbahçe,1971-02-01 00:00:00,,3.0,Leroy Sané • Galatasaray,17.0,3.0,Mauro Icardi • Galatasaray,3.0,M'Baye Niang • Gençlerbirliği,24.0,,3.0,Oğulcan Ülgün • Gençlerbirliği,30.0,,,Fatih Kuruçuk • Fatih Karagümrük,1.0,,3.0,Muhammed Şengezer • Başakşehir,4.0,,3.0,Ederson • Fenerbahçe,60.0,,3.0,Ertuğrul Taşkıran • Alanyaspor,38.0,,3.0,Mateusz Lis • Göztepe,85.7,,3.0,Mateusz Lis • Göztepe,0.50
,Mauro Icardi • Galatasaray,6.0,,4.0,Talisca • Fenerbahçe,0.71,,,Václav Černý • Beşiktaş,4.0,,,Alexandru Maxim • Gaziantep FK,0.45,,,Umut Nayir • Konyaspor,7.0,,4.0,Paul Onuachu • Trabzonspor,0.79,,,Talisca • Fenerbahçe,2.0,,,Paul Onuachu • Trabzonspor,6.0,,4.0,Youssef En-Nesyri • Fenerbahçe,0.67,,4.0,Marco Asensio • Fenerbahçe,0.78,,4.0,Youssef En-Nesyri • Fenerbahçe,32.0,,4.0,Indrit Tuci • Kayserispor,2021-04-01,,4.0,László Bénes • Kayserispor,14.0,,4.0,László Bénes • Kayserispor,1974-01-01,,4.0,Abdülkadir Ömür • Antalyaspor,66.7,,4.0,Jesurun Rak Sakyi • Rizespor,0.33,,4.0,Bachir Gueye • Antalyaspor,0.67,,4.0,Kerem Demirbay • Eyüpspor,65.0,,,Festy Ebosele • Başakşehir,22.0,,4.0,Žan Žužek • Gençlerbirliği,19.0,,,Nuno Lima • Alanyaspor,1080.0,,,Taha Altıkardeş • Göztepe,8,,4.0,Gabriel Sara • Galatasaray,1964-02-01 00:00:00,,,Eren Elmalı • Galatasaray,17.0,4.0,Yunus Akgün • Galatasaray,,Anthony Dennis • Göztepe,24.0,,,Atakan Çankaya • Fatih Karagümrük,30.0,,,Aleksandar Jovanović • Kocaelispor,1.0,,,Ertuğrul Taşkıran • Alanyaspor,4.0,,4.0,Uğurcan Çakır • 2 squads,54.5,,4.0,Mateusz Lis • Göztepe,36.0,,4.0,Marcos Felipe • Eyüpspor,82.5,,4.0,Ederson • Fenerbahçe,0.60
,Umut Nayir • Konyaspor,6.0,,5.0,Paul Onuachu • Trabzonspor,0.70,,5.0,Tim Jabol-Folcarelli • Trabzonspor,3.0,,5.0,Emrecan Bulut • Rizespor,0.44,,5.0,Youssef En-Nesyri • Fenerbahçe,6.0,,5.0,Marco Asensio • Fenerbahçe,0.78,,,Alexandru Maxim • Gaziantep FK,2.0,,,Umut Nayir • Konyaspor,6.0,,5.0,Felipe Augusto • Trabzonspor,0.60,,5.0,David Datro Fofana • Fatih Karagümrük,0.74,,5.0,Janderson • Göztepe,29.0,,5.0,Mauro Icardi • Galatasaray,1973-03-01,,5.0,Youssef En-Nesyri • Fenerbahçe,13.0,,5.0,Paul Onuachu • Trabzonspor,1966-01-01,,5.0,László Bénes • Kayserispor,63.6,,5.0,Mauro Icardi • Galatasaray,0.32,,,Jesurun Rak Sakyi • Rizespor,0.67,,5.0,Zeki Yavru • Samsunspor,62.0,,5.0,İsmail Yüksek • Fenerbahçe,20.0,,5.0,Tim Jabol-Folcarelli • Trabzonspor,18.0,,,Nicholas Opoku • Kasımpaşa,1080.0,,,Umut Bozok • Eyüpspor,8,,,Leroy Sané • Galatasaray,1964-02-01 00:00:00,,5.0,Lucas Torreira • Galatasaray,16.0,5.0,Abdülkerim Bardakcı • Galatasaray,5.0,Amine Cherni • Göztepe,23.0,,5.0,Jackson Muleka • Konyaspor,28.0,,,Oleksandr Syrota • Kocaelispor,1.0,,5.0,Ederson • Fenerbahçe,3.0,,5.0,Erdem Canpolat • Rizespor,40.0,,5.0,Andreas Gianniotis • Kasımpaşa,33.0,,5.0,Muhammed Şengezer • Başakşehir,80.0,,5.0,André Onana • Trabzonspor,0.87
6.0,Felipe Augusto • Trabzonspor,5.0,,6.0,Eldor Shomurodov • Başakşehir,0.69,,,Alassane Ndao • Konyaspor,3.0,,6.0,Crespo • Başakşehir,0.43,,,Mauro Icardi • Galatasaray,6.0,,6.0,Eldor Shomurodov • Başakşehir,0.77,,,Paul Onuachu • Trabzonspor,2.0,,6.0,Felipe Augusto • Trabzonspor,5.0,,,Eldor Shomurodov • Başakşehir,0.60,,6.0,Eldor Shomurodov • Başakşehir,0.69,,6.0,Umut Nayir • Konyaspor,28.0,,,Ali Yavuz Kol • Kasımpaşa,1973-03-01,,,Rafa Silva • Beşiktaş,13.0,,6.0,Drissa Camara • Gaziantep FK,1960-01-01,,6.0,Ruan • Alanyaspor,60.0,,6.0,Soner Dikmen • Antalyaspor,0.29,,,Oğulcan Ülgün • Gençlerbirliği,0.67,,6.0,Alexandru Maxim • Gaziantep FK,61.0,,,Rhaldney • Göztepe,20.0,,,Kerem Demirbay • Eyüpspor,18.0,,,Pedro Pereira • Gençlerbirliği,1080.0,,,Emre Akbaba • Eyüpspor,8,,,Abdülkerim Bardakcı • Galatasaray,1964-02-01 00:00:00,,6.0,Yunus Akgün • Galatasaray,15.0,6.0,Lucas Torreira • Galatasaray,6.0,Arda Kurtulan • Göztepe,22.0,,6.0,Mortadha Ben Ouanes • Kasımpaşa,23.0,,,Muhammed Kadıoğlu • Fatih Karagümrük,1.0,,,André Onana • Trabzonspor,3.0,,6.0,André Onana • Trabzonspor,37.5,,,Marcos Felipe • Eyüpspor,33.0,,,André Onana • Trabzonspor,80.0,,6.0,Muhammed Şengezer • Başakşehir,1.00
,Talisca • Fenerbahçe,5.0,,7.0,Youssef En-Nesyri • Fenerbahçe,0.67,,,Ali Sowe • Rizespor,3.0,,7.0,Sam Larsson • Fatih Karagümrük,0.41,,,Rafa Silva • Beşiktaş,6.0,,7.0,David Datro Fofana • Fatih Karagümrük,0.74,,7.0,İbrahim Kaya • Alanyaspor,1.0,,,Rafa Silva • Beşiktaş,5.0,,7.0,Marco Asensio • Fenerbahçe,0.58,,7.0,Youssef En-Nesyri • Fenerbahçe,0.67,,7.0,Jackson Muleka • Konyaspor,26.0,,7.0,Jackson Muleka • Konyaspor,1970-03-01,,,Victor Osimhen • Galatasaray,13.0,,7.0,Eldor Shomurodov • Başakşehir,1955-01-01,,,Furkan Soyalp • Kayserispor,60.0,,,Tayfur Bingöl • Kocaelispor,0.29,,,Efkan Bekiroğlu • Göztepe,0.67,,7.0,Gabriel Sara • Galatasaray,55.0,,7.0,Bünyamin Balcı • Antalyaspor,19.0,,,Wilfred Ndidi • Beşiktaş,18.0,,,Ertuğrul Taşkıran • Alanyaspor,1080.0,,,Ali Yavuz Kol • Kasımpaşa,8,,,Ismail Jakobs • Galatasaray,1964-02-01 00:00:00,,7.0,Wagner Pina • Trabzonspor,14.0,7.0,Leroy Sané • Galatasaray,,Janderson • Göztepe,22.0,,,Mustafa Eskihellaç • Trabzonspor,23.0,,,Pedro Pereira • Gençlerbirliği,1.0,,,Marcos Felipe • Eyüpspor,3.0,,7.0,Muhammed Şengezer • Başakşehir,36.4,,7.0,Bilal Bayazit • Kayserispor,32.0,,7.0,Ertuğrul Taşkıran • Alanyaspor,77.1,,,Marcos Felipe • Eyüpspor,1.00
,Rafa Silva • Beşiktaş,5.0,,8.0,Felipe Augusto • Trabzonspor,0.60,,,Janderson • Göztepe,3.0,,8.0,Habib Keita • Kocaelispor,0.38,,,Carlo Holse • Samsunspor,6.0,,8.0,Talisca • Fenerbahçe,0.71,,,Pedrinho • Konyaspor,1.0,,,Juan Santos • Göztepe,5.0,,8.0,Rafa Silva • Beşiktaş,0.55,,,Efkan Bekiroğlu • Göztepe,0.67,,,Victor Osimhen • Galatasaray,26.0,,8.0,Youssef En-Nesyri • Fenerbahçe,1958-03-01,,8.0,Barış Alper Yılmaz • Galatasaray,11.0,,8.0,Barış Alper Yılmaz • Galatasaray,1951-01-01,,,Georgi Dzhikiya • Antalyaspor,60.0,,,Yohan Boli • Antalyaspor,0.29,,,Soner Dikmen • Antalyaspor,0.67,,,Yusuf Sari • Başakşehir,55.0,,8.0,Arda Kurtulan • Göztepe,18.0,,,Melih Kabasakal • 2 squads,18.0,,,Mateusz Lis • Göztepe,1080.0,,,Arif Boşluk • Trabzonspor,8,,,Roland Sallai • Galatasaray,1964-02-01 00:00:00,,8.0,Günay Güvenç • Galatasaray,13.0,,Roland Sallai • Galatasaray,8.0,Archie Brown • Fenerbahçe,21.0,,8.0,Roland Sallai • Galatasaray,21.0,,,Ľubomír Šatka • Samsunspor,1.0,,,Okan Kocuk • Samsunspor,3.0,,8.0,Ertuğrul Taşkıran • Alanyaspor,33.3,,8.0,Uğurcan Çakır • 2 squads,31.0,,8.0,Ederson • Fenerbahçe,76.9,,,Okan Kocuk • Samsunspor,1.00
,Juan Santos • Göztepe,5.0,,9.0,Marco Asensio • Fenerbahçe,0.58,,,Yhoan Andzouana • Konyaspor,3.0,,9.0,Alassane Ndao • Konyaspor,0.37,,,Tammy Abraham • Beşiktaş,6.0,,9.0,Barış Alper Yılmaz • Galatasaray,0.69,,,Sam Larsson • Fatih Karagümrük,1.0,,,Carlo Holse • Samsunspor,5.0,,,Victor Osimhen • Galatasaray,0.55,,,Emrecan Bulut • Rizespor,0.67,,,Oleksandr Zubkov • Trabzonspor,26.0,,9.0,Junior Olaitan • Göztepe,1949-03-01,,,Juan Santos • Göztepe,11.0,,9.0,Youssef En-Nesyri • Fenerbahçe,1945-01-01,,9.0,Jota Silva • Beşiktaş,57.1,,9.0,Cengiz Ünder • 2 squads,0.27,,,Yohan Boli • Antalyaspor,0.67,,9.0,Oleksandr Zubkov • Trabzonspor,53.0,,9.0,Giannis Papanikolaou • Rizespor,17.0,,9.0,Dimitris Goutas • Gençlerbirliği,16.0,,9.0,Andri Fannar Baldursson • Kasımpaşa,1063.0,,9.0,Kaan Ayhan • Galatasaray,7,,9.0,Yunus Akgün • Galatasaray,1960-02-01 00:00:00,,,Felipe Augusto • Trabzonspor,13.0,9.0,Ismail Jakobs • Galatasaray,,Sander van de Streek • Antalyaspor,21.0,,9.0,Ianis Hagi • Alanyaspor,20.0,,,David Jurásek • Beşiktaş,1.0,,,Günay Güvenç • Galatasaray,3.0,,,Abdullah Yiğiter • Antalyaspor,33.3,,9.0,Okan Kocuk • Samsunspor,29.0,,9.0,Erhan Erentürk • Gençlerbirliği,75.0,,,Ertuğrul Taşkıran • Alanyaspor,1.00
,Carlo Holse • Samsunspor,5.0,,10.0,Rafa Silva • Beşiktaş,0.55,,,João Mendes • Kayserispor,3.0,,,Christ Inao Oulaï • Trabzonspor,0.37,,10.0,Mortadha Ben Ouanes • Kasımpaşa,5.0,,10.0,Youssef En-Nesyri • Fenerbahçe,0.67,,,Haris Hajradinović • Kasımpaşa,1.0,,10.0,Jesurun Rak Sakyi • Rizespor,4.0,,,Umut Nayir • Konyaspor,0.55,,10.0,Rafa Silva • Beşiktaş,0.66,,10.0,Barış Alper Yılmaz • Galatasaray,25.0,,,Prince Obeng Ampem • Eyüpspor,1949-03-01,,,Tammy Abraham • Beşiktaş,11.0,,10.0,Rafa Silva • Beşiktaş,1943-01-01,,,Tayfur Bingöl • Kocaelispor,57.1,,10.0,Felipe Augusto • Trabzonspor,0.26,,,Georgi Dzhikiya • Antalyaspor,0.67,,10.0,Casper Højer Nielsen • Rizespor,48.0,,,Wagner Pina • Trabzonspor,17.0,,,Novatus Dismas • Göztepe,16.0,,10.0,Amine Cherni • Göztepe,1051.0,,,Burak Kapacak • Kayserispor,7,,,Ederson • Fenerbahçe,1960-02-01 00:00:00,,10.0,Gabriel Sara • Galatasaray,12.0,10.0,Fred • Fenerbahçe,,Rhaldney • Göztepe,21.0,,,Tayfur Bingöl • Kocaelispor,20.0,,,Riechedly Bazoer • Konyaspor,1.0,,10.0,Yahia Fofana • Rizespor,2.0,,10.0,Marcos Felipe • Eyüpspor,30.0,,10.0,André Onana • Trabzonspor,28.0,,10.0,Ersin Destanoğlu • Beşiktaş,73.7,,10.0,Erhan Erentürk • Gençlerbirliği,2014-01-01 00:00:00
