Standard Stats 2025-2026 Rizespor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Casper Højer Nielsen,dk DEN,DF,30-354,12,12,1.05,2025-07-11 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Giannis Papanikolaou,gr GRE,MF,26-356,12,12,1.003,2025-01-11 00:00:00,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches
Qazim Laçi,al ALB,MF,29-294,12,12,967,2025-07-10 00:00:00,0,2,2,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches
Muhammet Taha Şahin,,DF,25-018,12,11,991,11.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Samet Akaydın,tr TUR,DF,31-241,11,11,990,11.0,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
Attila Mocsi,hu HUN,DF,25-164,11,8,791,2025-08-08 00:00:00,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
Ali Sowe,gm GAM,FW,31-148,12,8,751,2025-03-08 00:00:00,1,3,4,1,0,0,2,0,0.12,0.36,0.48,0.12,0.48,Matches
Yahia Fofana,ci CIV,GK,25-080,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Muhamed Buljubasic,ba BIH,MF,21-128,10,6,569,2025-03-06 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jesurun Rak Sakyi,eng ENG,"MF,FW",23-035,6,6,431,2025-08-04 00:00:00,4,0,4,4,0,0,1,0,0.84,0.00,0.84,0.84,0.84,Matches
Erdem Canpolat,de GER,GK,24-210,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mithat Pala,tr TUR,"MF,DF",25-086,9,5,443,2025-09-04 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ibrahim Olawoyin,ng NGA,MF,27-343,6,5,411,2025-06-04 00:00:00,1,0,1,1,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches
Emrecan Bulut,,"MF,FW",23-287,9,4,406,2025-05-04 00:00:00,1,2,3,1,0,0,1,0,0.22,0.44,0.67,0.22,0.67,Matches
Václav Jurečka,cz CZE,FW,31-136,9,4,392,2025-04-04 00:00:00,1,0,1,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches
Loide Augusto,ao ANG,"MF,FW",25-256,5,4,271,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches
Halil Dervişoğlu,tr TUR,FW,25-336,6,3,353,2025-09-03 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Altin Zeqiri,xk KVX,"MF,FW",25-114,8,3,298,2025-03-03 00:00:00,1,0,1,1,0,0,2,0,0.30,0.00,0.30,0.30,0.30,Matches
Xusniddin Aliqulov,uz UZB,DF,26-219,5,3,262,2025-09-02 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Modibo Sagnan,ml MLI,DF,26-209,3,2,121,2025-03-01 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Valentin Mihaila,ro ROU,MF,25-280,6,1,151,2025-07-01 00:00:00,1,0,1,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches
