Playing Time 2025-2026 Rizespor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Casper Højer Nielsen,dk DEN,DF,30-354,12,1.05,88,97.2,2025-07-11 00:00:00,12,88,8,0,,0,2017-01-01 00:00:00,13,16,-3,-0.26,-3.26,Matches
Giannis Papanikolaou,gr GRE,MF,26-356,12,1.003,84,92.9,2025-01-11 00:00:00,12,84,9,0,,0,2017-01-01 00:00:00,11,13,-2,-0.18,-0.18,Matches
Qazim Laçi,al ALB,MF,29-294,12,967,81,89.5,2025-07-10 00:00:00,12,81,5,0,,0,2017-01-01 00:00:00,13,12,1,+0.09,+2.48,Matches
Muhammet Taha Şahin,,DF,25-018,12,991,83,91.8,11.0,11,87,10,1,31,0,2017-01-01 00:00:00,12,15,-3,-0.27,-1.28,Matches
Samet Akaydın,tr TUR,DF,31-241,11,990,90,91.7,11.0,11,90,11,0,,0,2027-01-01 00:00:00,13,14,-1,-0.09,+0.91,Matches
Attila Mocsi,hu HUN,DF,25-164,11,791,72,73.2,2025-08-08 00:00:00,8,89,7,3,27,0,1.00,12,12,0,0.00,+0.62,Matches
Ali Sowe,gm GAM,FW,31-148,12,751,63,69.5,2025-03-08 00:00:00,8,83,5,4,23,0,2017-01-01 00:00:00,8,11,-3,-0.36,-0.63,Matches
Yahia Fofana,ci CIV,GK,25-080,7,630,90,58.3,7.0,7,90,7,0,,0,1957-01-01 00:00:00,12,9,3,+0.43,+1.43,Matches
Muhamed Buljubasic,ba BIH,MF,21-128,10,569,57,52.7,2025-03-06 00:00:00,6,82,2,4,20,2,1940-01-01 00:00:00,10,8,2,+0.32,+1.02,Matches
Jesurun Rak Sakyi,eng ENG,"MF,FW",23-035,6,431,72,39.9,2025-08-04 00:00:00,6,72,0,0,,1,1933-01-01 00:00:00,7,6,1,+0.21,+0.62,Matches
Erdem Canpolat,de GER,GK,24-210,5,450,90,41.7,5.0,5,90,5,0,,7,0.60,2,7,-5,-1.00,-1.43,Matches
Mithat Pala,tr TUR,"MF,DF",25-086,9,443,49,41.0,2025-09-04 00:00:00,5,75,3,4,17,3,2025-11-01 00:00:00,4,7,-3,-0.61,-0.75,Matches
Ibrahim Olawoyin,ng NGA,MF,27-343,6,411,69,38.1,2025-06-04 00:00:00,5,80,2,1,9,0,0.83,2,6,-4,-0.88,-1.14,Matches
Emrecan Bulut,,"MF,FW",23-287,9,406,45,37.6,2025-05-04 00:00:00,4,73,1,5,23,3,1944-01-01 00:00:00,9,6,3,+0.67,+1.33,Matches
Václav Jurečka,cz CZE,FW,31-136,9,392,44,36.3,2025-04-04 00:00:00,4,75,1,5,18,1,1933-01-01 00:00:00,8,6,2,+0.46,+0.98,Matches
Loide Augusto,ao ANG,"MF,FW",25-256,5,271,54,2025-01-25 00:00:00,3.0,4,62,0,1,24,0,1.00,3,3,0,0.00,+0.22,Matches
Halil Dervişoğlu,tr TUR,FW,25-336,6,353,59,32.7,2025-09-03 00:00:00,3,72,0,3,46,1,0.83,2,5,-3,-0.76,-0.89,Matches
Altin Zeqiri,xk KVX,"MF,FW",25-114,8,298,37,2025-06-27 00:00:00,2025-03-03 00:00:00,3,70,2,5,18,4,2013-01-01 00:00:00,4,6,-2,-0.60,-0.60,Matches
Xusniddin Aliqulov,uz UZB,DF,26-219,5,262,52,2025-03-24 00:00:00,2025-09-02 00:00:00,3,84,1,2,6,3,1.00,1,4,-3,-1.03,-1.14,Matches
Modibo Sagnan,ml MLI,DF,26-209,3,121,40,2025-02-11 00:00:00,2025-03-01 00:00:00,2,60,1,1,1,9,1933-01-01 00:00:00,2,2,0,0.00,+0.19,Matches
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
