Miscellaneous Stats 2025-2026 Rizespor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Casper Højer Nielsen,dk DEN,DF,30-354,2025-07-11 00:00:00,2,0,0,18,6,0,48,8,15,,,0,Matches
Giannis Papanikolaou,gr GRE,MF,26-356,2025-01-11 00:00:00,3,0,0,16,11,0,0,12,17,,,0,Matches
Qazim Laçi,al ALB,MF,29-294,2025-07-10 00:00:00,2,0,0,18,9,6,31,4,12,,,0,Matches
Muhammet Taha Şahin,,DF,25-018,11.0,3,0,0,8,15,0,46,13,10,,,0,Matches
Samet Akaydın,tr TUR,DF,31-241,11.0,3,0,0,20,7,0,0,27,9,,,0,Matches
Attila Mocsi,hu HUN,DF,25-164,2025-08-08 00:00:00,3,0,0,10,4,0,2,3,12,,,0,Matches
Ali Sowe,gm GAM,FW,31-148,2025-03-08 00:00:00,2,0,0,16,16,3,1,1,0,,,0,Matches
Yahia Fofana,ci CIV,GK,25-080,7.0,1,0,0,0,2,0,0,0,0,,,0,Matches
Muhamed Buljubasic,ba BIH,MF,21-128,2025-03-06 00:00:00,1,0,0,12,12,0,4,3,5,,,0,Matches
Jesurun Rak Sakyi,eng ENG,"MF,FW",23-035,2025-08-04 00:00:00,1,0,0,6,4,2,3,2,3,,,0,Matches
Erdem Canpolat,de GER,GK,24-210,5.0,1,0,0,0,1,0,0,0,0,,,0,Matches
Mithat Pala,tr TUR,"MF,DF",25-086,2025-09-04 00:00:00,0,0,0,4,9,0,7,5,6,,,0,Matches
Ibrahim Olawoyin,ng NGA,MF,27-343,2025-06-04 00:00:00,2,0,0,7,16,0,0,3,7,,,0,Matches
Emrecan Bulut,,"MF,FW",23-287,2025-05-04 00:00:00,1,0,0,9,6,0,9,3,4,,,0,Matches
Václav Jurečka,cz CZE,FW,31-136,2025-04-04 00:00:00,2,0,0,7,4,7,0,0,2,,,0,Matches
Loide Augusto,ao ANG,"MF,FW",25-256,3.0,0,0,0,6,5,0,7,0,2,,,0,Matches
Halil Dervişoğlu,tr TUR,FW,25-336,2025-09-03 00:00:00,0,0,0,2,10,2,0,1,2,,,0,Matches
Altin Zeqiri,xk KVX,"MF,FW",25-114,2025-03-03 00:00:00,2,0,0,4,2,1,8,1,3,,,0,Matches
Xusniddin Aliqulov,uz UZB,DF,26-219,2025-09-02 00:00:00,3,0,0,6,1,0,2,8,2,,,0,Matches
Modibo Sagnan,ml MLI,DF,26-209,2025-03-01 00:00:00,1,0,0,3,0,1,0,0,1,,,0,Matches
Valentin Mihaila,ro ROU,MF,25-280,2025-07-01 00:00:00,0,0,0,1,1,0,1,0,1,,,0,Matches
Taylan Antalyalı,tr TUR,MF,30-305,2025-01-01 00:00:00,1,0,0,1,4,0,0,0,1,,,0,Matches
Dal Varesanovic,ba BIH,MF,24-170,0.6,0,0,0,0,0,1,2,0,0,,,0,Matches
Squad Total,,,2025-03-27 00:00:00,12.0,34,0,0,174,145,23,171,94,114,,,0,
Opponent Total,,,2025-02-28 00:00:00,12.0,20,1,1,154,162,14,222,113,143,,,1,
,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,
