Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Playing Time,Unnamed: 6,Unnamed: 7,Performance,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Per 90 Minutes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Tim Jabol-Folcarelli,fr FRA,MF,25-338,12,12,1.035,2025-05-11 00:00:00,0,3,3,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matches
Paul Onuachu,ng NGA,FW,31-165,12,12,1.028,2025-04-11 00:00:00,8,1,9,6,2,2,3,0,0.70,0.09,0.79,0.53,0.61,Matches
Stefan Savić,me MNE,DF,34-305,11,11,950,2025-06-10 00:00:00,1,1,2,1,0,0,3,0,0.09,0.09,0.19,0.09,0.19,Matches
Arsenii Batahov,ua UKR,DF,23-249,11,11,945,2025-05-10 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mustafa Eskihellaç,tr TUR,DF,28-188,11,11,938,2025-04-10 00:00:00,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches
Wagner Pina,cv CPV,DF,23-006,11,11,924,2025-03-10 00:00:00,0,2,2,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
Oleksandr Zubkov,ua UKR,MF,29-098,12,10,825,2025-02-09 00:00:00,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches
Felipe Augusto,br BRA,"MF,FW",21-264,12,9,747,2025-03-08 00:00:00,5,0,5,5,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches
Kazeem Olaigbe,be BEL,MF,22-311,11,9,669,2025-04-07 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
André Onana,cm CMR,GK,29-221,8,8,720,8.0,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches
Okay Yokuşlu,tr TUR,"MF,DF",31-245,9,8,617,2025-09-06 00:00:00,1,0,1,1,0,0,1,1,0.15,0.00,0.15,0.15,0.15,Matches
Christ Inao Oulaï,ci CIV,MF,19-217,6,6,490,2025-04-05 00:00:00,1,2,3,1,0,0,2,0,0.18,0.37,0.55,0.18,0.55,Matches
Uğurcan Çakır,tr TUR,GK,29-218,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ernest Muçi,al ALB,"MF,FW",24-235,8,4,334,2025-07-03 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ozan Tufan,tr TUR,"MF,DF",30-231,6,2,210,2025-03-02 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Arif Boşluk,,DF,22-156,9,1,275,2025-01-03 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rayyan Baniya,,DF,26-264,5,1,212,2025-04-02 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Edin Višća,ba BIH,MF,35-265,8,1,179,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Anthony Nwakaeme,ng NGA,MF,36-233,1,1,83,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Danylo Sikan,ua UKR,FW,24-207,9,0,119,2025-03-01 00:00:00,1,0,1,1,0,0,1,0,0.76,0.00,0.76,0.76,0.76,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Benjamin Bouchouari,ma MAR,MF,23-361,3,0,55,0.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Batista Mendy,fr FRA,"DF,MF",25-301,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Salih Malkoçoglu,,MF,20-259,3,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Cihan Çanak,tr TUR,MF,20-289,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Muhammed Cham,at AUT,MF,25-044,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Boran Başkan,tr TUR,MF,19-225,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Onuralp Çevikkan,tr TUR,GK,19-311,0,0,,,,,,,,,,,,,,,,Matches
Ahmet Doğan Yıldırım,,GK,19-008,0,0,,,,,,,,,,,,,,,,Matches
Taha Emre İnce,,DF,18-106,0,0,,,,,,,,,,,,,,,,Matches
Serdar Saatçı,tr TUR,DF,22-268,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,2025-03-27 00:00:00,12,132,1.08,12.0,18,12,30,16,2,2,18,2,1950-01-01 00:00:00,1.00,1950-02-01 00:00:00,1933-01-01 00:00:00,1933-02-01 00:00:00,
Opponent Total,,,2025-07-28 00:00:00,12,132,1.08,12.0,8,5,13,8,0,0,28,0,0.67,0.42,2025-08-01 00:00:00,0.67,2025-08-01 00:00:00,
