Standard Stats 2025-2026 Gençlerbirliği: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Dimitris Goutas,gr GRE,DF,31-219,12,12,1.08,12.0,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
Pedro Pereira,pt POR,DF,27-291,12,12,1.08,12.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Göktan Gürpüz,de GER,"MF,FW",22-291,12,11,871,2025-07-09 00:00:00,0,2,2,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
Thalisson Kelven,br BRA,DF,27-186,11,10,937,2025-04-10 00:00:00,1,0,1,1,0,0,4,1,0.10,0.00,0.10,0.10,0.10,Matches
Žan Žužek,si SVN,"DF,MF",28-287,12,10,866,2025-06-09 00:00:00,2,0,2,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
Matěj Hanousek,cz CZE,DF,32-160,11,9,797,2025-09-08 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
M'Baye Niang,sn SEN,FW,30-325,9,8,724,8.0,2,2,4,0,2,2,3,0,0.25,0.25,0.50,0.00,0.25,Matches
Oğulcan Ülgün,tr TUR,MF,27-182,9,8,696,2025-07-07 00:00:00,2,0,2,2,0,0,3,0,0.26,0.00,0.26,0.26,0.26,Matches
Erhan Erentürk,tr TUR,GK,30-163,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Franco Tongya,it ITA,"MF,FW",23-241,7,7,568,2025-03-06 00:00:00,2,0,2,2,0,0,1,1,0.32,0.00,0.32,0.32,0.32,Matches
Tom Dele-Bashiru,ng NGA,MF,26-053,7,6,561,2025-02-06 00:00:00,0,1,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches
Sekou Koita,ml MLI,"MF,FW",25-346,8,5,456,2025-01-05 00:00:00,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Metehan Mimaroğlu,,"MF,FW",31-125,10,4,440,2025-09-04 00:00:00,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
Abdurrahim Dursun,tr TUR,"MF,DF",26-343,8,4,365,2025-01-04 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gökhan Akkan,tr TUR,GK,30-312,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Michał Nalepa,pl POL,"MF,FW",30-230,3,3,260,2025-09-02 00:00:00,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Adama Traoré,ml MLI,MF,30-157,2,2,157,2025-07-01 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Moussa Kyabou,ml MLI,MF,27-205,2,2,146,2025-06-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dal Varesanovic,ba BIH,MF,24-170,2,2,104,2025-02-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Samed Onur,tr TUR,MF,23-117,9,1,216,2025-04-02 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Henry Onyekuru,ng NGA,MF,28-157,7,1,105,2025-02-01 00:00:00,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ricardo Velho,pt POR,GK,27-081,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
