Shooting 2025-2026 Gençlerbirliği: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Dimitris Goutas,gr GRE,DF,31-219,12.0,1,6,1,2025-07-16 00:00:00,0.50,0.08,0.17,1.00,,0,0,Matches
Pedro Pereira,pt POR,DF,27-291,12.0,0,5,2,40.0,0.42,0.17,0.00,0.00,,0,0,Matches
Göktan Gürpüz,de GER,"MF,FW",22-291,2025-07-09 00:00:00,0,8,1,2025-05-12 00:00:00,0.83,0.10,0.00,0.00,,0,0,Matches
Thalisson Kelven,br BRA,DF,27-186,2025-04-10 00:00:00,1,6,3,50.0,0.58,0.29,0.17,0.33,,0,0,Matches
Žan Žužek,si SVN,"DF,MF",28-287,2025-06-09 00:00:00,2,12,5,41.7,2025-01-01 00:00:00,0.52,0.17,0.40,,0,0,Matches
Matěj Hanousek,cz CZE,DF,32-160,2025-09-08 00:00:00,0,1,0,0.0,0.11,0.00,0.00,,,0,0,Matches
M'Baye Niang,sn SEN,FW,30-325,8.0,2,20,6,30.0,1949-02-01 00:00:00,0.75,0.00,0.00,,2,2,Matches
Oğulcan Ülgün,tr TUR,MF,27-182,2025-07-07 00:00:00,2,9,3,33.3,2016-01-01 00:00:00,0.39,0.22,0.67,,0,0,Matches
Erhan Erentürk,tr TUR,GK,30-163,7.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Franco Tongya,it ITA,"MF,FW",23-241,2025-03-06 00:00:00,2,9,5,55.6,1943-01-01 00:00:00,0.79,0.22,0.40,,0,0,Matches
Tom Dele-Bashiru,ng NGA,MF,26-053,2025-02-06 00:00:00,0,5,2,40.0,0.80,0.32,0.00,0.00,,0,0,Matches
Sekou Koita,ml MLI,"MF,FW",25-346,2025-01-05 00:00:00,0,12,3,25.0,1937-02-01 00:00:00,0.59,0.00,0.00,,0,0,Matches
Metehan Mimaroğlu,,"MF,FW",31-125,2025-09-04 00:00:00,1,12,2,2025-07-16 00:00:00,1945-02-01 00:00:00,0.41,0.08,0.50,,0,0,Matches
Abdurrahim Dursun,tr TUR,"MF,DF",26-343,2025-01-04 00:00:00,0,5,1,20.0,2023-01-01 00:00:00,0.25,0.00,0.00,,0,0,Matches
Gökhan Akkan,tr TUR,GK,30-312,4.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Michał Nalepa,pl POL,"MF,FW",30-230,2025-09-02 00:00:00,0,2,1,50.0,0.69,0.35,0.00,0.00,,0,0,Matches
Adama Traoré,ml MLI,MF,30-157,2025-07-01 00:00:00,0,3,0,0.0,1972-01-01 00:00:00,0.00,0.00,,,0,0,Matches
Moussa Kyabou,ml MLI,MF,27-205,2025-06-01 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches
Dal Varesanovic,ba BIH,MF,24-170,2025-02-01 00:00:00,0,2,0,0.0,1973-01-01 00:00:00,0.00,0.00,,,0,0,Matches
Samed Onur,tr TUR,MF,23-117,2025-04-02 00:00:00,0,4,1,25.0,1967-01-01 00:00:00,0.42,0.00,0.00,,0,0,Matches
Henry Onyekuru,ng NGA,MF,28-157,2025-02-01 00:00:00,0,1,1,100.0,0.86,0.86,0.00,0.00,,0,1,Matches
Ricardo Velho,pt POR,GK,27-081,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Daniel Popa,ro ROU,FW,31-118,0.7,0,0,0,,0.00,0.00,,,,0,0,Matches
Fıratcan Üzüm,,MF,26-158,0.5,0,1,0,0.0,2.00,0.00,0.00,,,0,0,Matches
Oghenekaro Etebo,ng NGA,MF,30-000,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
Sinan Osmanoğlu,tr TUR,DF,35-304,0.8,0,1,1,100.0,2029-01-01 00:00:00,2029-01-01 00:00:00,0.00,0.00,,0,0,Matches
Kevin Csoboth,hu HUN,FW,25-142,0.5,0,1,1,100.0,1991-01-01 00:00:00,1991-01-01 00:00:00,0.00,0.00,,0,0,Matches
Dilhan Demir,de GER,MF,22-134,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Furkan Ayaz,,,16-039,0.2,0,1,0,0.0,6.00,0.00,0.00,,,0,0,Matches
Squad Total,,,2025-03-28 00:00:00,12.0,11,126,39,31.0,1950-10-01 00:00:00,2025-03-01 00:00:00,0.07,0.23,,2,3,
Opponent Total,,,2025-04-28 00:00:00,12.0,16,186,49,2025-03-26 00:00:00,15.50,2025-08-04 00:00:00,0.08,0.29,,2,2,
,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,
