Playing Time 2025-2026 Gençlerbirliği: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Dimitris Goutas,gr GRE,DF,31-219,12,1.08,90,100.0,12.0,12,90,12,0,,0,0.92,12,17,-5,-0.42,,Matches
Pedro Pereira,pt POR,DF,27-291,12,1.08,90,100.0,12.0,12,90,12,0,,0,0.92,12,17,-5,-0.42,,Matches
Göktan Gürpüz,de GER,"MF,FW",22-291,12,871,73,80.6,2025-07-09 00:00:00,11,77,1,1,23,0,0.92,12,12,0,0.00,+2.15,Matches
Thalisson Kelven,br BRA,DF,27-186,11,937,85,86.8,2025-04-10 00:00:00,10,89,8,1,45,0,1.00,12,15,-3,-0.29,+0.97,Matches
Žan Žužek,si SVN,"DF,MF",28-287,12,866,72,80.2,2025-06-09 00:00:00,10,83,6,2,20,0,0.92,8,17,-9,-0.94,-2.62,Matches
Matěj Hanousek,cz CZE,DF,32-160,11,797,72,73.8,2025-09-08 00:00:00,9,83,6,2,27,1,0.73,10,13,-3,-0.34,+0.30,Matches
M'Baye Niang,sn SEN,FW,30-325,9,724,80,67.0,8.0,8,88,5,1,21,0,2022-01-01 00:00:00,9,7,2,+0.25,+2.02,Matches
Oğulcan Ülgün,tr TUR,MF,27-182,9,696,77,64.4,2025-07-07 00:00:00,8,81,4,1,45,1,2022-01-01 00:00:00,10,7,3,+0.39,+2.26,Matches
Erhan Erentürk,tr TUR,GK,30-163,7,630,90,58.3,7.0,7,90,7,0,,5,2014-01-01 00:00:00,7,8,-1,-0.14,+0.66,Matches
Franco Tongya,it ITA,"MF,FW",23-241,7,568,81,52.6,2025-03-06 00:00:00,7,81,0,0,,0,1943-01-01 00:00:00,7,5,2,+0.32,+1.55,Matches
Tom Dele-Bashiru,ng NGA,MF,26-053,7,561,80,51.9,2025-02-06 00:00:00,6,88,5,1,31,0,1957-01-01 00:00:00,8,8,0,0.00,+0.87,Matches
Sekou Koita,ml MLI,"MF,FW",25-346,8,456,57,42.2,2025-01-05 00:00:00,5,81,2,3,17,0,0.88,4,7,-3,-0.59,-0.30,Matches
Metehan Mimaroğlu,,"MF,FW",31-125,10,440,44,40.7,2025-09-04 00:00:00,4,73,2,6,25,1,1.00,6,8,-2,-0.41,+0.01,Matches
Abdurrahim Dursun,tr TUR,"MF,DF",26-343,8,365,46,33.8,2025-01-04 00:00:00,4,70,0,4,22,4,0.13,2,6,-4,-0.99,-0.86,Matches
Gökhan Akkan,tr TUR,GK,30-312,4,360,90,33.3,4.0,4,90,4,0,,5,0.00,3,8,-5,-1.25,-1.25,Matches
Michał Nalepa,pl POL,"MF,FW",30-230,3,260,87,2025-01-24 00:00:00,2025-09-02 00:00:00,3,87,1,0,,0,0.00,1,4,-3,-1.04,-0.82,Matches
Adama Traoré,ml MLI,MF,30-157,2,157,79,2025-05-14 00:00:00,2025-07-01 00:00:00,2,79,1,0,,0,0.00,2,4,-2,-1.15,-0.85,Matches
Moussa Kyabou,ml MLI,MF,27-205,2,146,73,2025-05-13 00:00:00,2025-06-01 00:00:00,2,73,1,0,,0,0.00,1,5,-4,-2.47,-2.37,Matches
Dal Varesanovic,ba BIH,MF,24-170,2,104,52,2025-06-09 00:00:00,2025-02-01 00:00:00,2,52,0,0,,0,2.00,2,0,2,+1.73,+2.38,Matches
Samed Onur,tr TUR,MF,23-117,9,216,24,20.0,2025-04-02 00:00:00,1,71,0,8,18,3,0.78,1,3,-2,-0.83,-0.52,Matches
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
