Miscellaneous Stats 2025-2026 Gençlerbirliği: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Dimitris Goutas,gr GRE,DF,31-219,12.0,2,0,0,3,6,0,0,16,8,,,0,Matches
Pedro Pereira,pt POR,DF,27-291,12.0,4,0,0,21,9,1,22,9,16,,,1,Matches
Göktan Gürpüz,de GER,"MF,FW",22-291,2025-07-09 00:00:00,1,0,0,10,8,0,38,5,8,,,0,Matches
Thalisson Kelven,br BRA,DF,27-186,2025-04-10 00:00:00,4,1,1,16,8,0,1,14,7,,,0,Matches
Žan Žužek,si SVN,"DF,MF",28-287,2025-06-09 00:00:00,1,0,0,11,7,0,2,19,13,,,0,Matches
Matěj Hanousek,cz CZE,DF,32-160,2025-09-08 00:00:00,1,0,0,5,0,0,12,6,5,,,0,Matches
M'Baye Niang,sn SEN,FW,30-325,8.0,3,0,0,24,32,7,2,3,2,,,0,Matches
Oğulcan Ülgün,tr TUR,MF,27-182,2025-07-07 00:00:00,3,0,0,10,30,1,5,4,7,,,0,Matches
Erhan Erentürk,tr TUR,GK,30-163,7.0,1,0,0,0,1,0,0,0,0,,,0,Matches
Franco Tongya,it ITA,"MF,FW",23-241,2025-03-06 00:00:00,1,1,0,12,14,2,2,3,6,,,0,Matches
Tom Dele-Bashiru,ng NGA,MF,26-053,2025-02-06 00:00:00,0,0,0,2,8,0,0,7,4,,,0,Matches
Sekou Koita,ml MLI,"MF,FW",25-346,2025-01-05 00:00:00,0,1,0,5,11,1,5,2,5,,,0,Matches
Metehan Mimaroğlu,,"MF,FW",31-125,2025-09-04 00:00:00,0,0,0,5,9,4,36,1,4,,,0,Matches
Abdurrahim Dursun,tr TUR,"MF,DF",26-343,2025-01-04 00:00:00,0,0,0,6,2,1,16,5,8,,,0,Matches
Gökhan Akkan,tr TUR,GK,30-312,4.0,1,0,0,0,3,0,0,0,0,,,0,Matches
Michał Nalepa,pl POL,"MF,FW",30-230,2025-09-02 00:00:00,2,1,1,7,3,0,8,1,4,,,0,Matches
Adama Traoré,ml MLI,MF,30-157,2025-07-01 00:00:00,1,0,0,2,4,0,0,1,0,,,0,Matches
Moussa Kyabou,ml MLI,MF,27-205,2025-06-01 00:00:00,0,0,0,4,1,0,1,3,3,,,0,Matches
Dal Varesanovic,ba BIH,MF,24-170,2025-02-01 00:00:00,0,0,0,5,3,0,0,1,0,,,0,Matches
Samed Onur,tr TUR,MF,23-117,2025-04-02 00:00:00,3,0,0,6,7,0,8,2,3,,,0,Matches
Henry Onyekuru,ng NGA,MF,28-157,2025-02-01 00:00:00,0,0,0,0,0,2,1,1,0,,,0,Matches
Ricardo Velho,pt POR,GK,27-081,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Daniel Popa,ro ROU,FW,31-118,0.7,0,0,0,2,0,1,0,0,1,,,0,Matches
Fıratcan Üzüm,,MF,26-158,0.5,0,0,0,0,0,0,2,0,0,,,0,Matches
Oghenekaro Etebo,ng NGA,MF,30-000,0.5,0,0,0,0,2,0,0,1,1,,,0,Matches
Sinan Osmanoğlu,tr TUR,DF,35-304,0.8,0,0,0,0,1,0,0,2,3,,,0,Matches
Kevin Csoboth,hu HUN,FW,25-142,0.5,0,0,0,2,1,0,3,0,0,,,0,Matches
Dilhan Demir,de GER,MF,22-134,0.3,0,0,0,2,0,1,0,0,0,,,0,Matches
Furkan Ayaz,,,16-039,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
Squad Total,,,2025-03-28 00:00:00,12.0,28,4,2,160,171,21,164,106,108,,,1,
Opponent Total,,,2025-04-28 00:00:00,12.0,27,0,0,177,152,34,267,75,114,,,1,
,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,
