Standard Stats 2025-2026 Kasımpaşa: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Andreas Gianniotis,gr GRE,GK,32-332,12,12,1.08,12.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicholas Opoku,gh GHA,DF,28-001,12,12,1.08,12.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Andri Fannar Baldursson,is ISL,MF,23-303,12,12,1.063,2025-08-11 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Attila Szalai,hu HUN,DF,27-293,11,11,977,2025-09-10 00:00:00,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches
Cláudio Winck,br BRA,DF,31-208,11,11,934,2025-04-10 00:00:00,3,0,3,3,0,0,3,0,0.29,0.00,0.29,0.29,0.29,Matches
Godfried Frimpong,nl NED,"DF,MF",26-202,10,10,838,2025-03-09 00:00:00,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
Pape Habib Guèye,sn SEN,FW,26-050,10,9,815,2025-01-09 00:00:00,3,0,3,3,0,0,4,1,0.33,0.00,0.33,0.33,0.33,Matches
Mortadha Ben Ouanes,tn TUN,"MF,DF",31-130,10,9,802,2025-09-08 00:00:00,1,4,5,1,0,0,3,0,0.11,0.45,0.56,0.11,0.56,Matches
Mamadou Fall,sn SEN,"MF,FW",33-313,12,9,748,2025-03-08 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Haris Hajradinović,ba BIH,MF,31-264,7,7,552,2025-01-06 00:00:00,2,0,2,1,1,1,2,0,0.33,0.00,0.33,0.16,0.16,Matches
Cafú,pt POR,MF,32-256,10,6,537,6.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Cem Üstündag,at AUT,MF,24-293,10,6,530,2025-09-05 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Yavuz Kol,tr TUR,MF,24-284,12,4,483,2025-04-05 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Kubilay Kanatsızkuş,tr TUR,FW,28-226,9,4,384,2025-03-04 00:00:00,1,1,2,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
Fousseni Diabaté,ml MLI,"MF,FW",30-022,5,3,305,2025-04-03 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jhon Espinoza,ec ECU,DF,26-258,6,3,304,2025-04-03 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Adam Arous,tn TUN,DF,21-115,3,2,168,2025-09-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yusuf Barasi,tr TUR,MF,22-223,5,1,118,2025-03-01 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Atakan Müjde,,MF,22-288,5,1,86,1.0,0,1,1,0,0,0,3,0,0.00,2025-05-01 00:00:00,2025-05-01 00:00:00,0.00,2025-05-01 00:00:00,Matches
Emre Taşdemir,tr TUR,DF,30-093,3,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Berk Yıldızlı,,FW,20-143,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Adnan Aktas,,DF,18-364,0,0,,,,,,,,,,,,,,,,Matches
