Playing Time 2025-2026 Kasımpaşa: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Andreas Gianniotis,gr GRE,GK,32-332,12,1.08,90,100.0,12.0,12,90,12,0,,0,0.83,11,17,-6,-0.50,,Matches
Nicholas Opoku,gh GHA,DF,28-001,12,1.08,90,100.0,12.0,12,90,12,0,,0,0.83,11,17,-6,-0.50,,Matches
Andri Fannar Baldursson,is ISL,MF,23-303,12,1.063,89,98.4,2025-08-11 00:00:00,12,89,8,0,,0,0.83,11,17,-6,-0.51,-0.51,Matches
Attila Szalai,hu HUN,DF,27-293,11,977,89,90.5,2025-09-10 00:00:00,11,89,10,0,,0,0.82,10,16,-6,-0.55,-0.55,Matches
Cláudio Winck,br BRA,DF,31-208,11,934,85,86.5,2025-04-10 00:00:00,11,85,8,0,,0,0.91,9,13,-4,-0.39,+0.85,Matches
Godfried Frimpong,nl NED,"DF,MF",26-202,10,838,84,77.6,2025-03-09 00:00:00,10,84,7,0,,2,1.00,8,12,-4,-0.43,+0.31,Matches
Pape Habib Guèye,sn SEN,FW,26-050,10,815,82,75.5,2025-01-09 00:00:00,9,88,7,1,25,0,0.90,10,14,-4,-0.44,+0.24,Matches
Mortadha Ben Ouanes,tn TUN,"MF,DF",31-130,10,802,80,74.3,2025-09-08 00:00:00,9,89,7,1,4,0,0.90,8,11,-3,-0.34,+0.63,Matches
Mamadou Fall,sn SEN,"MF,FW",33-313,12,748,62,69.3,2025-03-08 00:00:00,9,79,3,3,13,0,0.83,7,11,-4,-0.48,+0.06,Matches
Haris Hajradinović,ba BIH,MF,31-264,7,552,79,51.1,2025-01-06 00:00:00,7,79,5,0,,0,2014-01-01 00:00:00,5,7,-2,-0.33,+0.36,Matches
Cafú,pt POR,MF,32-256,10,537,54,49.7,6.0,6,73,1,4,25,0,0.60,6,11,-5,-0.84,-0.67,Matches
Cem Üstündag,at AUT,MF,24-293,10,530,53,49.1,2025-09-05 00:00:00,6,77,0,4,17,2,1.00,4,7,-3,-0.51,-0.02,Matches
Ali Yavuz Kol,tr TUR,MF,24-284,12,483,40,44.7,2025-04-05 00:00:00,4,78,1,8,21,0,0.83,4,5,-1,-0.19,+0.57,Matches
Kubilay Kanatsızkuş,tr TUR,FW,28-226,9,384,43,35.6,2025-03-04 00:00:00,4,82,2,5,11,2,0.67,4,7,-3,-0.70,-0.32,Matches
Fousseni Diabaté,ml MLI,"MF,FW",30-022,5,305,61,2025-02-28 00:00:00,2025-04-03 00:00:00,3,84,1,2,27,1,2020-01-01 00:00:00,4,4,0,0.00,+0.70,Matches
Jhon Espinoza,ec ECU,DF,26-258,6,304,51,2025-01-28 00:00:00,2025-04-03 00:00:00,3,81,2,3,20,5,0.83,5,7,-2,-0.59,-0.13,Matches
Adam Arous,tn TUN,DF,21-115,3,168,56,2025-06-15 00:00:00,2025-09-01 00:00:00,2,84,1,1,1,5,0.67,1,3,-2,-1.07,-0.68,Matches
Yusuf Barasi,tr TUR,MF,22-223,5,118,24,2025-09-10 00:00:00,2025-03-01 00:00:00,1,61,0,4,14,3,0.00,1,4,-3,-2.29,-2.01,Matches
Atakan Müjde,,MF,22-288,5,86,17,8.0,1.0,1,45,0,4,10,7,1940-01-01 00:00:00,1,3,-2,-2.09,-1.73,Matches
Emre Taşdemir,tr TUR,DF,30-093,3,12,4,2025-01-01 00:00:00,0.1,0,,0,3,4,3,0.33,0,1,-1,-7.50,-7.08,Matches
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Berk Yıldızlı,,FW,20-143,1,3,3,0.3,0.0,0,,0,1,3,0,0.00,0,0,0,0.00,+0.50,Matches
