Miscellaneous Stats 2025-2026 Kasımpaşa: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,
,,,,,Performance,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Andreas Gianniotis,gr GRE,GK,32-332,12.0,2,0,0,0,0,0,0,1,0,,,0,Matches
Nicholas Opoku,gh GHA,DF,28-001,12.0,2,0,0,12,8,0,2,6,11,,,0,Matches
Andri Fannar Baldursson,is ISL,MF,23-303,2025-08-11 00:00:00,1,0,0,16,17,0,3,13,22,,,0,Matches
Attila Szalai,hu HUN,DF,27-293,2025-09-10 00:00:00,0,0,0,13,4,0,3,14,9,,,0,Matches
Cláudio Winck,br BRA,DF,31-208,2025-04-10 00:00:00,3,0,0,16,10,2,30,6,6,,,0,Matches
Godfried Frimpong,nl NED,"DF,MF",26-202,2025-03-09 00:00:00,0,0,0,11,1,0,26,12,6,,,0,Matches
Pape Habib Guèye,sn SEN,FW,26-050,2025-01-09 00:00:00,4,1,1,37,10,2,7,2,7,,,0,Matches
Mortadha Ben Ouanes,tn TUN,"MF,DF",31-130,2025-09-08 00:00:00,3,0,0,9,23,1,31,8,4,,,0,Matches
Mamadou Fall,sn SEN,"MF,FW",33-313,2025-03-08 00:00:00,0,0,0,10,10,8,16,4,4,,,0,Matches
Haris Hajradinović,ba BIH,MF,31-264,2025-01-06 00:00:00,2,0,0,11,13,1,45,3,10,,,0,Matches
Cafú,pt POR,MF,32-256,6.0,2,1,0,6,12,0,25,3,2,,,0,Matches
Cem Üstündag,at AUT,MF,24-293,2025-09-05 00:00:00,1,0,0,11,12,0,7,6,11,,,0,Matches
Ali Yavuz Kol,tr TUR,MF,24-284,2025-04-05 00:00:00,2,0,0,13,1,1,28,5,14,,,0,Matches
Kubilay Kanatsızkuş,tr TUR,FW,28-226,2025-03-04 00:00:00,0,0,0,3,7,1,4,1,1,,,0,Matches
Fousseni Diabaté,ml MLI,"MF,FW",30-022,2025-04-03 00:00:00,0,0,0,0,4,0,25,1,0,,,0,Matches
Jhon Espinoza,ec ECU,DF,26-258,2025-04-03 00:00:00,1,0,0,4,5,0,11,6,6,,,0,Matches
Adam Arous,tn TUN,DF,21-115,2025-09-01 00:00:00,0,0,0,0,2,0,2,2,7,,,0,Matches
Yusuf Barasi,tr TUR,MF,22-223,2025-03-01 00:00:00,1,0,0,3,1,0,5,4,0,,,0,Matches
Atakan Müjde,,MF,22-288,1.0,3,0,0,4,3,0,5,3,2,,,0,Matches
Emre Taşdemir,tr TUR,DF,30-093,0.1,0,0,0,0,0,0,3,0,0,,,0,Matches
Berk Yıldızlı,,FW,20-143,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,2025-07-28 00:00:00,12.0,27,2,1,179,143,16,278,100,122,,,0,
Opponent Total,,,2025-01-28 00:00:00,12.0,27,0,0,152,171,31,205,81,97,,,1,
,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,
