Standard Stats 2025-2026 Kayserispor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Lionel Carole,fr FRA,DF,34-211,10,10,900,10.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",31-143,10,10,899,10.0,2,1,3,2,0,0,4,0,0.20,0.10,0.30,0.20,0.30,Matches
Stefano Denswil,sr SUR,DF,32-186,10,10,876,2025-07-09 00:00:00,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
Ramazan Civelek,tr TUR,"DF,MF",29-291,11,10,827,2025-02-09 00:00:00,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
Bilal Bayazit,nl NED,GK,26-215,9,9,810,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
László Bénes,sk SVK,MF,28-061,9,8,726,2025-01-08 00:00:00,2,1,3,2,0,0,0,1,0.25,0.12,0.37,0.25,0.37,Matches
Aaron Opoku,de GER,"MF,FW",26-226,11,7,593,2025-06-06 00:00:00,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
Dorukhan Toköz,tr TUR,MF,29-172,11,7,591,2025-06-06 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
João Mendes,pt POR,MF,31-019,8,6,565,2025-03-06 00:00:00,0,3,3,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,Matches
German Onugkha,ru RUS,FW,29-126,7,6,558,2025-02-06 00:00:00,3,0,3,3,0,0,2,0,0.48,0.00,0.48,0.48,0.48,Matches
Furkan Soyalp,tr TUR,MF,30-150,7,5,453,5.0,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches
Abdulsamet Burak,,DF,29-180,8,5,375,2025-02-04 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Mané,gw GNB,MF,31-243,8,5,344,2025-08-03 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gideon Jung,de GER,"MF,DF",31-058,4,4,303,2025-04-03 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Indrit Tuci,al ALB,FW,25-056,8,3,363,4.0,2,0,2,2,0,0,1,0,0.50,0.00,0.50,0.50,0.50,Matches
Gökhan Sazdağı,tr TUR,DF,31-050,3,3,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Arif Kocaman,,DF,22-056,3,3,197,2025-02-02 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yaw Ackah,gh GHA,MF,26-161,3,2,184,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Majid Hosseini,ir IRN,DF,29-142,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Onurcan Piri,tr TUR,GK,31-042,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Youssef Aït Bennasser,ma MAR,MF,29-125,3,2,97,2025-01-01 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Nurettin Korkmaz,tr TUR,DF,23-135,5,1,140,2025-06-01 00:00:00,0,1,1,0,0,0,1,0,0.00,0.64,0.64,0.00,0.64,Matches
