Goalkeeping 2025-2026 Kayserispor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Bilal Bayazit,nl NED,GK,26-215,9,9,810,9.0,21,1933-02-01 00:00:00,51,32,62.7,0,5,4,0,0.0,2,2,0,0,0.0,Matches
Onurcan Piri,tr TUR,GK,31-042,2,2,180,2.0,3,1950-01-01 00:00:00,11,8,72.7,1,1,0,0,0.0,0,0,0,0,,Matches
Squad Total,,,2025-05-29 00:00:00,11,11,990,11.0,24,2018-02-01 00:00:00,62,40,64.5,1,6,4,0,0.0,2,2,0,0,0.0,
Opponent Total,,,2025-01-28 00:00:00,11,11,990,11.0,11,1.00,46,35,76.1,4,6,1,3,2025-03-27 00:00:00,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shooting 2025-2026 Kayserispor: Süper Lig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches,,,,,,,
Lionel Carole,fr FRA,DF,34-211,10.0,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,,,
Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",31-143,10.0,2,25,8,32.0,1950-02-01 00:00:00,0.80,0.08,0.25,,0,0,Matches,,,,,,,
Stefano Denswil,sr SUR,DF,32-186,2025-07-09 00:00:00,1,9,2,2025-02-22 00:00:00,0.92,0.21,0.11,0.50,,0,0,Matches,,,,,,,
Ramazan Civelek,tr TUR,"DF,MF",29-291,2025-02-09 00:00:00,0,3,0,0.0,0.33,0.00,0.00,,,0,0,Matches,,,,,,,
Bilal Bayazit,nl NED,GK,26-215,9.0,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,,,
László Bénes,sk SVK,MF,28-061,2025-01-08 00:00:00,2,22,14,63.6,1973-02-01 00:00:00,1974-01-01 00:00:00,0.09,0.14,,0,0,Matches,,,,,,,
Aaron Opoku,de GER,"MF,FW",26-226,2025-06-06 00:00:00,0,12,3,25.0,1982-01-01 00:00:00,0.46,0.00,0.00,,0,0,Matches,,,,,,,
Dorukhan Toköz,tr TUR,MF,29-172,2025-06-06 00:00:00,0,4,0,0.0,0.61,0.00,0.00,,,0,0,Matches,,,,,,,
João Mendes,pt POR,MF,31-019,2025-03-06 00:00:00,0,9,2,2025-02-22 00:00:00,1943-01-01 00:00:00,0.32,0.00,0.00,,0,0,Matches,,,,,,,
German Onugkha,ru RUS,FW,29-126,2025-02-06 00:00:00,3,16,6,37.5,1958-02-01 00:00:00,0.97,0.19,0.50,,0,0,Matches,,,,,,,
Furkan Soyalp,tr TUR,MF,30-150,5.0,1,5,3,60.0,0.99,0.60,0.20,0.33,,0,0,Matches,,,,,,,
Abdulsamet Burak,,DF,29-180,2025-02-04 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,,,
Carlos Mané,gw GNB,MF,31-243,2025-08-03 00:00:00,0,1,1,100.0,0.26,0.26,0.00,0.00,,0,0,Matches,,,,,,,
Gideon Jung,de GER,"MF,DF",31-058,2025-04-03 00:00:00,0,1,0,0.0,0.30,0.00,0.00,,,0,0,Matches,,,,,,,
Indrit Tuci,al ALB,FW,25-056,4.0,2,17,5,2025-04-29 00:00:00,2021-04-01 00:00:00,2024-01-01 00:00:00,0.12,0.40,,0,0,Matches,,,,,,,
