Shooting 2025-2026 Kocaelispor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Standard,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches,,,,,
Aleksandar Jovanović,rs SRB,GK,32-338,11.0,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,
Anfernee Dijksteel,sr SUR,DF,29-013,2025-05-09 00:00:00,0,1,0,0.0,0.11,0.00,0.00,,,0,0,Matches,,,,,
Tayfur Bingöl,tr TUR,"MF,DF",32-302,2025-03-08 00:00:00,4,14,8,57.1,1969-01-01 00:00:00,0.97,0.29,0.50,,0,0,Matches,,,,,
Show,ao ANG,MF,26-248,8.0,0,6,1,2025-07-16 00:00:00,0.75,0.12,0.00,0.00,,0,0,Matches,,,,,
Bruno Petković,hr CRO,FW,31-054,8.0,4,16,8,50.0,2.00,1.00,0.13,0.25,,2,2,Matches,,,,,
Botond Balogh,hu HUN,DF,23-156,2025-09-06 00:00:00,0,1,0,0.0,0.14,0.00,0.00,,,0,0,Matches,,,,,
Joseph Nonge,be BEL,MF,20-178,2025-03-06 00:00:00,0,5,1,20.0,0.80,0.16,0.00,0.00,,0,0,Matches,,,,,
Hrvoje Smolčić,hr CRO,DF,25-084,2025-07-05 00:00:00,0,4,0,0.0,0.71,0.00,0.00,,,0,0,Matches,,,,,
Habib Keita,ml MLI,MF,23-277,2025-03-05 00:00:00,1,5,2,40.0,0.94,0.38,0.20,0.50,,0,0,Matches,,,,,
Ahmet Oğuz,tr TUR,DF,32-297,2025-08-04 00:00:00,0,4,2,50.0,0.83,0.41,0.00,0.00,,0,0,Matches,,,,,
Massadio Haïdara,ml MLI,DF,32-342,2025-03-04 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,
Karol Linetty,pl POL,MF,30-280,2025-06-04 00:00:00,0,7,5,71.4,1953-01-01 00:00:00,2025-09-01 00:00:00,0.00,0.00,,0,0,Matches,,,,,
Can Keles,at AUT,"FW,MF",24-068,2025-04-04 00:00:00,0,6,3,50.0,1937-01-01 00:00:00,0.69,0.00,0.00,,0,0,Matches,,,,,
Oleksandr Syrota,ua UKR,DF,25-151,4.0,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,
Aaron Appindangoyé,ga GAB,DF,33-262,2025-05-03 00:00:00,0,1,1,100.0,0.29,0.29,0.00,0.00,,0,0,Matches,,,,,
Ryan Mendes,cv CPV,FW,35-305,3.0,0,7,1,2025-03-14 00:00:00,1932-02-01 00:00:00,0.33,0.00,0.00,,0,0,Matches,,,,,
Dan Agyei,eng ENG,MF,28-161,4.0,0,8,3,37.5,2.00,0.75,0.00,0.00,,0,0,Matches,,,,,
Muharrem Cinan,,DF,27-180,2025-05-03 00:00:00,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,
Serdar Dursun,tr TUR,FW,34-021,2025-02-03 00:00:00,1,8,2,25.0,1949-02-01 00:00:00,0.62,0.13,0.50,,0,0,Matches,,,,,
Rigoberto Rivas,hn HON,MF,27-101,2025-05-02 00:00:00,0,1,0,0.0,0.40,0.00,0.00,,,0,0,Matches,,,,,
Darko Churlinov,mk MKD,"MF,FW",25-121,2025-05-02 00:00:00,0,2,2,100.0,0.80,0.80,0.00,0.00,,0,0,Matches,,,,,
Samet Yalçın,,MF,31-251,2025-04-02 00:00:00,0,3,0,0.0,2027-01-01 00:00:00,0.00,0.00,,,0,0,Matches,,,,,
Oğulcan Çağlayan,tr TUR,FW,29-232,2025-02-02 00:00:00,0,6,0,0.0,1976-02-01 00:00:00,0.00,0.00,,,0,0,Matches,,,,,
Tarkan Serbest,tr TUR,MF,31-191,2025-05-01 00:00:00,0,2,0,0.0,1934-01-01 00:00:00,0.00,0.00,,,0,0,Matches,,,,,
Mateusz Wieteska,pl POL,DF,28-271,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,
Mesut Can Tunalı,,MF,24-124,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches,,,,,
