Player,Team,Pos,Matches,Performance_Gls_per_match,Performance_Ast_per_match,Performance_G+A_per_match,Performance_G-PK_per_match,Expected_xAG_per_match,Expected_npxG+xAG_per_match,Progression_PrgP_per_match,Progression_PrgR_per_match
Wilfred Ndidi,Besiktas,MF,10.0,0.1,0.0,0.1,0.1,,,,
Rafa Silva,Besiktas,MF,10.0,0.5,0.1,0.6,0.5,,,,
Orkun Kökçü,Besiktas,MF,10.0,0.0,0.2,0.2,0.0,,,,
Václav Černý,Besiktas,MF,8.0,0.125,0.5,0.625,0.125,,,,
El Bilal Touré,Besiktas,"MF,FW",8.0,0.25,0.25,0.5,0.25,,,,
Cengiz Ünder,Besiktas,MF,8.0,0.375,0.125,0.5,0.375,,,,
Milot Rashica,Besiktas,MF,9.0,0.0,0.111,0.111,0.0,,,,
Salih Uçan,Besiktas,MF,4.0,0.0,0.0,0.0,0.0,,,,
Devrim Şahin,Besiktas,MF,2.0,0.0,0.0,0.0,0.0,,,,
Demir Ege Tıknaz,Besiktas,MF,6.0,0.0,0.167,0.167,0.0,,,,
Kartal Yılmaz,Besiktas,MF,7.0,0.0,0.0,0.0,0.0,,,,
João Mário,Besiktas,MF,2.0,0.0,0.0,0.0,0.0,,,,
Necip Uysal,Besiktas,MF,2.0,0.0,0.0,0.0,0.0,,,,
Ernest Muçi,Besiktas,MF,1.0,0.0,0.0,0.0,0.0,,,,
Carlo Holse,Samsunspor,MF,11.0,0.455,0.091,0.545,0.455,,,,
Anthony Musaba,Samsunspor,MF,9.0,0.222,0.222,0.444,0.222,,,,
Olivier Ntcham,Samsunspor,MF,9.0,0.0,0.0,0.0,0.0,,,,
Antoine Makoumbou,Samsunspor,MF,11.0,0.0,0.0,0.0,0.0,,,,
Celil Yüksel,Samsunspor,MF,10.0,0.0,0.1,0.1,0.0,,,,
Emre Kılınç,Samsunspor,"MF,FW",6.0,0.0,0.167,0.167,0.0,,,,
Tanguy Coulibaly,Samsunspor,MF,5.0,0.0,0.0,0.0,0.0,,,,
Yunus Emre Çift,Samsunspor,MF,6.0,0.0,0.0,0.0,0.0,,,,
Landry Dimata,Samsunspor,"MF,FW",2.0,0.0,0.0,0.0,0.0,,,,
Joe Mendes,Samsunspor,MF,8.0,0.0,0.0,0.0,0.0,,,,
Afonso Sousa,Samsunspor,MF,3.0,0.0,0.0,0.0,0.0,,,,
Soner Aydoğdu,Samsunspor,MF,4.0,0.0,0.0,0.0,0.0,,,,
Arbnor Muja,Samsunspor,"FW,MF",2.0,0.0,0.0,0.0,0.0,,,,
Tahsin Bülbül,Samsunspor,MF,1.0,0.0,0.0,0.0,0.0,,,,
Tim Jabol-Folcarelli,Trabzonspor,MF,12.0,0.0,0.25,0.25,0.0,,,,
Oleksandr Zubkov,Trabzonspor,MF,12.0,0.083,0.083,0.167,0.083,,,,
Felipe Augusto,Trabzonspor,"MF,FW",12.0,0.417,0.0,0.417,0.417,,,,
